place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____1u1RIYRmOR71hMzYRw,New Hope Church,30.29150709999999,-97.7687787,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ___jQLdOW4YRr2wtWjUBglw,MCSS Austin,30.1881207,-97.8896175,Community Space,community center,point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ__-_Kq5LW4YRPYwlcbE-hVI,Square Feathers,30.23854429999999,-97.8391949,Park,square,home_goods_store; point_of_interest; store; establishment,OPERATIONAL,5,2,NA
ChIJ__-_Pm3MRIYRHzGgN1Fp84A,Capital One Café,30.405282,-97.72133409999999,Social Business,cafe,bank; finance; cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.5,128,NA
ChIJ__7EZlS3RIYRkdhcEd4j-2E,Zhi Tea,30.2673439,-97.6928149,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.8,183,NA
ChIJ__8rD-hIW4YRMDLVfKBBVPk,The Garden Club of Austin,30.2198646,-97.92696319999999,Park,garden,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8T4TLPRIYRHcQswMMKpCo,Breath of Life Fellowship Church,30.39812999999999,-97.641482,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,3,NA
ChIJ__8Tjn9LW4YRDvo9OainptU,Ovenbird | ATX,30.1951331,-97.7773843,Social Business,cafe,restaurant; bakery; cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.8,128,NA
ChIJ__delw0tW4YRbXpSNWfqoaE,Jardin Corona,30.4452349,-97.7865971,Social Business,cafe,bar; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.4,1474,NA
ChIJ__Nnq9tLW4YRvAB571mnXzE,Jack in the Box,30.2313408,-97.8644206,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.1,600,NA
ChIJ_0M7q7i1RIYRsHXEtavXlwg,South Austin Community Church,30.2714444,-97.72019809999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.4,14,NA
