place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____-B-hYARkH8qFkVlQZA,Marian Koshland Bioscience & Natural Resources Library,37.87141159999999,-122.2621114,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ__-_ciV8hYARxgPm1ycRiEQ,Jean Gray Hargrove Music Library,37.8704442,-122.2561865,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.5,10,NA
ChIJ__-_HfN-hYARDfJkROsybIw,Sustainable Berkeley,37.8568896,-122.2898814,Community Space,community center,point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ_2K_soB-hYARHmgdRdpFdyo,Berkeley Public Library - Tarea Hall Pittman South Branch,37.856408,-122.2710368,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.8,32,NA
ChIJ_5wULsV_hYAR5dRWdsv6rfU,Cafe Buenos Aires,37.8397169,-122.2889474,Social Business,cafe,cafe; meal_delivery; meal_takeaway; store; restaurant; food; point_of_interest; establishment,OPERATIONAL,5,14,NA
ChIJ_6JaFLR9hYARUcNoe6qJk3k,Garber Park,37.8621779,-122.2363179,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.5,56,NA
ChIJ_QcUrnt-hYARnMwcHCIodYo,Urban Grace,37.8482468,-122.273344,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_QWxKQR5hYAReQ1zpKZYGms,El Cerrito Chinese Christian Church,37.909605,-122.301431,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,6,NA
ChIJ-_-nizF5hYARTk4x8fM8JHY,Royal Ground Coffee,37.8905143,-122.2979323,Social Business,cafe,meal_takeaway; bakery; cafe; restaurant; food; store; point_of_interest; establishment,OPERATIONAL,4.4,103,NA
ChIJ-_-nizF5hYARTk4x8fM8JHY,Royal Ground Coffee,37.8905143,-122.2979323,Social Business,cafe,bakery; meal_takeaway; cafe; restaurant; store; food; point_of_interest; establishment,OPERATIONAL,4.4,103,NA
ChIJ-_-nizF5hYARTk4x8fM8JHY,Royal Ground Coffee,37.8905143,-122.2979323,Social Business,cafe,meal_takeaway; bakery; cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.4,103,NA
ChIJ-_gLg_N-hYARsQmkVFJ8cKQ,Gardensia,37.8546933,-122.2915722,Park,garden,park; furniture_store; home_goods_store; store; point_of_interest; establishment,OPERATIONAL,5,7,NA
ChIJ-_gLg_N-hYARsQmkVFJ8cKQ,Gardensia,37.8546933,-122.2915722,Park,garden,furniture_store; park; home_goods_store; point_of_interest; store; establishment,OPERATIONAL,5,7,NA
ChIJ-_v7YNt-hYARq99IQn5vrzg,Books Inc.,37.8803869,-122.2690449,Social Business,bookstore,book_store; store; point_of_interest; establishment,OPERATIONAL,4.7,152,NA
ChIJ-_v7YNt-hYARq99IQn5vrzg,Books Inc.,37.8803869,-122.2690449,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,4.7,152,NA
ChIJ--ihH31-hYARmvC_NIS2GfY,Prince Street Mini-Park,37.8521253,-122.275228,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.2,34,NA
ChIJ-8C38xV_hYARijYl96DUEu8,Portal Community Center,37.853575,-122.2689315,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-fkJ1Vt5hYARGdKuY5XoLIg,Iglesia presbiteriana hispana,37.9063137,-122.2950177,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-RSPFll-hYAR8dI8CM6T7dI,Espresso Roma,37.8469815,-122.2911639,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ-YUm6jN5hYARJpEmnOhkRpo,Suzette Crêpe Café,37.8903797,-122.2950146,Social Business,cafe,cafe; restaurant; store; food; point_of_interest; establishment,OPERATIONAL,4.5,220,NA
ChIJ-YUm6jN5hYARJpEmnOhkRpo,Suzette Crêpe Café,37.8903797,-122.2950146,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.5,220,NA
ChIJ-Z7E9TF5hYARVS7aGYr5A7g,Rendez-Vous Café Bistro,37.890568,-122.298505,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.5,264,NA
ChIJ-zXYu_B_hYARfZUk4VhCrn4,Heritage Square,37.8421116,-122.2902554,Park,square,point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ03nVbwJ5hYARv1JYOGS8N_E,Tala Coffee & Tea,37.9137858,-122.3092917,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.2,116,NA
ChIJ0acevi58hYARWbsFtrpCPHI,Romeo's Coffee,37.8653361,-122.2583532,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.3,228,NA
ChIJ0acevi58hYARWbsFtrpCPHI,Romeo's Coffee,37.8653361,-122.2583532,Social Business,cafe,cafe; point_of_interest; food; establishment,OPERATIONAL,4.3,228,NA
ChIJ0f8wxDJ5hYARxFfWTvTQ2Qo,San Pablo Av & Marin Av (Albany City Hall),37.886486,-122.2976044,Community Space,city hall,bus_station; transit_station; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ1cV6QId-hYARtyz1gUKRa-U,Grove Park,37.8563865,-122.2723007,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.3,208,NA
ChIJ1Rpga2p9hYARgmlzMSklkmk,Baker & Commons,37.8583609,-122.253348,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.4,174,NA
ChIJ1W4sfmx5hYARGVP6gSvBQpI,Blake Garden UC Berkeley,37.9135894,-122.2847949,Park,garden,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,4.8,153,NA
ChIJ1Xw6Kxp8hYAR91LoHt4Wl7g,Camaldolese Hermits,37.8840852,-122.256826,Community Space,community center,point_of_interest; establishment,CLOSED_TEMPORARILY,5,1,TRUE
ChIJ1zf9HjN5hYARQpAS0M0a_Is,Berkeley Zion (Korean) Presbyterian Church 버클리 시온장로교회,37.906313,-122.2950209,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,10,NA
ChIJ2-4gaRp5hYARpemytHrj_mg,Well Grounded Tea & Coffee Bar,37.9102161,-122.3005508,Social Business,cafe,liquor_store; bakery; cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.7,169,NA
ChIJ2-Hpf3N_hYARyCUJXid9X5o,Walnut Square,37.8799851,-122.2683796,Park,square,shopping_mall; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ20e56JR-hYARezDFlleSt_s,Strawberry Creek Park,37.8670771,-122.2862145,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.5,437,NA
ChIJ26lwQbB-hYARGdm6-Xj0EwE,King School Park,37.8828441,-122.2782996,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.3,58,NA
ChIJ30T4jEp5hYAR-yL2sN87yTs,Christian Witness Institute,37.8910775,-122.2867655,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ35RE_GJ_hYAR0IuOJT05Gtk,decay college,37.8424329,-122.2672979,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ36QTqG15hYARXDutm_nFb44,Great Stoneface Park,37.8967605,-122.2783335,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.5,35,NA
ChIJ36YslhB5hYARHZ7v-F3QrBg,Mira Vista United Church of Christ,37.91047,-122.2985345,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ36YslhB5hYARLQvg-FaKpzs,Christ Lutheran Church,37.9104399,-122.2984873,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.7,6,NA
ChIJ3ST051d-hYARsKXjY_y-9CI,Point Emery,37.8464432,-122.3003798,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.6,301,NA
ChIJ3YjYqhJ8hYARXNbly3BB8vw,Regional Parks Botanic Garden,37.8928366,-122.2426629,Park,park,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,4.8,304,NA
ChIJ3YjYqhJ8hYARXNbly3BB8vw,Regional Parks Botanic Garden,37.8928366,-122.2426629,Park,garden,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,4.8,304,NA
ChIJ3Zwm3kp5hYARYiwCCr3swnQ,Shans' Groundwater,37.890562,-122.2856081,Social Business,bookstore,book_store; point_of_interest; store; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ4-0j0Oh-hYAR_rDr6cfh-N4,CoRo Coffee Room,37.8624991,-122.2972602,Social Business,cafe,cafe; restaurant; store; point_of_interest; food; establishment,OPERATIONAL,4.7,82,NA
ChIJ41Cxgel-hYARD9rYxKgUNgs,Rosa Parks School Park,37.8654863,-122.293944,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.3,17,NA
ChIJ41kQeyF8hYARwcdepzgBPbc,Northside Cafe.,37.8751951,-122.260339,Social Business,cafe,cafe; restaurant; point_of_interest; store; food; establishment,OPERATIONAL,4.1,211,NA
ChIJ4cCHgex-hYARbI0v9SiCCkw,East Bay Nursery,37.8641404,-122.2907738,Park,garden,store; point_of_interest; establishment,OPERATIONAL,4.5,156,NA
ChIJ4cCHgex-hYARbI0v9SiCCkw,East Bay Nursery,37.8641404,-122.2907738,Park,garden,point_of_interest; store; establishment,OPERATIONAL,4.5,156,NA
ChIJ4QpNLDJ5hYARvR-qyKvckyM,Eunice Gourmet Café,37.8902609,-122.296755,Social Business,cafe,meal_takeaway; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.6,68,NA
ChIJ4UNH4ph-hYARrMRu-UJx31I,Gold Leaf Cafe,37.8719212,-122.2728967,Social Business,cafe,cafe; store; point_of_interest; food; establishment,OPERATIONAL,4.7,74,NA
ChIJ4yc_D1N5hYAR2Yjc_SvNnoM,John Hinkel Park,37.8953691,-122.2728324,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.6,107,NA
ChIJ4YrCpDR5hYAR4L3NMDT7iGE,Albany Library,37.8879693,-122.2929898,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.4,59,NA
ChIJ52Pm5Zx-hYARFJSVxlIWIuM,Square One Management,37.8674192,-122.268315,Park,square,real_estate_agency; point_of_interest; establishment,OPERATIONAL,3.6,33,NA
ChIJ550A5RZ8hYARe0oDu0mH9Rw,Terrace View Park,37.88414460000001,-122.2507376,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,35,NA
ChIJ5RaiW7B5hYARy4p8fOxhAss,Hal's Parklet,37.8905069,-122.2959863,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ5SFCj1x-hYARzzpbrWEaK5I,Peet's Coffee,37.841617,-122.293626,Social Business,cafe,cafe; store; food; point_of_interest; establishment,OPERATIONAL,4.4,394,NA
ChIJ5V4u1UJ-hYAREw4Lnviwvdk,Polaris Cafe,37.8401401,-122.2907646,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.6,64,NA
ChIJ5VvX8Nh9hYARkIMJqZ1C0DU,Bushrod Park,37.8454589,-122.2635231,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,338,NA
ChIJ60Z0osl9hYAR6QTO2zh9JPc,John Muir School Park,37.8576889,-122.2449159,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.1,8,NA
ChIJ671XqJ5-hYARRomHeZwRmkc,Nuha's Cafe,37.87036740000001,-122.2704781,Social Business,cafe,cafe; restaurant; point_of_interest; food; establishment,OPERATIONAL,4.9,17,NA
ChIJ6e5lMaF-hYARHud8rn6osIc,Epicurious Garden,37.8798128,-122.2690504,Park,garden,meal_takeaway; grocery_or_supermarket; restaurant; store; food; point_of_interest; establishment,OPERATIONAL,4.6,20,NA
ChIJ6e5lMaF-hYARHud8rn6osIc,Epicurious Garden,37.8798128,-122.2690504,Park,garden,grocery_or_supermarket; meal_takeaway; store; restaurant; point_of_interest; food; establishment,OPERATIONAL,4.6,20,NA
