place_id,name,lat,lng,type,term,categories,business_status,user_ratings_total
ChIJ____E5F444kRmIjfvqxEjo0,A.T. Cross Company Store,42.32518,-71.15714799999999,Park,fountain,jewelry_store; point_of_interest; store; establishment,OPERATIONAL,0
ChIJ___Pdfl644kRX5_HPmNdbUE,CORCORAN MULLINS JENNISON COMMUNITY BUILDING,42.3190539,-71.0449946,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0
ChIJ___vIrFx44kRnB0VCsThMTU,Bellingham Square Historic District,42.3926934,-71.0332943,Park,square,point_of_interest; establishment,OPERATIONAL,0
ChIJ___vKPN544kRlCLe2drofo8,compassionate librarian,42.3417611,-71.1064572,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0
ChIJ___vSQBy44kRzriQrp5RV9g,Gospel Tabernacle Assembly Of God,42.4203642,-71.00478489999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0
ChIJ__-_B9lw44kRdvlCeTmpUTc,Boston Saptaha,42.3915469,-71.082368399999993,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,0
ChIJ__-phBB644kRHe4I-52hNi4,Christian Science Plaza,42.3441492,-71.0848929,Park,fountain,parking; tourist_attraction; church; place_of_worship; point_of_interest; establishment,OPERATIONAL,199
ChIJ__8_rQx644kRMQad7vbpdO4,Laz parking,42.34968110000001,-71.0736404,Park,park,park; point_of_interest; establishment,OPERATIONAL,1
ChIJ__8T1O9744kRz_zeerwUUlU,Franklin Field Elderly Community Center,42.2901888,-71.082763,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0
ChIJ__9jhZd544kRTE2VcG6C7Q4,Highrock Brookline Church Office,42.3345788,-71.1190239,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0
ChIJ__9TDEB444kRlIzlVZF_B-A,Brighton Worship Cathedral,42.351469,-71.1673404,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0
ChIJ__9zQMp-44kRGxp-ZtQf64w,Pazzo Books,42.2836839,-71.1226865,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,0
ChIJ__brr25644kRcV9N1E6kQzM,St. Helenas Park,42.340089,-71.066935,Park,park,park; point_of_interest; establishment,OPERATIONAL,3
ChIJ_-NgbUZw44kR1Zk_gm9F_7w,Bremen Street Community Park,42.3751272,-71.0309618,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,538
