place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ__8_ndOMa4cRcIJ2UmX9UGI,Superior Town Hall,39.953484,-105.1660098,Community Space,city hall,city_hall; local_government_office; point_of_interest; establishment,OPERATIONAL,4.2,5,NA
ChIJ__8_ndOMa4cRcIJ2UmX9UGI,Superior Town Hall,39.953484,-105.1660098,Community Space,city hall,city_hall; point_of_interest; local_government_office; establishment,OPERATIONAL,4.2,5,NA
ChIJ_2lWaNXya4cRHcXT8js_IcM,Starbucks,39.9568478,-105.173816,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.3,14,NA
ChIJ_5XF9CX1a4cR4Mavgwz0hEg,Rock Creek Public Trailhead Parking,39.9789299,-105.0714567,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.5,2,NA
ChIJ_7j_gyjsa4cR0-Vyl-pdgE0,Pop Jet Fountain,40.0184243,-105.2776403,Park,fountain,point_of_interest; establishment,OPERATIONAL,4.8,6,NA
ChIJ_bOO2Lf1a4cRpCwKpVedUkg,Сoffee Ta Sama,40.0143867,-105.0468961,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ_wLKQ4rta4cRlbN3nJEfGSE,Meadow Glen Park,40.0065634,-105.2215221,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,15,NA
ChIJ_Z1j8Vnza4cRZ47CDPmkWkA,Louisville Community Park,39.9712908,-105.1310813,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.7,333,NA
ChIJ_zlWjCbsa4cR89Eb1phQDAg,Amante Coffee,40.016619,-105.2815562,Social Business,cafe,cafe; food; store; point_of_interest; establishment,OPERATIONAL,4.4,179,NA
ChIJ--xkrZmMa4cRPWD8YRG9gTI,Frank Varra Park,39.937161,-105.1350324,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.2,27,NA
ChIJ-b5fPNn1a4cRiIOXwkKviPk,Beyond Nature CO,40.0458491,-105.0624769,Park,garden,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-QQkGhzsa4cRjjuToepdpHU,The People's Crossing,40.0146608,-105.2961726,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.8,413,NA
ChIJ-wHIHzP1a4cRlkaw_9Vbjf4,Rock Creek Open Space,39.9676526,-105.0832609,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,4,NA
ChIJ-zieHCLsa4cR4Rrxteulx34,City of Boulder Municipal Jdg,40.0144324,-105.2883534,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ-zieHCLsa4cRjOglGU7S89Y,Boulder County Juvenile Assessment Center,40.0144438,-105.2898946,Community Space,city hall,courthouse; lawyer; police; local_government_office; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ0_EPjCX1a4cRPN2WkmJCPZA,Parking for the Rock Creek Trail,39.9789011,-105.0714988,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,3,NA
ChIJ0-3Bjfzta4cR5JPeyhM3TKI,Little free library #56415,39.966902,-105.2546655,Community Space,library,school; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ00Gjeyjsa4cRvLYGmRIQ92o,Boulder Theater,40.019172,-105.2774745,Community Space,city hall,point_of_interest; establishment,OPERATIONAL,4.6,1497,NA
ChIJ00PA5ibsa4cRt6kp7z5_LCg,Church of Scientology Mission of Boulder County,39.9857563,-105.1069977,Place of Worship,place of worship,church; place_of_worship; book_store; point_of_interest; store; establishment,OPERATIONAL,3.4,23,NA
ChIJ00PA5ibsa4cRt6kp7z5_LCg,Church of Scientology Mission of Boulder County,39.9857563,-105.1069977,Place of Worship,place of worship,church; book_store; store; place_of_worship; point_of_interest; establishment,OPERATIONAL,3.4,23,NA
ChIJ01j9ptfta4cRIKZGWw-Gkq4,Target,40.0218226,-105.2558498,Park,fountain,department_store; grocery_or_supermarket; electronics_store; clothing_store; furniture_store; home_goods_store; store; food; point_of_interest; establishment,OPERATIONAL,3.9,864,NA
