cell,x,y,term,id
1,-105.31917660394852,39.910937298023235,library,1
1,-105.31917660394852,39.910937298023235,community center,2
1,-105.31917660394852,39.910937298023235,city hall,3
1,-105.31917660394852,39.910937298023235,place of worship,4
1,-105.31917660394852,39.910937298023235,park,5
1,-105.31917660394852,39.910937298023235,fountain,6
1,-105.31917660394852,39.910937298023235,square,7
1,-105.31917660394852,39.910937298023235,garden,8
1,-105.31917660394852,39.910937298023235,bookstore,9
1,-105.31917660394852,39.910937298023235,cafe,10
2,-105.2944482076125,39.91259930100268,library,11
2,-105.2944482076125,39.91259930100268,community center,12
2,-105.2944482076125,39.91259930100268,city hall,13
2,-105.2944482076125,39.91259930100268,place of worship,14
2,-105.2944482076125,39.91259930100268,park,15
2,-105.2944482076125,39.91259930100268,fountain,16
2,-105.2944482076125,39.91259930100268,square,17
2,-105.2944482076125,39.91259930100268,garden,18
2,-105.2944482076125,39.91259930100268,bookstore,19
2,-105.2944482076125,39.91259930100268,cafe,20
3,-105.26971854228859,39.91425689903526,library,21
3,-105.26971854228859,39.91425689903526,community center,22
3,-105.26971854228859,39.91425689903526,city hall,23
3,-105.26971854228859,39.91425689903526,place of worship,24
3,-105.26971854228859,39.91425689903526,park,25
3,-105.26971854228859,39.91425689903526,fountain,26
3,-105.26971854228859,39.91425689903526,square,27
3,-105.26971854228859,39.91425689903526,garden,28
3,-105.26971854228859,39.91425689903526,bookstore,29
3,-105.26971854228859,39.91425689903526,cafe,30
4,-105.24498761124515,39.91591009180777,library,31
4,-105.24498761124515,39.91591009180777,community center,32
4,-105.24498761124515,39.91591009180777,city hall,33
4,-105.24498761124515,39.91591009180777,place of worship,34
4,-105.24498761124515,39.91591009180777,park,35
4,-105.24498761124515,39.91591009180777,fountain,36
4,-105.24498761124515,39.91591009180777,square,37
4,-105.24498761124515,39.91591009180777,garden,38
4,-105.24498761124515,39.91591009180777,bookstore,39
4,-105.24498761124515,39.91591009180777,cafe,40
5,-105.22025541775146,39.91755887900756,library,41
5,-105.22025541775146,39.91755887900756,community center,42
5,-105.22025541775146,39.91755887900756,city hall,43
5,-105.22025541775146,39.91755887900756,place of worship,44
5,-105.22025541775146,39.91755887900756,park,45
5,-105.22025541775146,39.91755887900756,fountain,46
5,-105.22025541775146,39.91755887900756,square,47
5,-105.22025541775146,39.91755887900756,garden,48
5,-105.22025541775146,39.91755887900756,bookstore,49
5,-105.22025541775146,39.91755887900756,cafe,50
6,-105.19552196507794,39.91920326032285,library,51
6,-105.19552196507794,39.91920326032285,community center,52
6,-105.19552196507794,39.91920326032285,city hall,53
6,-105.19552196507794,39.91920326032285,place of worship,54
6,-105.19552196507794,39.91920326032285,park,55
6,-105.19552196507794,39.91920326032285,fountain,56
6,-105.19552196507794,39.91920326032285,square,57
6,-105.19552196507794,39.91920326032285,garden,58
6,-105.19552196507794,39.91920326032285,bookstore,59
6,-105.19552196507794,39.91920326032285,cafe,60
7,-105.17078725649587,39.92084323544258,library,61
7,-105.17078725649587,39.92084323544258,community center,62
7,-105.17078725649587,39.92084323544258,city hall,63
7,-105.17078725649587,39.92084323544258,place of worship,64
7,-105.17078725649587,39.92084323544258,park,65
7,-105.17078725649587,39.92084323544258,fountain,66
7,-105.17078725649587,39.92084323544258,square,67
7,-105.17078725649587,39.92084323544258,garden,68
7,-105.17078725649587,39.92084323544258,bookstore,69
7,-105.17078725649587,39.92084323544258,cafe,70
8,-105.14605129527772,39.922478804056574,library,71
8,-105.14605129527772,39.922478804056574,community center,72
8,-105.14605129527772,39.922478804056574,city hall,73
8,-105.14605129527772,39.922478804056574,place of worship,74
8,-105.14605129527772,39.922478804056574,park,75
8,-105.14605129527772,39.922478804056574,fountain,76
8,-105.14605129527772,39.922478804056574,square,77
8,-105.14605129527772,39.922478804056574,garden,78
8,-105.14605129527772,39.922478804056574,bookstore,79
8,-105.14605129527772,39.922478804056574,cafe,80
9,-105.12131408469686,39.924109965855436,library,81
9,-105.12131408469686,39.924109965855436,community center,82
9,-105.12131408469686,39.924109965855436,city hall,83
9,-105.12131408469686,39.924109965855436,place of worship,84
9,-105.12131408469686,39.924109965855436,park,85
9,-105.12131408469686,39.924109965855436,fountain,86
9,-105.12131408469686,39.924109965855436,square,87
9,-105.12131408469686,39.924109965855436,garden,88
9,-105.12131408469686,39.924109965855436,bookstore,89
9,-105.12131408469686,39.924109965855436,cafe,90
10,-105.32161596041198,39.92781157582064,library,91
10,-105.32161596041198,39.92781157582064,community center,92
10,-105.32161596041198,39.92781157582064,city hall,93
10,-105.32161596041198,39.92781157582064,place of worship,94
10,-105.32161596041198,39.92781157582064,park,95
10,-105.32161596041198,39.92781157582064,fountain,96
10,-105.32161596041198,39.92781157582064,square,97
10,-105.32161596041198,39.92781157582064,garden,98
10,-105.32161596041198,39.92781157582064,bookstore,99
10,-105.32161596041198,39.92781157582064,cafe,100
11,-105.29688117457353,39.92947398194675,library,101
11,-105.29688117457353,39.92947398194675,community center,102
11,-105.29688117457353,39.92947398194675,city hall,103
11,-105.29688117457353,39.92947398194675,place of worship,104
11,-105.29688117457353,39.92947398194675,park,105
11,-105.29688117457353,39.92947398194675,fountain,106
11,-105.29688117457353,39.92947398194675,square,107
11,-105.29688117457353,39.92947398194675,garden,108
11,-105.29688117457353,39.92947398194675,bookstore,109
11,-105.29688117457353,39.92947398194675,cafe,110
12,-105.27214511875687,39.931131982091216,library,111
12,-105.27214511875687,39.931131982091216,community center,112
12,-105.27214511875687,39.931131982091216,city hall,113
12,-105.27214511875687,39.931131982091216,place of worship,114
12,-105.27214511875687,39.931131982091216,park,115
12,-105.27214511875687,39.931131982091216,fountain,116
12,-105.27214511875687,39.931131982091216,square,117
12,-105.27214511875687,39.931131982091216,garden,118
12,-105.27214511875687,39.931131982091216,bookstore,119
12,-105.27214511875687,39.931131982091216,cafe,120
13,-105.24740779623274,39.93278557594025,library,121
13,-105.24740779623274,39.93278557594025,community center,122
13,-105.24740779623274,39.93278557594025,city hall,123
13,-105.24740779623274,39.93278557594025,place of worship,124
13,-105.24740779623274,39.93278557594025,park,125
13,-105.24740779623274,39.93278557594025,fountain,126
13,-105.24740779623274,39.93278557594025,square,127
13,-105.24740779623274,39.93278557594025,garden,128
13,-105.24740779623274,39.93278557594025,bookstore,129
13,-105.24740779623274,39.93278557594025,cafe,130
14,-105.22266921027294,39.93443476318104,library,131
14,-105.22266921027294,39.93443476318104,community center,132
14,-105.22266921027294,39.93443476318104,city hall,133
14,-105.22266921027294,39.93443476318104,place of worship,134
14,-105.22266921027294,39.93443476318104,park,135
14,-105.22266921027294,39.93443476318104,fountain,136
14,-105.22266921027294,39.93443476318104,square,137
14,-105.22266921027294,39.93443476318104,garden,138
14,-105.22266921027294,39.93443476318104,bookstore,139
14,-105.22266921027294,39.93443476318104,cafe,140
15,-105.19792936415034,39.93607954350132,library,141
15,-105.19792936415034,39.93607954350132,community center,142
15,-105.19792936415034,39.93607954350132,city hall,143
15,-105.19792936415034,39.93607954350132,place of worship,144
15,-105.19792936415034,39.93607954350132,park,145
15,-105.19792936415034,39.93607954350132,fountain,146
15,-105.19792936415034,39.93607954350132,square,147
15,-105.19792936415034,39.93607954350132,garden,148
15,-105.19792936415034,39.93607954350132,bookstore,149
15,-105.19792936415034,39.93607954350132,cafe,150
16,-105.1731882611388,39.937719916589884,library,151
16,-105.1731882611388,39.937719916589884,community center,152
16,-105.1731882611388,39.937719916589884,city hall,153
16,-105.1731882611388,39.937719916589884,place of worship,154
16,-105.1731882611388,39.937719916589884,park,155
16,-105.1731882611388,39.937719916589884,fountain,156
16,-105.1731882611388,39.937719916589884,square,157
16,-105.1731882611388,39.937719916589884,garden,158
16,-105.1731882611388,39.937719916589884,bookstore,159
16,-105.1731882611388,39.937719916589884,cafe,160
17,-105.14844590451318,39.93935588213609,library,161
17,-105.14844590451318,39.93935588213609,community center,162
17,-105.14844590451318,39.93935588213609,city hall,163
17,-105.14844590451318,39.93935588213609,place of worship,164
17,-105.14844590451318,39.93935588213609,park,165
17,-105.14844590451318,39.93935588213609,fountain,166
17,-105.14844590451318,39.93935588213609,square,167
17,-105.14844590451318,39.93935588213609,garden,168
17,-105.14844590451318,39.93935588213609,bookstore,169
17,-105.14844590451318,39.93935588213609,cafe,170
18,-105.1237022975494,39.94098743983019,library,171
18,-105.1237022975494,39.94098743983019,community center,172
18,-105.1237022975494,39.94098743983019,city hall,173
18,-105.1237022975494,39.94098743983019,place of worship,174
18,-105.1237022975494,39.94098743983019,park,175
18,-105.1237022975494,39.94098743983019,fountain,176
18,-105.1237022975494,39.94098743983019,square,177
18,-105.1237022975494,39.94098743983019,garden,178
18,-105.1237022975494,39.94098743983019,bookstore,179
18,-105.1237022975494,39.94098743983019,cafe,180
19,-105.09895744352431,39.94261458936314,library,181
19,-105.09895744352431,39.94261458936314,community center,182
19,-105.09895744352431,39.94261458936314,city hall,183
19,-105.09895744352431,39.94261458936314,place of worship,184
19,-105.09895744352431,39.94261458936314,park,185
19,-105.09895744352431,39.94261458936314,fountain,186
19,-105.09895744352431,39.94261458936314,square,187
19,-105.09895744352431,39.94261458936314,garden,188
19,-105.09895744352431,39.94261458936314,bookstore,189
19,-105.09895744352431,39.94261458936314,cafe,190
20,-105.07421134571588,39.94423733042682,library,191
20,-105.07421134571588,39.94423733042682,community center,192
20,-105.07421134571588,39.94423733042682,city hall,193
20,-105.07421134571588,39.94423733042682,place of worship,194
20,-105.07421134571588,39.94423733042682,park,195
20,-105.07421134571588,39.94423733042682,fountain,196
20,-105.07421134571588,39.94423733042682,square,197
20,-105.07421134571588,39.94423733042682,garden,198
20,-105.07421134571588,39.94423733042682,bookstore,199
20,-105.07421134571588,39.94423733042682,cafe,200
21,-105.3240565901236,39.94468550174071,library,201
21,-105.3240565901236,39.94468550174071,community center,202
21,-105.3240565901236,39.94468550174071,city hall,203
21,-105.3240565901236,39.94468550174071,place of worship,204
21,-105.3240565901236,39.94468550174071,park,205
21,-105.3240565901236,39.94468550174071,fountain,206
21,-105.3240565901236,39.94468550174071,square,207
21,-105.3240565901236,39.94468550174071,garden,208
21,-105.3240565901236,39.94468550174071,bookstore,209
21,-105.3240565901236,39.94468550174071,cafe,210
22,-105.29931541151304,39.94634831134753,library,211
22,-105.29931541151304,39.94634831134753,community center,212
22,-105.29931541151304,39.94634831134753,city hall,213
22,-105.29931541151304,39.94634831134753,place of worship,214
22,-105.29931541151304,39.94634831134753,park,215
22,-105.29931541151304,39.94634831134753,fountain,216
22,-105.29931541151304,39.94634831134753,square,217
22,-105.29931541151304,39.94634831134753,garden,218
22,-105.29931541151304,39.94634831134753,bookstore,219
22,-105.29931541151304,39.94634831134753,cafe,220
23,-105.27457296193276,39.94800671393689,library,221
