place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ___P6yYfVIgRiDB0UlaZeYw,New Waves Of Joy,35.2504724,-80.73646939999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.9,16,NA
ChIJ___PjW2fVogRpQSJQZr2tKM,HEX Coffee,35.2477172,-80.8332959,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.8,255,NA
ChIJ__-_IiEcVIgRWYRruNyziiw,Tea Fusion Cafe,35.3020284,-80.7478043,Social Business,cafe,cafe; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.6,754,NA
ChIJ__-_yl0gVIgRE_RxpCHKS1A,PSALM704,35.1775553,-80.7852575,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-vkkUhVIgRsUjotZxzXRw,Crepe Bistro,35.1352589,-80.736746,Social Business,cafe,restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.7,208,NA
ChIJ__8rlhaeVogRMBNIDTco7lI,Chelsea Square,35.1480417,-80.8258197,Park,square,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__9reIieVogRKzYcdrtfwi8,Sifford Garden Design Llc,35.1436012,-80.85656829999999,Park,garden,general_contractor; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__EfgIofVIgRgs5fpp0j-NM,The ROCK Charlotte NC,35.221151,-80.77915519999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,5,NA
ChIJ__z-erOjVogRVIJb6rW911w,Eagles Nest Neighborhood Park,35.270943,-80.92683490000002,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.9,10,NA
ChIJ_-BSOQIcVIgRnWUvtyDlqng,University Hills Baptist Church,35.2990889,-80.72791389999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,29,NA
ChIJ_0WSQXmfVogRdSJq8UOYWPw,Church Function,35.2166221,-80.8841715,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_2ceDrQYVIgRhX2hSaP5_Q0,Hickory Grove Center,35.2264818,-80.7171971,Community Space,community center,park; point_of_interest; establishment,OPERATIONAL,4.6,55,NA
ChIJ_3UtkrifVogRn0KPOME6kNc,Coffee House,35.1889568,-80.83332000000001,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,3.8,6,NA
ChIJ_6akrtycVogR_zoXlhU35vE,Lower McAlpine/McMullen Creek Greenway,35.062967,-80.865308,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.8,26,NA
ChIJ_8AyJc4fVIgRGM_QiWEhu8U,GetREADY for Jesus Community Church,35.2390122,-80.78411489999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_8zFdXUnVIgRqowWqMxeSm8,Akropolis Cafe,35.0952242,-80.7789226,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4,10,NA
ChIJ_94W_gKgVogRQPrMHFz8KC4,Elizabeth Square Apartments,35.2188912,-80.81814150000001,Park,square,real_estate_agency; point_of_interest; establishment,OPERATIONAL,4.6,74,NA
ChIJ_aJ46qkhVIgRrQVlTS0vJA8,Dxn,35.2028561,-80.7592437,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,5,5,NA
ChIJ_aRpYIyfVogRVzAk-xTfpFo,Parke De La Bola,35.2114911,-80.8351264,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_b76DcKhVogRRqSrk9_-pKM,All Eyes On Egipt Bookstore and Cultural Center,35.253327,-80.856262,Social Business,bookstore,shopping_mall; point_of_interest; establishment,OPERATIONAL,5,4,NA
