cell,x,y,term,id
1,-80.85721628990562,35.02266158679731,library,1
1,-80.85721628990562,35.02266158679731,community center,2
1,-80.85721628990562,35.02266158679731,city hall,3
1,-80.85721628990562,35.02266158679731,place of worship,4
1,-80.85721628990562,35.02266158679731,park,5
1,-80.85721628990562,35.02266158679731,fountain,6
1,-80.85721628990562,35.02266158679731,square,7
1,-80.85721628990562,35.02266158679731,garden,8
1,-80.85721628990562,35.02266158679731,bookstore,9
1,-80.85721628990562,35.02266158679731,cafe,10
2,-80.83440337617704,35.01994019186446,library,11
2,-80.83440337617704,35.01994019186446,community center,12
2,-80.83440337617704,35.01994019186446,city hall,13
2,-80.83440337617704,35.01994019186446,place of worship,14
2,-80.83440337617704,35.01994019186446,park,15
2,-80.83440337617704,35.01994019186446,fountain,16
2,-80.83440337617704,35.01994019186446,square,17
2,-80.83440337617704,35.01994019186446,garden,18
2,-80.83440337617704,35.01994019186446,bookstore,19
2,-80.83440337617704,35.01994019186446,cafe,20
3,-80.81159223394151,35.01721471869286,library,21
3,-80.81159223394151,35.01721471869286,community center,22
3,-80.81159223394151,35.01721471869286,city hall,23
3,-80.81159223394151,35.01721471869286,place of worship,24
3,-80.81159223394151,35.01721471869286,park,25
3,-80.81159223394151,35.01721471869286,fountain,26
3,-80.81159223394151,35.01721471869286,square,27
3,-80.81159223394151,35.01721471869286,garden,28
3,-80.81159223394151,35.01721471869286,bookstore,29
3,-80.81159223394151,35.01721471869286,cafe,30
4,-80.87635993498562,35.042258088520654,library,31
4,-80.87635993498562,35.042258088520654,community center,32
4,-80.87635993498562,35.042258088520654,city hall,33
4,-80.87635993498562,35.042258088520654,place of worship,34
4,-80.87635993498562,35.042258088520654,park,35
4,-80.87635993498562,35.042258088520654,fountain,36
4,-80.87635993498562,35.042258088520654,square,37
4,-80.87635993498562,35.042258088520654,garden,38
4,-80.87635993498562,35.042258088520654,bookstore,39
4,-80.87635993498562,35.042258088520654,cafe,40
5,-80.8535399025964,35.03954022106908,library,41
5,-80.8535399025964,35.03954022106908,community center,42
5,-80.8535399025964,35.03954022106908,city hall,43
5,-80.8535399025964,35.03954022106908,place of worship,44
5,-80.8535399025964,35.03954022106908,park,45
5,-80.8535399025964,35.03954022106908,fountain,46
5,-80.8535399025964,35.03954022106908,square,47
5,-80.8535399025964,35.03954022106908,garden,48
5,-80.8535399025964,35.03954022106908,bookstore,49
5,-80.8535399025964,35.03954022106908,cafe,50
6,-80.83072164053077,35.03681827423222,library,51
6,-80.83072164053077,35.03681827423222,community center,52
6,-80.83072164053077,35.03681827423222,city hall,53
6,-80.83072164053077,35.03681827423222,place of worship,54
6,-80.83072164053077,35.03681827423222,park,55
6,-80.83072164053077,35.03681827423222,fountain,56
6,-80.83072164053077,35.03681827423222,square,57
6,-80.83072164053077,35.03681827423222,garden,58
6,-80.83072164053077,35.03681827423222,bookstore,59
6,-80.83072164053077,35.03681827423222,cafe,60
7,-80.80790515122656,35.03409224840426,library,61
7,-80.80790515122656,35.03409224840426,community center,62
7,-80.80790515122656,35.03409224840426,city hall,63
7,-80.80790515122656,35.03409224840426,place of worship,64
7,-80.80790515122656,35.03409224840426,park,65
7,-80.80790515122656,35.03409224840426,fountain,66
7,-80.80790515122656,35.03409224840426,square,67
7,-80.80790515122656,35.03409224840426,garden,68
7,-80.80790515122656,35.03409224840426,bookstore,69
7,-80.80790515122656,35.03409224840426,cafe,70
8,-80.78509043712029,35.031362143979734,library,71
8,-80.78509043712029,35.031362143979734,community center,72
8,-80.78509043712029,35.031362143979734,city hall,73
8,-80.78509043712029,35.031362143979734,place of worship,74
8,-80.78509043712029,35.031362143979734,park,75
8,-80.78509043712029,35.031362143979734,fountain,76
8,-80.78509043712029,35.031362143979734,square,77
8,-80.78509043712029,35.031362143979734,garden,78
8,-80.78509043712029,35.031362143979734,bookstore,79
8,-80.78509043712029,35.031362143979734,cafe,80
9,-80.76227750064731,35.02862796135387,library,81
9,-80.76227750064731,35.02862796135387,community center,82
9,-80.76227750064731,35.02862796135387,city hall,83
9,-80.76227750064731,35.02862796135387,place of worship,84
9,-80.76227750064731,35.02862796135387,park,85
9,-80.76227750064731,35.02862796135387,fountain,86
9,-80.76227750064731,35.02862796135387,square,87
9,-80.76227750064731,35.02862796135387,garden,88
9,-80.76227750064731,35.02862796135387,bookstore,89
9,-80.76227750064731,35.02862796135387,cafe,90
10,-80.98684053996658,35.0726674092654,library,91
10,-80.98684053996658,35.0726674092654,community center,92
10,-80.98684053996658,35.0726674092654,city hall,93
10,-80.98684053996658,35.0726674092654,place of worship,94
10,-80.98684053996658,35.0726674092654,park,95
10,-80.98684053996658,35.0726674092654,fountain,96
10,-80.98684053996658,35.0726674092654,square,97
10,-80.98684053996658,35.0726674092654,garden,98
10,-80.98684053996658,35.0726674092654,bookstore,99
10,-80.98684053996658,35.0726674092654,cafe,100
11,-80.8726871293953,35.05913652991949,library,101
11,-80.8726871293953,35.05913652991949,community center,102
11,-80.8726871293953,35.05913652991949,city hall,103
11,-80.8726871293953,35.05913652991949,place of worship,104
11,-80.8726871293953,35.05913652991949,park,105
11,-80.8726871293953,35.05913652991949,fountain,106
11,-80.8726871293953,35.05913652991949,square,107
11,-80.8726871293953,35.05913652991949,garden,108
11,-80.8726871293953,35.05913652991949,bookstore,109
11,-80.8726871293953,35.05913652991949,cafe,110
12,-80.8498617449633,35.056418110879484,library,111
12,-80.8498617449633,35.056418110879484,community center,112
12,-80.8498617449633,35.056418110879484,city hall,113
12,-80.8498617449633,35.056418110879484,place of worship,114
12,-80.8498617449633,35.056418110879484,park,115
12,-80.8498617449633,35.056418110879484,fountain,116
12,-80.8498617449633,35.056418110879484,square,117
12,-80.8498617449633,35.056418110879484,garden,118
12,-80.8498617449633,35.056418110879484,bookstore,119
12,-80.8498617449633,35.056418110879484,cafe,120
13,-80.82703813212292,35.05369561170086,library,121
13,-80.82703813212292,35.05369561170086,community center,122
13,-80.82703813212292,35.05369561170086,city hall,123
13,-80.82703813212292,35.05369561170086,place of worship,124
13,-80.82703813212292,35.05369561170086,park,125
13,-80.82703813212292,35.05369561170086,fountain,126
13,-80.82703813212292,35.05369561170086,square,127
13,-80.82703813212292,35.05369561170086,garden,128
13,-80.82703813212292,35.05369561170086,bookstore,129
13,-80.82703813212292,35.05369561170086,cafe,130
14,-80.80421629331346,35.05096903277815,library,131
14,-80.80421629331346,35.05096903277815,community center,132
14,-80.80421629331346,35.05096903277815,city hall,133
14,-80.80421629331346,35.05096903277815,place of worship,134
14,-80.80421629331346,35.05096903277815,park,135
14,-80.80421629331346,35.05096903277815,fountain,136
14,-80.80421629331346,35.05096903277815,square,137
14,-80.80421629331346,35.05096903277815,garden,138
14,-80.80421629331346,35.05096903277815,bookstore,139
14,-80.80421629331346,35.05096903277815,cafe,140
15,-80.78139623097314,35.04823837450633,library,141
15,-80.78139623097314,35.04823837450633,community center,142
15,-80.78139623097314,35.04823837450633,city hall,143
15,-80.78139623097314,35.04823837450633,place of worship,144
15,-80.78139623097314,35.04823837450633,park,145
15,-80.78139623097314,35.04823837450633,fountain,146
15,-80.78139623097314,35.04823837450633,square,147
15,-80.78139623097314,35.04823837450633,garden,148
15,-80.78139623097314,35.04823837450633,bookstore,149
15,-80.78139623097314,35.04823837450633,cafe,150
16,-80.75857794753888,35.04550363728096,library,151
16,-80.75857794753888,35.04550363728096,community center,152
16,-80.75857794753888,35.04550363728096,city hall,153
16,-80.75857794753888,35.04550363728096,place of worship,154
16,-80.75857794753888,35.04550363728096,park,155
16,-80.75857794753888,35.04550363728096,fountain,156
16,-80.75857794753888,35.04550363728096,square,157
16,-80.75857794753888,35.04550363728096,garden,158
16,-80.75857794753888,35.04550363728096,bookstore,159
16,-80.75857794753888,35.04550363728096,cafe,160
17,-81.0060340813738,35.09224233391498,library,161
17,-81.0060340813738,35.09224233391498,community center,162
17,-81.0060340813738,35.09224233391498,city hall,163
17,-81.0060340813738,35.09224233391498,place of worship,164
17,-81.0060340813738,35.09224233391498,park,165
17,-81.0060340813738,35.09224233391498,fountain,166
17,-81.0060340813738,35.09224233391498,square,167
17,-81.0060340813738,35.09224233391498,garden,168
17,-81.0060340813738,35.09224233391498,bookstore,169
17,-81.0060340813738,35.09224233391498,cafe,170
18,-80.98319275662222,35.089547856470766,library,171
18,-80.98319275662222,35.089547856470766,community center,172
18,-80.98319275662222,35.089547856470766,city hall,173
18,-80.98319275662222,35.089547856470766,place of worship,174
18,-80.98319275662222,35.089547856470766,park,175
18,-80.98319275662222,35.089547856470766,fountain,176
18,-80.98319275662222,35.089547856470766,square,177
18,-80.98319275662222,35.089547856470766,garden,178
18,-80.98319275662222,35.089547856470766,bookstore,179
18,-80.98319275662222,35.089547856470766,cafe,180
19,-80.96035319006023,35.086849295774606,library,181
19,-80.96035319006023,35.086849295774606,community center,182
19,-80.96035319006023,35.086849295774606,city hall,183
19,-80.96035319006023,35.086849295774606,place of worship,184
19,-80.96035319006023,35.086849295774606,park,185
19,-80.96035319006023,35.086849295774606,fountain,186
19,-80.96035319006023,35.086849295774606,square,187
19,-80.96035319006023,35.086849295774606,garden,188
