place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____0OhToYR-VVfc2U1sAE,Crosby Cafe & Catering,32.8276924,-96.679851,Social Business,cafe,food; point_of_interest; establishment,OPERATIONAL,1,1,NA
ChIJ_____4-WToYRz0HCmaGw1X0,A Place Called There Full,32.6356124,-96.80294889999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_____y-aToYRPQS1JDqdBj4,P-Tree Garden Concepts,32.7614295,-96.85592369999999,Park,garden,general_contractor; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ____C22QToYREpAHykiHhlE,Starbucks,32.695285,-96.89707899999999,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,2.5,23,NA
ChIJ__-_XdCeToYREdgL1Il4ASU,Twin Turtles Café,32.8143433,-96.80150280000001,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-PkjCZToYR6buOui5F3uw,Weatherford Town Square,32.7936605,-96.80581959999999,Park,square,shopping_mall; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-v-J2gToYRU1DQDquwY9Y,"Workplace Solutions & Community Center of Texas, Inc.",32.9000286,-96.6909218,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__2BKSSZToYR__XPBa19rEI,Center Cafe,32.7900892,-96.7977593,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.4,21,NA
ChIJ__8_5U6fToYRoqbPmbxb0kI,Oram Square,32.8141661,-96.763508,Park,square,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8DLdiaToYRyqPkFOodB1w,La Puerta De La Fe Asambleas De Dios,32.7507909,-96.90965659999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ__99HrojTIYRCEf1_v9huyY,Moss Glen Park,33.0118296,-96.8036109,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.5,74,NA
ChIJ__9PwqcnTIYR1QN3Ri1u1i0,Dallas Promise Church,32.9225906,-96.87947559999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_0AS0zKmToYR1uMgCTKh3MY,Rosehill Park,32.8613871,-96.58701429999999,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,59,NA
ChIJ_0kWvwScToYRCVx-SSVrFng,"Bryan Williams, M.D. Student Center",32.8121927,-96.8416862,Community Space,community center,gym; health; point_of_interest; establishment,OPERATIONAL,4.6,5,NA
ChIJ_0yUzByMToYR7yJW8dMbkus,Cedar Hill State Park,32.6194734,-96.9837294,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.4,2683,NA
ChIJ_1Vw1vWuToYRDI95U-HprDM,Pulled Pork,32.7767738,-96.5195262,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_1Z-EQsjTIYRELZKhSH6kDk,Bounce Back Cafe,33.0067269,-96.7960854,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_30TKw6RToYRHWxgsx-KKTU,Full Gospel Holy Temple Church,32.6513382,-96.8669798,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,407,NA
ChIJ_3FO_6sfTIYRf1nJYHRHYSw,Church,32.9054413,-96.70956849999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_6BWJI-YToYRVpRy9IQdTrE,New Found Life Bible Church,32.7679641,-96.7622828,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.6,8,NA
ChIJ_6w4CCKRToYR44mTizO-_Xw,Living Life Traditional Holiness Church Inc.,32.6871666,-96.79638659999999,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_7IlXtKDToYRLjozkeQ_XW0,Irving Square,32.9325751,-96.81672879999999,Park,square,shopping_mall; real_estate_agency; general_contractor; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_7YbFDaFToYRVYG_1bg-cAU,Parque,32.7526486,-96.996684,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_7yktfefToYRKz0cwvHVJYU,PlantTAGG,32.840028,-96.7747586,Park,garden,general_contractor; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_86RQpQpTIYRnc8zbru6J7E,Bugalu Latin Kitchen,32.9209948,-96.995946,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,5,42,NA
ChIJ_9cNyMKYToYR8mKkZP_lnXU,AllGood Cafe,32.7842559,-96.7807059,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.4,1168,NA
ChIJ_aC1PgwhTIYRqCSzV0woJQs,Robert Hansen Gardener,32.9763186,-96.82291959999999,Park,garden,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_alTP5KgToYRoOjfD_S3_Mw,Christian Faith World Ministires Center (CFWMC),32.8818124,-96.6954343,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_aU-F_CWToYRXRNBI_Jqzf0,UNT Dallas Bookstore,32.6595608,-96.8033973,Social Business,bookstore,book_store; point_of_interest; clothing_store; store; establishment,OPERATIONAL,4.4,95,NA
ChIJ_bAHzx6ZToYRJZw7xxg7gzY,J. Erik Jonsson Central Library,32.7787125,-96.79686620000001,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.3,241,NA
ChIJ_bF2W9CkToYRv4mt3qOyvuY,Cambodian Church of Christ,32.7335855,-96.62973219999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_bT_MgG7ToYRUT70xCnJSSg,Sand Branch Community Center,32.6345643,-96.6175951,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.5,4,NA
ChIJ_bt71_uFToYRGU4wLvaxuec,Burger King,32.709794,-96.9929631,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.1,460,NA
ChIJ_c4jUV2ZToYR_qHvYuHOFno,Iglesia Universal,32.7745345,-96.7948936,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,7,NA
ChIJ_cBQu46kToYRVN50fTqRTco,House Of Refuge Church,32.7607186,-96.64852789999999,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_cwVoDqfToYROhV2BMb_ZD8,Cochran Park,32.8166755,-96.78227059999999,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,31,NA
ChIJ_d1b4a0kTIYRzrAW-QJObA4,Bells Lawn and Garden,32.9403034,-96.4733444,Park,garden,point_of_interest; establishment,OPERATIONAL,4,3,NA
ChIJ_d86U9QmTIYRXoWwmkkkPxU,The Daily Java / King's Coffee Company - Wholesale Distributors,32.9761897,-96.8357491,Social Business,cafe,food; point_of_interest; store; establishment,OPERATIONAL,4,13,NA
ChIJ_dU1p3yXToYREGUdtkoK0hE,Wendy's,32.7090448,-96.8020365,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.5,537,NA
ChIJ_dWKR-eYToYRZZFq0tCCTic,Deep Ellum Urban Gardens,32.7812732,-96.78612489999999,Park,garden,park; point_of_interest; establishment,OPERATIONAL,4.7,18,NA
ChIJ_eDayoWhToYRVROabZI72YU,SoCo Bistro And Coffee,32.8781697,-96.71662119999999,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.5,136,NA
ChIJ_QizjA-fToYR_73P4GGoFHA,Bartholow Square,32.8292719,-96.7962883,Park,square,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_SD_aqSCToYR4opK-EihN2c,The Pavilion - Lakes of Las Colinas,32.8796179,-96.93562569999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.4,9,NA
ChIJ_ThOk7OQToYRCL2FuBk_ycI,Square Nails,32.696708,-96.83935579999999,Park,square,beauty_salon; point_of_interest; establishment,OPERATIONAL,4.2,87,NA
ChIJ_UIbYoKaToYRS44L_gzXha4,Pecan Grove Park,32.7065561,-96.8769846,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.3,207,NA
ChIJ_UYym3ebToYRFEI8H7idG2c,Tipton Park,32.7880486,-96.8802205,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.4,76,NA
ChIJ_V2FCbKhToYRtZXbjUi4hY0,Egg Roll Cafe,32.8756362,-96.6830265,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_VmC0_QgTIYR1eVPCAPSaUs,Believers Chapel Tape Ministry Church,32.917069,-96.79527859999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_W8koL2ZToYRLFT98rsI6so,McDonald's,32.7446313,-96.81228809999999,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.6,2360,NA
ChIJ_XI2AvWcToYRGygc8akk23E,Parc,32.8248131,-96.8805297,Park,park,park; point_of_interest; establishment,OPERATIONAL,4,1,NA
ChIJ_xvsVYwnTIYR3PvyNZp_D_U,McDonald's,32.8965382,-96.8963002,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.7,1579,NA
ChIJ_y_7wlyOToYRwQBmUJV63mw,Park in the Woods,32.642444,-96.95412929999999,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.3,99,NA
ChIJ_YE6-g8hTIYRu8VunkaU_Kg,The Market at Pepper Square,32.9505525,-96.80240479999999,Park,square,shopping_mall; point_of_interest; establishment,OPERATIONAL,4.5,97,NA
ChIJ_ZeeFDabToYRvC-6MK6x9h0,Eladio R. Martinez Park,32.7743479,-96.91452489999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.8,21,NA
ChIJ_ZKRyESeToYR3XbeT1ajl9g,Christ The King Community Center,32.8610316,-96.8066432,Community Space,community center,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,6,NA
ChIJ_zNYs_WYToYRX0iaq6_CANo,Trucker's Cafe,32.763578,-96.774475,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ_ZPCzHcnTIYRmtFgqvAt89g,Marcus Park Recreation Center,32.9042957,-96.87713289999999,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.3,97,NA
ChIJ_zy9OjuiToYRqocbzOhLpzM,Cambridge Square Apartments,32.7966295,-96.72086709999999,Park,square,point_of_interest; establishment,OPERATIONAL,2.8,6,NA
