place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ__9vXfrb5ogR0TEXdu-_ELg,Six Power Covenant Prayer Keys,29.2220677,-81.0678241,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_4UUFBfa5ogR0JX6i-SPkow,Fountain Beach Resort Daytona Beach,29.2214372,-81.0047464,Park,fountain,lodging; point_of_interest; establishment,OPERATIONAL,4.1,1591,NA
ChIJ_4UUFBfa5ogRTLgQ2aS9SoY,Oasis Tiki Bar & Grill,29.2213256,-81.0051309,Park,fountain,bar; restaurant; point_of_interest; food; establishment,OPERATIONAL,4.5,421,NA
ChIJ_9tZHI3b5ogRP1nol-k7aYI,Iglesia Riqueszas En Glory,29.2370111,-81.0665758,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,3,2,NA
ChIJ_b7b-2bZ5ogRzH8MxI4ix1M,Daytona State College,29.2022793,-81.0493762,Community Space,library,university; point_of_interest; establishment,OPERATIONAL,3.8,195,NA
ChIJ_bv74M3Z5ogRhZcz9k7UgQI,Gary's Choice Meats & Deli,29.16687439999999,-80.9993945,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_SflD7Tb5ogR021NIEyMQXE,Orphans Coffee,29.2380323,-81.036085,Social Business,cafe,cafe; store; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_SflD7Tb5ogR021NIEyMQXE,Orphans Coffee,29.2380323,-81.036085,Social Business,cafe,cafe; store; point_of_interest; food; establishment,OPERATIONAL,0,0,NA
ChIJ_zJldFjc5ogRV6PTZw2tqBQ,Lowe's Garden Center,29.2609403,-81.1077023,Park,garden,point_of_interest; store; establishment,OPERATIONAL,3.9,65,NA
ChIJ-_kLFpzZ5ogRi5WwgHsQ52M,Walmart Patio & Garden Services,29.142239,-81.033269,Park,garden,general_contractor; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-1lRGhra5ogRmY8AJ40cuzY,Sun Splash Park,29.2184652,-81.0038548,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.5,4492,NA
ChIJ-1zvLtTf5ogRBu7xCp4-DZ8,Mosaic Residents Club,29.1861824,-81.1273671,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.8,6,NA
ChIJ-7rHNqjZ5ogRaf9o0n7WeO8,Walmart Garden Center,29.1725728,-81.03009089999999,Park,garden,general_contractor; furniture_store; home_goods_store; store; point_of_interest; establishment,OPERATIONAL,4.5,8,NA
ChIJ-b80jgvb5ogRBKhyXBAvXWc,Walgreens,29.2620593,-81.049719,Social Business,bookstore,drugstore; clothing_store; convenience_store; food; point_of_interest; health; store; establishment,OPERATIONAL,3.8,24,NA
ChIJ-b80jgvb5ogRBKhyXBAvXWc,Walgreens,29.2620593,-81.049719,Social Business,bookstore,drugstore; convenience_store; food; health; clothing_store; store; point_of_interest; establishment,OPERATIONAL,3.8,24,NA
ChIJ-w04Oa7b5ogRjRy561HQpGs,Sica Hall Community Center,29.24570319999999,-81.03853389999999,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.1,33,NA
ChIJ-w04Oa7b5ogRjRy561HQpGs,Sica Hall Community Center,29.24570319999999,-81.03853389999999,Community Space,city hall,point_of_interest; establishment,OPERATIONAL,4.1,33,NA
ChIJ-X6rsVbc5ogRwQZZkCFkv8I,Denny's,29.256189,-81.11376059999999,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.1,1777,NA
ChIJ-yjEG0fa5ogRBlYPQGIGpI0,Cafe Du Japon,29.2340037,-81.0164933,Social Business,cafe,art_gallery; cafe; restaurant; point_of_interest; food; establishment,OPERATIONAL,4.6,345,NA
ChIJ-yjEG0fa5ogRBlYPQGIGpI0,Cafe Du Japon,29.2340037,-81.0164933,Social Business,cafe,art_gallery; cafe; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.6,345,NA
ChIJ0_lkDdjb5ogRkTWL7et2gW4,S. Cornelia Young Memorial Library,29.2199082,-81.00962539999999,Community Space,library,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ0_mstOTZ5ogRcRBrDYZpRo0,Connie's Bookshelf,29.195517,-80.993662,Social Business,bookstore,book_store; store; point_of_interest; establishment,OPERATIONAL,4.8,46,NA
ChIJ06iH0VXc5ogRUGzpDknua5k,Walmart Supercenter,29.2588481,-81.114685,Social Business,bookstore,department_store; hardware_store; bakery; grocery_or_supermarket; furniture_store; electronics_store; clothing_store; home_goods_store; store; food; point_of_interest; establishment,OPERATIONAL,3.9,6135,NA
ChIJ09FJb3vZ5ogROKxBQO5GZOE,Steak 'n Shake,29.2035971,-81.0405641,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.9,4629,NA
ChIJ15IewPTY5ogR1SXK6UJtRUM,Book Rack,29.1424809,-81.0366973,Social Business,bookstore,book_store; store; point_of_interest; establishment,OPERATIONAL,4.5,66,NA
ChIJ15m7j1TZ5ogRXnARhfRGZUQ,Global Prayer Center,29.2074477,-81.07291239999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.9,10,NA
ChIJ1VEjz6Db5ogRsdzZG3iMH4A,"Eclectic Church, New Heights Community Church",29.254988,-81.0486663,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ1VEjz6Db5ogRsdzZG3iMH4A,"Eclectic Church, New Heights Community Church",29.254988,-81.0486663,Community Space,community center,place_of_worship; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ1VJWIYfd5ogRIohF7iGn-EY,Barnes & Noble,29.2163057,-81.0950751,Social Business,bookstore,book_store; cafe; store; point_of_interest; food; establishment,OPERATIONAL,4.4,255,NA
ChIJ1xIV4Sfa5ogRfogv7GeuxH8,Special Gathering,29.2145789,-81.0205842,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ1zZCylXc5ogRghEUdAOqqeU,Walmart Garden Center,29.2590219,-81.1134016,Park,garden,furniture_store; general_contractor; home_goods_store; point_of_interest; store; establishment,OPERATIONAL,4,1,NA
ChIJ20lesurZ5ogRkr7dXgodJcs,The Omelet House,29.186027,-81.009168,Social Business,cafe,restaurant; food; point_of_interest; establishment,CLOSED_TEMPORARILY,4.3,1005,TRUE
ChIJ29BBFyva5ogRxSatoF3Z0vI,Richard V. Moore Community Center,29.213177,-81.0296786,Community Space,community center,point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ2TnpOLrb5ogRU_SGsq95pY8,Milt Hallman Memorial Park,29.2405838,-81.0441735,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.8,9,NA
ChIJ2xZWOVfc5ogRZR2bN7y-0g4,Church,29.2562667,-81.110295,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ2Zg9zo_Z5ogRK7Vzc_mwheg,New Birth Worship Center,29.1979769,-81.01779789999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.6,10,NA
ChIJ35ufH8ff5ogR4AdMh4ZoccQ,Hickory Farms at International Speedway Square,29.1803045,-81.0826447,Park,square,grocery_or_supermarket; food; point_of_interest; store; establishment,CLOSED_TEMPORARILY,5,1,TRUE
ChIJ3f8BjfvY5ogR_1bz73MlO-A,CrossRoads,29.1582012,-81.0369224,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,168,NA
ChIJ3U9F5cXZ5ogRsoyj_NTM2Uw,China Garden South Daytona,29.1738381,-81.0026331,Park,garden,meal_takeaway; meal_delivery; restaurant; point_of_interest; food; establishment,OPERATIONAL,3.9,312,NA
ChIJ3U9F5cXZ5ogRsoyj_NTM2Uw,China Garden South Daytona,29.1738381,-81.0026331,Park,garden,meal_delivery; meal_takeaway; restaurant; point_of_interest; food; establishment,OPERATIONAL,3.9,312,NA
ChIJ3VYzvLTb5ogRxiGfFFNuK2E,Polly's Tea Room,29.23751649999999,-81.032729,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4,23,NA
ChIJ3VYzvLTb5ogRxiGfFFNuK2E,Polly's Tea Room,29.23751649999999,-81.032729,Social Business,cafe,cafe; point_of_interest; food; establishment,OPERATIONAL,4,23,NA
ChIJ3y7Z1Lrd5ogRBrgB0-5qVVE,Riverbend Community Church,29.249884,-81.134912,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.9,51,NA
ChIJ3y7Z1Lrd5ogRhMStAMt3qCs,Promise Land Enrichment Center,29.2501507,-81.1349836,Community Space,community center,point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ3Zhc2Frd5ogRv-GT9omS50g,Sam's Club Cafe,29.2200216,-81.0985078,Social Business,cafe,cafe; meal_takeaway; restaurant; point_of_interest; food; establishment,OPERATIONAL,0,0,NA
ChIJ3Zhc2Frd5ogRv-GT9omS50g,Sam's Club Cafe,29.2200216,-81.0985078,Social Business,cafe,cafe; meal_takeaway; restaurant; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ4-8GFT3a5ogRsfcmjIPP4XU,Raven Daytona Church,29.2210218,-81.0109963,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.3,6,NA
ChIJ40kJBujb5ogR-8mb_7SWxKM,YSG Cultural And Educational Center,29.2230752,-81.05407249999999,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.6,89,NA
ChIJ41jrYVPc5ogR4T0KgpzKgoY,McDonald's,29.2556806,-81.1180227,Social Business,cafe,cafe; store; restaurant; food; point_of_interest; establishment,OPERATIONAL,3.6,1864,NA
ChIJ41jrYVPc5ogR4T0KgpzKgoY,McDonald's,29.2556806,-81.1180227,Social Business,cafe,cafe; restaurant; store; food; point_of_interest; establishment,OPERATIONAL,3.6,1864,NA
ChIJ42PsK4LY5ogROrc_2p_LITs,Willow Run Park,29.1187434,-81.036933199999993,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.3,70,NA
ChIJ4U4T9PLc5ogRVbFnY0aW0bs,Providence Church,29.2701199,-81.1000207,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,34,NA
ChIJ4w9qRDTa5ogRLmgZ0N4pCqg,Shirley Heyman Park,29.2285113,-81.0276071,Park,park,park; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ4wdeuEXa5ogRLWP7I0S1_7Q,Seabreeze University Neighborhood Watch,29.2383904,-81.01651,Park,garden,store; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ4wdeuEXa5ogRLWP7I0S1_7Q,Seabreeze University Neighborhood Watch,29.2383904,-81.01651,Park,garden,point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ56sUi8Lb5ogRwhC5vWcvENs,Magnolia Gardens,29.2252021,-81.051913,Park,garden,point_of_interest; health; establishment,OPERATIONAL,3.7,7,NA
ChIJ56sUi8Lb5ogRwhC5vWcvENs,Magnolia Gardens,29.2252021,-81.051913,Park,garden,health; point_of_interest; establishment,OPERATIONAL,3.7,7,NA
ChIJ59oWXM_Z5ogR1uKa4D8jNeo,Curb Appeal Hardscaping,29.1727302,-81.003014,Park,garden,general_contractor; store; point_of_interest; establishment,OPERATIONAL,4.4,15,NA
ChIJ5b4haUDa5ogR8-bUuR0sVNQ,Starlite Diner,29.2323071,-81.0110619,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.5,3542,NA
ChIJ5bcL7PnY5ogRnk-R7fOnijQ,Kingdom Hall of Jehovah's Witnesses,29.1534257,-81.0357861,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.9,33,NA
ChIJ5ZRpFhfb5ogRsTyrc59h2T8,Downtown Daytona Live,29.2089845,-81.01812319999999,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,5,7,NA
