cell,x,y,term,id
1,-105.09630393687532,39.61887725596381,library,1
1,-105.09630393687532,39.61887725596381,community center,2
1,-105.09630393687532,39.61887725596381,city hall,3
1,-105.09630393687532,39.61887725596381,place of worship,4
1,-105.09630393687532,39.61887725596381,park,5
1,-105.09630393687532,39.61887725596381,fountain,6
1,-105.09630393687532,39.61887725596381,square,7
1,-105.09630393687532,39.61887725596381,garden,8
1,-105.09630393687532,39.61887725596381,bookstore,9
1,-105.09630393687532,39.61887725596381,cafe,10
2,-105.07168103906228,39.620500125615436,library,11
2,-105.07168103906228,39.620500125615436,community center,12
2,-105.07168103906228,39.620500125615436,city hall,13
2,-105.07168103906228,39.620500125615436,place of worship,14
2,-105.07168103906228,39.620500125615436,park,15
2,-105.07168103906228,39.620500125615436,fountain,16
2,-105.07168103906228,39.620500125615436,square,17
2,-105.07168103906228,39.620500125615436,garden,18
2,-105.07168103906228,39.620500125615436,bookstore,19
2,-105.07168103906228,39.620500125615436,cafe,20
3,-105.04705691341081,39.622118606599905,library,21
3,-105.04705691341081,39.622118606599905,community center,22
3,-105.04705691341081,39.622118606599905,city hall,23
3,-105.04705691341081,39.622118606599905,place of worship,24
3,-105.04705691341081,39.622118606599905,park,25
3,-105.04705691341081,39.622118606599905,fountain,26
3,-105.04705691341081,39.622118606599905,square,27
3,-105.04705691341081,39.622118606599905,garden,28
3,-105.04705691341081,39.622118606599905,bookstore,29
3,-105.04705691341081,39.622118606599905,cafe,30
4,-105.02243156315213,39.62373269861556,library,31
4,-105.02243156315213,39.62373269861556,community center,32
4,-105.02243156315213,39.62373269861556,city hall,33
4,-105.02243156315213,39.62373269861556,place of worship,34
4,-105.02243156315213,39.62373269861556,park,35
4,-105.02243156315213,39.62373269861556,fountain,36
4,-105.02243156315213,39.62373269861556,square,37
4,-105.02243156315213,39.62373269861556,garden,38
4,-105.02243156315213,39.62373269861556,bookstore,39
4,-105.02243156315213,39.62373269861556,cafe,40
5,-104.92391798070433,39.63014517098301,library,41
5,-104.92391798070433,39.63014517098301,community center,42
5,-104.92391798070433,39.63014517098301,city hall,43
5,-104.92391798070433,39.63014517098301,place of worship,44
5,-104.92391798070433,39.63014517098301,park,45
5,-104.92391798070433,39.63014517098301,fountain,46
5,-104.92391798070433,39.63014517098301,square,47
5,-104.92391798070433,39.63014517098301,garden,48
5,-104.92391798070433,39.63014517098301,bookstore,49
5,-104.92391798070433,39.63014517098301,cafe,50
6,-104.89928655591238,39.63173731365615,library,51
6,-104.89928655591238,39.63173731365615,community center,52
6,-104.89928655591238,39.63173731365615,city hall,53
6,-104.89928655591238,39.63173731365615,place of worship,54
6,-104.89928655591238,39.63173731365615,park,55
6,-104.89928655591238,39.63173731365615,fountain,56
6,-104.89928655591238,39.63173731365615,square,57
6,-104.89928655591238,39.63173731365615,garden,58
6,-104.89928655591238,39.63173731365615,bookstore,59
6,-104.89928655591238,39.63173731365615,cafe,60
7,-104.87465392592118,39.63332506556651,library,61
7,-104.87465392592118,39.63332506556651,community center,62
7,-104.87465392592118,39.63332506556651,city hall,63
7,-104.87465392592118,39.63332506556651,place of worship,64
7,-104.87465392592118,39.63332506556651,park,65
7,-104.87465392592118,39.63332506556651,fountain,66
7,-104.87465392592118,39.63332506556651,square,67
7,-104.87465392592118,39.63332506556651,garden,68
7,-104.87465392592118,39.63332506556651,bookstore,69
7,-104.87465392592118,39.63332506556651,cafe,70
8,-105.09867443340872,39.63576094927125,library,71
8,-105.09867443340872,39.63576094927125,community center,72
8,-105.09867443340872,39.63576094927125,city hall,73
8,-105.09867443340872,39.63576094927125,place of worship,74
8,-105.09867443340872,39.63576094927125,park,75
