place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____9ptAHwRdfX9G_eUY2M,Fountains-The Living Water,21.3136151,-157.8480364,Park,fountain,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_____9ptAHwRW4LIf4u9EAA,Mauka-Makai Ministries,21.3175493,-157.8152491,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,3,1,NA
ChIJ____EJxuAHwRzpKk7hHnL-E,Light Of The World Worship Center,21.3432433,-157.8957317,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,3,1,NA
ChIJ____z3sTAHwRTTnCUQNa30Y,Joyful Community Church,21.3281831,-157.6950925,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ___Pz55tAHwRQqbn1YE82RQ,The East-West Center,21.2969831,-157.8146437,Community Space,community center,point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ__2MivVtAHwRKe66DQJ_4ow,Waikiki Beach Church,21.2811875,-157.8374375,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,24,NA
ChIJ__8_ap9tAHwRLaKZB-Is5pM,East-West Center Japanese Garden,21.2994338,-157.8137916,Park,garden,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,4.6,148,NA
ChIJ__87c3ttAHwRtmscK66I6ZE,Kaimuki Cafe,21.2829398,-157.7998569,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.5,37,NA
ChIJ_2bzIuttAHwRhKJdAc1l0Jo,Kapiolani Medical Center Library,21.2999876,-157.8335849,Community Space,library,library; point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ_83SYu1uAHwRMZ_H7JJfgB0,Fern Community Park,21.339631,-157.8808929,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.2,32,NA
ChIJ_azrAZhtAHwR_0e73H6wUcc,International Baptist Centre,21.3011298,-157.821249,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_bxInwpuAHwR1PcOWpFKtKs,Mayor's Complaint Office,21.3051851,-157.8571192,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_bxInwpuAHwRbgWtw9MiiHM,Honolulu Corporation Counsel,21.3051851,-157.8571192,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_bxInwpuAHwRG7uBiq93iqA,Honolulu Budget & Fiscal Services,21.3051855,-157.8571196,Community Space,city hall,accounting; local_government_office; finance; point_of_interest; establishment,OPERATIONAL,1,1,NA
ChIJ_bxInwpuAHwRVES6xmQeCH4,Honolulu City Council,21.3051851,-157.8571192,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,3,2,NA
ChIJ_dNb6xJtAHwRoH_9m4jrA1A,Pālolo Valley District Park,21.2996698,-157.7955025,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.1,177,NA
ChIJ_STtnkYTAHwRL0TOzyRF8dI,"Olomana Gardens in Waimanalo, Hawaii",21.3410178,-157.7455391,Park,garden,general_contractor; park; point_of_interest; establishment,OPERATIONAL,4.3,6,NA
ChIJ_TC1iYoSAHwR8lyjFnOw9b8,Hawaiʻi Kai Dog Park,21.2840333,-157.7147951,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,121,NA
ChIJ_wTjj3RuAHwRcz6ZUWAps7s,Honolulu City Hall,21.305114,-157.8572734,Community Space,city hall,city_hall; tourist_attraction; local_government_office; point_of_interest; establishment,OPERATIONAL,4.5,115,NA
ChIJ_zEdyWhuAHwRUvI1KG_s9v4,Eagle Cafe,21.3195003,-157.8761362,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,3.9,366,NA
ChIJ_zEdyWhuAHwRZHocmadmPfc,Siam Garden Cafe,21.3188889,-157.8758333,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.4,358,NA
ChIJ_zUaqnVuAHwR2bvGwxrXpWw,Pauline Books & Media,21.309618,-157.8596149,Social Business,bookstore,book_store; store; point_of_interest; establishment,OPERATIONAL,4.6,53,NA
ChIJ_zUHbdwTAHwRW-l0DaHcewQ,Kaupō Beach Park,21.3216789,-157.6734878,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,86,NA
ChIJ---w6nRuAHwRna69rRvWHZ4,Bishop Square,21.3086935,-157.8605886,Park,square,point_of_interest; establishment,OPERATIONAL,4.3,160,NA
ChIJ-3QX9F1tAHwRK0E4C8HcWCs,Tropic Gardens,21.2813579,-157.7850914,Park,garden,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-3SDtH1yAHwRvvdjU2edvks,Hawaii Church For the Deaf,21.2729504,-157.814577,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-5Ku0odtAHwRj4Q1upEtIxM,Date Street Mini Park,21.2879926,-157.8237751,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.3,6,NA
ChIJ-73dwOBtAHwRHO0FnAfRimQ,Olena Cafe,21.2913799,-157.8391123,Social Business,cafe,cafe; store; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.7,90,NA
ChIJ-961AKhtAHwRwYuy3pFtTnM,Mari’s Urban Garden,21.3009458,-157.8552087,Park,garden,point_of_interest; establishment,OPERATIONAL,4.6,11,NA
ChIJ-c-GjbBvAHwRPjIS5wIFz9A,Milky Way Shave Ice,21.3340216,-157.8794626,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.7,3,NA
ChIJ-TREpAltAHwRdiOa1ZfmejA,Daily Whisk Matcha,21.2822359,-157.8008243,Social Business,cafe,cafe; store; food; point_of_interest; establishment,OPERATIONAL,4.5,8,NA
ChIJ-y9SL2BuAHwRUsT1hlBbZE0,Pentecostal Missionary Church Of Christ (4th Watch),21.3315804,-157.8784951,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ0_GV_YVuAHwR_42KS9LelV8,Infinitea Cafe,21.3355358,-157.8681654,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.4,43,NA
ChIJ0_uBivBtAHwRKHt3aXXlJc0,Island Brew Coffeehouse,21.2917685,-157.8458799,Social Business,cafe,cafe; store; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.4,294,NA
ChIJ0_uBivBtAHwRKHt3aXXlJc0,Island Brew Coffeehouse,21.2917685,-157.8458799,Social Business,cafe,cafe; restaurant; food; store; point_of_interest; establishment,OPERATIONAL,4.4,294,NA
ChIJ00-IzeltAHwRixFev3uUang,Piʻikoi Mini Park,21.3035883,-157.8418328,Park,park,park; point_of_interest; establishment,OPERATIONAL,4,1,NA
ChIJ01iajk5tAHwRIa_SJhMIaws,Mission Memorial Building,21.304512,-157.8564116,Community Space,city hall,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ03f0A9pvAHwRLo2atUhwq0o,Kuhio Park Playground,21.3378449,-157.8770439,Park,park,point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ0a78sQwTAHwRBMhDlVBt2L8,Cocolani Gardens,21.3322392,-157.7206378,Park,garden,florist; point_of_interest; store; establishment,OPERATIONAL,5,31,NA
ChIJ0ejbWXZyAHwRm719cMspLnA,Rock Island Cafe,21.2865775,-157.8337385,Social Business,cafe,store; restaurant; point_of_interest; food; establishment,OPERATIONAL,4.3,462,NA
ChIJ0eP0OoNtAHwRvoI93Xh8UN0,Island Gourmet Coffee,21.2821594,-157.8298494,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,3.1,9,NA
ChIJ0Wk9vNJtAHwRHJ-KbiRtT0s,Community Church of Honolulu,21.3265953,-157.8463361,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,13,NA
ChIJ0XEPAGptAHwRz0xIOZCQrkw,Hale Ho'onani Fellowship,21.3035585,-157.788324,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ0yCpQQ9sAHwRTLcBNEBKsQ4,Central Samoan Assembly God,21.365377,-157.8442084,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,4,NA
ChIJ0YOLDKltAHwRhLnahzNQLgE,oahu christian fellowship,21.315817,-157.8127818,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ0YOLDKltAHwRJRN4VpOC_GA,ワイオリ教会,21.315635,-157.8127217,Place of Worship,place of worship,place_of_worship; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.7,16,NA
ChIJ0YotHOdtAHwRVgIzAveq_Cs,Thomas Square,21.3026278,-157.8491371,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.9,266,NA
ChIJ0YotHOdtAHwRVgIzAveq_Cs,Thomas Square,21.3026278,-157.8491371,Park,fountain,park; point_of_interest; establishment,OPERATIONAL,3.9,266,NA
ChIJ0YotHOdtAHwRVgIzAveq_Cs,Thomas Square,21.3026278,-157.8491371,Park,square,park; point_of_interest; establishment,OPERATIONAL,3.9,266,NA
