place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____-PJQIYRl7aLGZ-MVrA,Global Commerce Park,29.938885,-95.39919069999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_____2vcQIYRRAbbpk3g0A8,Promenade A,29.7451163,-95.61951119999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_____8rBQIYRhiG9GDJv9-4,McGovern-Stella Link Neighborhood Library,29.6980339,-95.4397006,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.5,144,NA
ChIJ____7xXKQIYRS96-mny0W0I,Remington Ranch,29.9737947,-95.41324410000001,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.2,156,NA
ChIJ____FHyzQIYRR6I1B6VLe5c,Redeeming Word Community Church,30.0139352,-95.3774529,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ___7H7CwQIYRUtOnQ98wJHA,Praise His Name Church,29.879443,-95.3010822,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ___PyrjVQIYR095TtIxo1z4,Sugareto,29.9678493,-95.7036078,Social Business,cafe,bakery; cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.5,112,NA
ChIJ___vrz6kQIYRo-L6mGKjp0I,How To Let Go and Let God,29.8092816,-95.1594551,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ___z1ljnQIYRmsjuTtdZk6M,ED-Townewest Towne Hall,29.666918,-95.6304547,Community Space,city hall,city_hall; local_government_office; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ___zIBHrQIYR4uKQGC-X7-A,Exalting Jesus Project,29.6175343,-95.4212678,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-zmrzcQIYRLOKHowQJWzg,ReadMeAStoryToday,29.7505055,-95.5780753,Social Business,bookstore,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__1nwkbBQIYRxO7rkU2uS2E,Water Park Destination Guide,29.7531235,-95.46029370000001,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8ThvbEQIYRxsJZUuA-PuQ,Li'l Texbooks,29.7960112,-95.5226249,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8vT1DLQIYRB2S3Bvvryfk,Cypresswood Community Association,30.0362789,-95.4689753,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8zWOucQIYRP7KmGoM2rqk,United Pentecostal Church of Nasa,29.5339626,-95.12164849999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__9LJG6_QIYRycBX_2xvBWk,Signature Kafe,29.7382035,-95.38002999999999,Social Business,cafe,food; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ__9PtiS7QIYRLvtevQZIZGo,Knights of Columbus Hall,29.813063,-95.241147,Community Space,city hall,point_of_interest; establishment,OPERATIONAL,4.1,8,NA
ChIJ__9v_M_NQIYRR2DHn2iv384,Destiny Fellowship,29.9626179,-95.52978279999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,3,NA
