place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_32ivQaqbIgRFDA7Q7U4iGE,Community of Christ,39.84531339999999,-86.2607458,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_90VSatca4gR1az7tCcVr4I,Steak 'n Shake,39.664794,-86.0942081,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.8,1793,NA
ChIJ_bt2HHBUa4gRqPOdHC5R8n0,Juan Solomon Park,39.86752740000001,-86.18767439999999,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,280,NA
ChIJ_drfqE9Xa4gRF5PG9uyvlJQ,Summer Co.,39.824827,-86.2528695,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_f8oh1xRa4gRLs8kBs-0b0w,Third Dimension Worship Church,39.82781749999999,-86.15956709999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,16,NA
ChIJ_QLEXMKnbIgRsmj_7mRlWl0,Arby's,39.7438156,-86.2785378,Social Business,cafe,meal_takeaway; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.2,693,NA
ChIJ_RPrKCWzFIgRvKo_-QmZW5c,Culver's,39.926498,-86.0433403,Social Business,cafe,restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.5,1128,NA
ChIJ_RtdurtQa4gRIHsXDEOudGs,Supreme Court Law Library,39.7691681,-86.1624113,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,5,3,NA
ChIJ_S2J9q1Oa4gRFa6EWxgR6GA,Dubarry Park,39.8208878,-86.01575559999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.2,171,NA
ChIJ_Uk0PJ1Oa4gRppQI_UJ53pQ,Taco Bell,39.8298037,-86.04173809999999,Social Business,cafe,meal_takeaway; restaurant; food; point_of_interest; establishment,OPERATIONAL,3.4,743,NA
ChIJ_wxa0y1Ta4gRmSAAkpApmS8,Indiana Library Federation,39.911439,-86.1415531,Community Space,library,point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_wzP6qdRa4gRurt9BbN6Lxs,Frederick Douglass Park,39.803382,-86.1319783,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.3,350,NA
ChIJ_xEv-VGtFIgR6rFPKzXFaJ4,Fuzion by Coffee Zon,39.9237288,-86.099214,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_XoLvLJba4gRewpAH1OKWWQ,National Square Offices,39.7106589,-86.14553169999999,Park,square,real_estate_agency; point_of_interest; establishment,OPERATIONAL,3.5,4,NA
ChIJ_XThKRFXa4gRx1Duyk8ysYk,Lete's Injera & Cafe,39.7804666,-86.2082854,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,5,16,NA
ChIJ_ZgrRWFca4gRPTDsTbE9fmQ,McAlister's Deli,39.6541375,-86.1387762,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.4,1004,NA
ChIJ-_ajnEVPa4gRaZD0mfkyoK8,House of Prayer,39.760817,-86.0230289,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.3,6,NA
ChIJ-0EY3NdMa4gRzBXQP_hiPoE,Starbucks,39.905484,-86.051715,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.3,556,NA
ChIJ-0JpUX9aa4gR6g62XI6MmTI,Fountain Square Cremation & Funeral Services,39.752727,-86.1350719,Park,fountain,funeral_home; point_of_interest; establishment,OPERATIONAL,3.8,33,NA
