place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ__-_d_iB0IkRF_9KGvtEeeY,Veterinary Library,42.4474803,-76.46456359999999,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-_louB0IkRLzhzPiw1hIY,Johnson Graduate School of Management Library,42.4458947,-76.4832581,Community Space,library,library; point_of_interest; establishment,CLOSED_TEMPORARILY,5,1,TRUE
ChIJ__8_3IqB0IkRfqrv_LHxDNY,M P Catherwood Industrial Lib,42.4472515,-76.4809992,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ__BQFByB0IkR1Fr9-g3WkQw,Tompkins Community Action - Food Distribution Center,42.41916399999999,-76.5186866,Community Space,community center,food; point_of_interest; establishment,OPERATIONAL,4,1,NA
ChIJ_-8YPB-B0IkRfEr2QpR1_fY,Garden Center at The Home Depot,42.419833,-76.52386299999999,Park,garden,furniture_store; home_goods_store; general_contractor; point_of_interest; store; establishment,OPERATIONAL,4.5,2,NA
ChIJ_28DGB-B0IkRAp4ipOFca0w,Odyssey Bookstore,42.4383622,-76.4999993,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,4.9,32,NA
ChIJ_dqD0bx42okR5fl54nyiaBA,Cornell Garden Plots,42.4615031,-76.4443533,Park,garden,school; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_e9KYYuB0IkR3GlS-OHLMZM,Gimme! Coffee,42.4449635,-76.4811687,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.6,61,NA
ChIJ_UOIxqSB0IkREC1qvT3rwCk,Ithaca College - Garden Apts,42.42518,-76.49192,Park,garden,transit_station; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_W6bRpuB0IkRT3IfatBeKN0,Comics for Collectors,42.439681,-76.49999199999999,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,3.8,119,NA
ChIJ_YS-o8yB0IkRez1lUHalmdE,Ithaca Store,42.4439631,-76.50180979999999,Social Business,bookstore,book_store; point_of_interest; store; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ--Cq93iB0IkR6L-ChaApMLM,Ithaca Friends Meeting,42.4452121,-76.50460269999999,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-9v7h3CB0IkRx3vSb-3okQQ,Mann cafe,42.4486248,-76.476565,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,3.5,4,NA
ChIJ-bxCN46B0IkRexElZNwCq6U,Chatty Cathy Coffee and Juice Co.,42.4416584,-76.48726599999999,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.7,78,NA
ChIJ-SzkO2SC0IkRmiwhp2SuCW0,Philip R. Dankert Village Park,42.480677,-76.47260899999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,13,NA
ChIJ-TGtoi-B0IkRFX1hUpgwSD4,Ithaca Orchid Garden Florist,42.4439631,-76.50180979999999,Park,garden,florist; point_of_interest; store; establishment,CLOSED_TEMPORARILY,4.6,11,TRUE
ChIJ-VoaqxmD0IkR6lf_VzTXsYA,Cornell Equine Park,42.45978820000001,-76.4599334,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.7,6,NA
