type,term,name,rating,business_status,lng,lat
Community Space,library,Veterinary Library,0,OPERATIONAL,-76.46456359999999,42.4474803
Community Space,library,Johnson Graduate School of Management Library,5,CLOSED_TEMPORARILY,-76.4832581,42.4458947
Community Space,library,M P Catherwood Industrial Lib,5,OPERATIONAL,-76.4809992,42.4472515
Community Space,community center,Tompkins Community Action - Food Distribution Center,4,OPERATIONAL,-76.5186866,42.41916399999999
Park,garden,Garden Center at The Home Depot,4.5,OPERATIONAL,-76.52386299999999,42.419833
Social Business,bookstore,Odyssey Bookstore,4.9,OPERATIONAL,-76.4999993,42.4383622
Park,garden,Cornell Garden Plots,0,OPERATIONAL,-76.4443533,42.4615031
Social Business,cafe,Gimme! Coffee,4.6,OPERATIONAL,-76.4811687,42.4449635
Park,garden,Ithaca College - Garden Apts,0,OPERATIONAL,-76.49192,42.42518
Social Business,bookstore,Comics for Collectors,3.8,OPERATIONAL,-76.49999199999999,42.439681
Social Business,bookstore,Ithaca Store,0,CLOSED_TEMPORARILY,-76.50180979999999,42.4439631
Place of Worship,place of worship,Ithaca Friends Meeting,0,OPERATIONAL,-76.50460269999999,42.4452121
Social Business,cafe,Mann cafe,3.5,OPERATIONAL,-76.476565,42.4486248
Social Business,cafe,Chatty Cathy Coffee and Juice Co.,4.7,OPERATIONAL,-76.48726599999999,42.4416584
Park,park,Philip R. Dankert Village Park,4.5,OPERATIONAL,-76.47260899999999,42.480677
Park,garden,Ithaca Orchid Garden Florist,4.6,CLOSED_TEMPORARILY,-76.50180979999999,42.4439631
Park,park,Cornell Equine Park,4.7,OPERATIONAL,-76.4599334,42.45978820000001
Park,park,Ithaca Park Reservations,0,OPERATIONAL,-76.50016839999999,42.4633448
Social Business,cafe,The Bistro at La Tourelle,4.5,OPERATIONAL,-76.50220159999999,42.4015307
Place of Worship,place of worship,St. John's Episcopal Church,5,OPERATIONAL,-76.4992973,42.4411717
Place of Worship,place of worship,Varna United Methodist Church,4.5,OPERATIONAL,-76.43738920000001,42.4548168
Community Space,city hall,Town of Ithaca Town Hall,1,OPERATIONAL,-76.4967192,42.4411415
Park,park,Allan H Treman State Marine Park,4.7,OPERATIONAL,-76.512653,42.4573166
Community Space,library,Nestle Library,4.6,OPERATIONAL,-76.48215429999999,42.445541
Place of Worship,place of worship,Tabernacle Baptist Church,3.9,OPERATIONAL,-76.499256,42.4517392
Social Business,cafe,Mattin's Cafe,4.1,OPERATIONAL,-76.4823639,42.44436520000001
Social Business,cafe,Martha's Cafe,4.4,OPERATIONAL,-76.47913179999999,42.4500208
Community Space,city hall,Ithaca City Hall,3.3,OPERATIONAL,-76.49847849999999,42.4387913
Community Space,community center,Southside Community Center,4.7,OPERATIONAL,-76.5036302,42.4375095
Park,garden,Rooftop Garden,0,OPERATIONAL,-76.4810704,42.446851
Community Space,community center,Community Dispute Resolution Center,5,OPERATIONAL,-76.4969565,42.4393238
Park,park,Permaculture Park,5,OPERATIONAL,-76.5029703,42.4488348
Park,garden,Permaculture Park,5,OPERATIONAL,-76.5029703,42.4488348
Community Space,community center,Robert Purcell Community Center,0,OPERATIONAL,-76.47713,42.45674
Social Business,cafe,Temple of Zeus,4.6,OPERATIONAL,-76.48340999999999,42.44900060000001
Place of Worship,place of worship,Hoover Kenneth,0,OPERATIONAL,-76.592573,42.408028
Park,park,Horseshoe Falls,4.7,OPERATIONAL,-76.4859848,42.45199059999999
Park,park,Стоянка 123,2,OPERATIONAL,-76.4991046,42.4376151
Park,park,Buttermilk Falls State Park,4.7,OPERATIONAL,-76.5211832,42.4168452
Park,park,Parking Ithaca,3.4,OPERATIONAL,-76.50489,42.438497
Place of Worship,place of worship,Christ Church Ithaca,5,OPERATIONAL,-76.49972819999999,42.4360671
Park,garden,Garden@Tower,0,OPERATIONAL,-76.47968999999999,42.44738
Park,park,"Cass Park, Rink & Pool",4.3,OPERATIONAL,-76.51458509999999,42.4529588
Place of Worship,place of worship,Bread of Life Anglican Church of Ithaca,5,OPERATIONAL,-76.4944879,42.43973949999999
Social Business,cafe,Amit Bhatia Libe Café,4.3,OPERATIONAL,-76.484586,42.4480805
Community Space,community center,College Circle Community Center,0,OPERATIONAL,-76.5003669,42.4117561
Social Business,cafe,Fork and Gavel Kitchen,3.8,OPERATIONAL,-76.4860283,42.4435628
Social Business,cafe,Collegetown Bagels,4.4,OPERATIONAL,-76.4949594,42.4394583
Place of Worship,place of worship,Christian Community Church Ithaca,5,OPERATIONAL,-76.50343250000002,42.437415
Park,park,Stewart Park,4.7,OPERATIONAL,-76.5032365,42.4613514
Community Space,library,Finger Lakes Toy Library,4.8,OPERATIONAL,-76.49137080000001,42.4835813
Social Business,cafe,Sacred Root Kava Lounge & Tea Bar,4.7,OPERATIONAL,-76.50048610000002,42.4392488
Place of Worship,place of worship,Forest Home Chapel,4.3,OPERATIONAL,-76.4681777,42.4517333
Place of Worship,place of worship,The Knoll,5,OPERATIONAL,-76.490101,42.4534122
Place of Worship,place of worship,Reformed Community Church,0,OPERATIONAL,-76.50357389999999,42.4362225
Place of Worship,place of worship,Browntown,5,OPERATIONAL,-76.48567170000001,42.4389
Social Business,bookstore,Barnes & Noble,4.4,OPERATIONAL,-76.51034369999999,42.4326215
Social Business,cafe,Dunkin',3.7,OPERATIONAL,-76.5079205,42.4381131
Social Business,cafe,Alley Cat Cafe,4.8,OPERATIONAL,-76.4950526,42.4407309
Community Space,community center,CFCU Community Credit Union - Transformation Center Branch,3,OPERATIONAL,-76.4965017,42.4398054
Community Space,library,Library Place,0,OPERATIONAL,-76.49961789999999,42.442331
Community Space,community center,Bethel Grove Church Center,5,OPERATIONAL,-76.43777349999999,42.4088133
Community Space,community center,the Sustainability Center,5,OPERATIONAL,-76.50515,42.430248
Social Business,cafe,Kelly's Dock-Side Cafe,3.8,OPERATIONAL,-76.512158,42.441905
Place of Worship,place of worship,Muller Chapel,4.8,OPERATIONAL,-76.4967467,42.42266040000001
Community Space,community center,The Lindisfarne Community,0,OPERATIONAL,-76.4721465,42.4666018
Community Space,community center,Teen Community Center Project,0,OPERATIONAL,-76.4950408,42.4407165
Social Business,cafe,The Strand Cafe,4.4,OPERATIONAL,-76.4949048,42.4401429
Park,park,Houston Pond,5,OPERATIONAL,-76.45475929999999,42.4510069
Place of Worship,place of worship,Baptized Church of Jesus Christ,4.2,OPERATIONAL,-76.5036397,42.4477377
Park,park,Cass Park Trailhead,4.5,OPERATIONAL,-76.51462289999999,42.4524205
Community Space,library,John M. Olin Library,4.5,OPERATIONAL,-76.48417239999999,42.44777879999999
Social Business,bookstore,Worldwide Books,5,OPERATIONAL,-76.5137594,42.4397848
Park,square,Winston Square Apartments,2.9,OPERATIONAL,-76.4578903,42.4756891
Community Space,community center,Robert Purcell Community Center - Cornell,0,OPERATIONAL,-76.47693,42.45663
Social Business,cafe,The State Diner,4.2,OPERATIONAL,-76.505202,42.439523
Community Space,community center,Free Science Workshop,5,OPERATIONAL,-76.5030259,42.4482641
Park,square,Fairview Tours,0,OPERATIONAL,-76.4762356,42.4406469
Social Business,cafe,Bus Stop Bagels,4.3,OPERATIONAL,-76.4794052,42.4478366
Social Business,cafe,Sultana,0,OPERATIONAL,-76.50164699999999,42.443936
Park,garden,Newman Overlook,4.9,OPERATIONAL,-76.453178,42.45242
Community Space,community center,Varna Community Association,4.8,OPERATIONAL,-76.4397291,42.45428769999999
Place of Worship,place of worship,Two Rivers Church - Ithaca,5,OPERATIONAL,-76.502258,42.442177
Park,square,SOUTH MEADOW Square,4.2,OPERATIONAL,-76.5124228,42.4278507
Social Business,cafe,Allechant,4.7,OPERATIONAL,-76.480014,42.4689309
Social Business,cafe,Big Red Barn,4.5,OPERATIONAL,-76.4810282,42.44842269999999
Community Space,community center,Community Center of Hasbrouck Apartments,4.2,OPERATIONAL,-76.471898,42.4563388
Community Space,library,Albert R. Mann Library,4.9,OPERATIONAL,-76.476316,42.4487952
Social Business,cafe,Gimme! Coffee,4.6,OPERATIONAL,-76.506456,42.439456
Social Business,cafe,Rusty's,4.2,OPERATIONAL,-76.4822465,42.4474569
Park,park,The Old Mill,4.7,OPERATIONAL,-76.5896174,42.4021102
Community Space,city hall,Cayuga Heights Village Barn,0,OPERATIONAL,-76.4794307,42.4631875
Place of Worship,place of worship,Vineyard Church of Ithaca,4.2,OPERATIONAL,-76.4769886,42.4795987
Park,park,Triangle Park,4.4,OPERATIONAL,-76.49970429999999,42.4455651
Park,park,Hungerford Heights Park,4.5,OPERATIONAL,-76.4491012,42.4254805
Social Business,bookstore,Buffalo Street Books,4.8,OPERATIONAL,-76.498352,42.441218
Park,park,Cass Park Tennis Courts,3,OPERATIONAL,-76.5137766,42.4530928
Park,square,Harolds Square,2,OPERATIONAL,-76.4980272,42.4393198
Park,park,Marian Hartill Park,4.7,OPERATIONAL,-76.4743354,42.485718
Place of Worship,place of worship,South Hill Church-The Nazarene,0,OPERATIONAL,-76.4936596,42.4313368
Park,park,"Robert H. Treman State Park, Upper Entrance",4.8,OPERATIONAL,-76.5888755,42.40249230000001
Social Business,cafe,Starbucks,4,OPERATIONAL,-76.4907381,42.4853782
Park,park,Mulholland Wildflower Preserve,4.6,OPERATIONAL,-76.48413420000001,42.4326368
Park,garden,Early Bird Farm,5,CLOSED_TEMPORARILY,-76.5566711,42.391838
Park,park,Black Diamond Trail,0,OPERATIONAL,-76.4968291,42.4395082
Social Business,cafe,Cafe Jennie,4.6,OPERATIONAL,-76.4842065,42.4467528
Park,garden,GreenTree Garden Supply,4.8,OPERATIONAL,-76.5333152,42.414253
Park,park,Six Mile Creek,4.5,OPERATIONAL,-76.4869361,42.4345764
Place of Worship,place of worship,Trinity Lutheran Church,4.9,OPERATIONAL,-76.4638988,42.4286853
Social Business,cafe,Red And White Cafe,4.5,OPERATIONAL,-76.5043022,42.4426506
Community Space,city hall,Ithaca City Court,3.6,OPERATIONAL,-76.49757869999999,42.4370603
Place of Worship,place of worship,His Tabernacle - Ithaca Campus,5,OPERATIONAL,-76.50627829999999,42.4361335
Park,park,"Lower Falls, Enfield Glen",4.6,OPERATIONAL,-76.5611843,42.3973999
Community Space,community center,Ithaca Community Childcare,5,OPERATIONAL,-76.46625999999999,42.477888
Social Business,cafe,Dolce Delight,4.7,OPERATIONAL,-76.503322,42.408228
Park,park,Tualatin Hills Park,0,OPERATIONAL,-76.4735026,42.4534492
Community Space,community center,Robert Purcell Community Center,4.4,OPERATIONAL,-76.4774412,42.45592449999999
Social Business,cafe,Trillium Dining Hall,4.2,OPERATIONAL,-76.4792602,42.4479763
Community Space,city hall,Ithaca Police Department,3.7,OPERATIONAL,-76.4974745,42.4370315
Social Business,cafe,Botanist Coffeehouse,4.8,OPERATIONAL,-76.497605,42.4534975
Social Business,cafe,McDonald's,3.1,OPERATIONAL,-76.48690409999999,42.4848011
Place of Worship,place of worship,Our Lord's Temple Church of God in Christ,5,OPERATIONAL,-76.49681799999999,42.444775
Social Business,cafe,Market Café,4.1,OPERATIONAL,-76.5098618,42.4353787
