place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____2-45YgR4and2i7RvxU,Arlington-Westside Dove,30.2776512,-81.7239395,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,2,2,NA
ChIJ_____2-45YgRHgCJh6G9ocg,Believers & Achievers Center,30.2776512,-81.7239395,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_____5NJ5IgR16CkpXqHtGI,First Missionary Church,30.2745944,-81.4114142,Place of Worship,place of worship,place_of_worship; church; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ___LE0245YgR0LJEGy0oi7A,MARS HILL CHURCH,30.3099019,-81.72235189999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ___z79Gw5YgR-7fryFC6bZM,DOVE OUTREACH CENTER INC.,30.36002659999999,-81.6575933,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-vnDjK5YgR0UU4wZt9u0U,Baymeadows Cafe and Grill,30.22662919999999,-81.5818405,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.9,65,NA
ChIJ__8PdrbM5YgRKesXwVjUW4I,Poke Cafe,30.140519,-81.5209057,Social Business,cafe,cafe; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.6,407,NA
ChIJ__8TyAm05YgRuokwkuyrSkg,La Palmerita,30.3536837,-81.5777432,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.7,99,NA
ChIJ__9PPDW45YgR_lR_fNUjd-c,Island Fresh,30.2853277,-81.4886099,Social Business,cafe,restaurant; meal_delivery; food; point_of_interest; store; establishment,OPERATIONAL,4.8,61,NA
ChIJ__yfgSqjWBQRbDbRujplWJg,OfficeMax,30.4788649,-81.63715739999999,Park,square,electronics_store; furniture_store; home_goods_store; point_of_interest; store; establishment,OPERATIONAL,4,170,NA
ChIJ_2voH3y15YgR1i0Vh5xMa_8,Mambos Cuban Cafe Express,30.259462,-81.554075,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.5,612,NA
ChIJ_2xJc2245YgR1qDhEiVXY-s,Life Fulfilling Community,30.2784512,-81.71537529999999,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_2z0taqw5YgRwNQt1AGpRh0,Johnnie Walker Community Center,30.355592,-81.7021266,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.3,54,NA
ChIJ_3sC_aW75YgRHGYcUrBjm6M,"Bridegroom Apostolic Church Inc. ""KaVod ChaTan""",30.399055,-81.74642800000001,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,38,NA
ChIJ_5-GzcrL5YgRLQWstiH6-Sg,Jacksonville Plaza Restaurant Partners LLC,30.2576604,-81.5982032,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_6_0dHO35YgRyabUEDVfWHs,Temple of Fire Deliverance Ministry,30.3376124,-81.67934699999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_70VnM7O5YgR2RX-3Q4ZBZI,Avis Car Rental,30.16287,-81.63354,Park,square,car_rental; point_of_interest; establishment,OPERATIONAL,4.2,65,NA
ChIJ_71nsBe35YgRoiolbDIONTs,JaxParks,30.3287766,-81.6604538,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_71nsBe35YgROObna0O68sk,214 N Hogan,30.3288019,-81.6604335,Community Space,city hall,parking; point_of_interest; establishment,OPERATIONAL,4.2,6,NA
ChIJ_76doMOz5YgRNrpr-LHJZOs,Viet Subs Cafe,30.3463271,-81.5254011,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.6,100,NA
ChIJ_77zpKe55YgRr31gP_xNTqI,Walmart Patio & Garden Services,30.301618,-81.75837899999999,Park,garden,general_contractor; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_9wyN3i15YgRZXqIloK-qHE,Dunkin',30.2658074,-81.5574571,Social Business,cafe,bakery; meal_takeaway; cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.6,488,NA
ChIJ_c7Hoh205YgRXBtBnVndgZQ,Real World Worship Center Inc.,30.3349817,-81.60204139999999,Place of Worship,place of worship,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_cd1drS15YgR13WDYe3zUqE,Walmart Patio & Garden Services,30.283485,-81.562702,Park,garden,general_contractor; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_eP4pcu45YgR2CagLGA69xE,Whataburger,30.2958884,-81.7756059,Social Business,cafe,restaurant; meal_takeaway; food; point_of_interest; establishment,OPERATIONAL,4.1,2491,NA
ChIJ_S2xxnfH5YgRHAPo62VrDsQ,Starbucks,30.204486,-81.759321,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.3,445,NA
ChIJ_UKxzpSw5YgR81riCv_B1T4,Norwood Park,30.3812604,-81.67006590000001,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.3,18,NA
ChIJ_V8tAsrL5YgRr8sDuXQJ_vs,Julie's Cafe,30.205701,-81.5819637,Social Business,cafe,cafe; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.5,177,NA
ChIJ_wikh2675YgRlAiyVSvpqeA,Solomons Porches of Miracles,30.38636799999999,-81.708119,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_xJWCBi55YgR9pp4TaPhsMU,Ryder Park,30.34826249999999,-81.70159699999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.7,11,NA
ChIJ_Y3TM2y05YgReobQ-2_qszI,Mosaic International Church,30.3336983,-81.57696899999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_y8awni75YgRjlXuVIINHrA,James Field Park,30.3628198,-81.7443078,Park,park,park; point_of_interest; establishment,OPERATIONAL,4,30,NA
ChIJ_Z1Bwp3B5YgRsMi9Vv43koc,Wendy's,30.1969626,-81.823889,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,2.9,1026,NA
ChIJ_ZDYx26x5YgR6Nre633vSY0,Margo Garden Products,30.4221686,-81.6269305,Park,garden,point_of_interest; establishment,OPERATIONAL,4.5,4,NA
ChIJ--sddjJM5IgRPzCeCAWk28M,Fishing Spot,30.381248,-81.43889,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,94,NA
ChIJ-1ebSQq45YgR8dvDiQKfi4M,Columbus Park,30.2675219,-81.70911819999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.4,25,NA
ChIJ-23GGG-45YgROUvQUtyWPbU,Wendy's,30.2818395,-81.72161899999999,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.4,1051,NA
ChIJ-2dVsYvJ5YgR50MEt-IdBMU,1928 Cuban Bistro,30.2176296,-81.6147685,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.7,483,NA
ChIJ-4G76Ta75YgRUpN3X_znybI,Pickettville Park,30.36210569999999,-81.7447846,Park,park,point_of_interest; establishment,OPERATIONAL,5,12,NA
ChIJ-79qu3a35YgR_eEmxgMYMX8,Marjenhoff Park,30.3116092,-81.6481246,Park,park,point_of_interest; establishment,OPERATIONAL,4.3,6,NA
ChIJ-7gy6UPB5YgRaFdQR4uTx50,McDonald's,30.195251,-81.796177,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.7,1091,NA
ChIJ-9qKzZGw5YgRgZOOnxwonCw,Restoration at Life Changing Ministries,30.3885183,-81.6774344,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.9,21,NA
ChIJ-9rhZXgx5IgRHXxEo55FlEI,Starbucks,30.110185,-81.417429,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.9,176,NA
ChIJ-bDm-eO55YgRsb9UH952gjU,Mother Church Kingdom of Peace,30.339513,-81.696356,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-bozjO_O5YgRJce-3XGOJgs,Mandarin Park,30.1361462,-81.6360114,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.5,809,NA
