cell,x,y,term,id
1,-81.68585426776475,30.13056177331083,library,1
1,-81.68585426776475,30.13056177331083,community center,2
1,-81.68585426776475,30.13056177331083,city hall,3
1,-81.68585426776475,30.13056177331083,place of worship,4
1,-81.68585426776475,30.13056177331083,park,5
1,-81.68585426776475,30.13056177331083,fountain,6
1,-81.68585426776475,30.13056177331083,square,7
1,-81.68585426776475,30.13056177331083,garden,8
1,-81.68585426776475,30.13056177331083,bookstore,9
1,-81.68585426776475,30.13056177331083,cafe,10
2,-81.66449070602344,30.127953316089584,library,11
2,-81.66449070602344,30.127953316089584,community center,12
2,-81.66449070602344,30.127953316089584,city hall,13
2,-81.66449070602344,30.127953316089584,place of worship,14
2,-81.66449070602344,30.127953316089584,park,15
2,-81.66449070602344,30.127953316089584,fountain,16
2,-81.66449070602344,30.127953316089584,square,17
2,-81.66449070602344,30.127953316089584,garden,18
2,-81.66449070602344,30.127953316089584,bookstore,19
2,-81.66449070602344,30.127953316089584,cafe,20
3,-81.64312861183876,30.125340977001958,library,21
3,-81.64312861183876,30.125340977001958,community center,22
3,-81.64312861183876,30.125340977001958,city hall,23
3,-81.64312861183876,30.125340977001958,place of worship,24
3,-81.64312861183876,30.125340977001958,park,25
3,-81.64312861183876,30.125340977001958,fountain,26
3,-81.64312861183876,30.125340977001958,square,27
3,-81.64312861183876,30.125340977001958,garden,28
3,-81.64312861183876,30.125340977001958,bookstore,29
3,-81.64312861183876,30.125340977001958,cafe,30
4,-81.6217679872297,30.12272475634559,library,31
4,-81.6217679872297,30.12272475634559,community center,32
4,-81.6217679872297,30.12272475634559,city hall,33
4,-81.6217679872297,30.12272475634559,place of worship,34
4,-81.6217679872297,30.12272475634559,park,35
4,-81.6217679872297,30.12272475634559,fountain,36
4,-81.6217679872297,30.12272475634559,square,37
4,-81.6217679872297,30.12272475634559,garden,38
4,-81.6217679872297,30.12272475634559,bookstore,39
4,-81.6217679872297,30.12272475634559,cafe,40
5,-81.6004088342142,30.120104654418306,library,41
5,-81.6004088342142,30.120104654418306,community center,42
5,-81.6004088342142,30.120104654418306,city hall,43
5,-81.6004088342142,30.120104654418306,place of worship,44
5,-81.6004088342142,30.120104654418306,park,45
5,-81.6004088342142,30.120104654418306,fountain,46
5,-81.6004088342142,30.120104654418306,square,47
5,-81.6004088342142,30.120104654418306,garden,48
5,-81.6004088342142,30.120104654418306,bookstore,49
5,-81.6004088342142,30.120104654418306,cafe,50
6,-81.57905115480958,30.117480671518532,library,51
6,-81.57905115480958,30.117480671518532,community center,52
6,-81.57905115480958,30.117480671518532,city hall,53
6,-81.57905115480958,30.117480671518532,place of worship,54
6,-81.57905115480958,30.117480671518532,park,55
6,-81.57905115480958,30.117480671518532,fountain,56
6,-81.57905115480958,30.117480671518532,square,57
6,-81.57905115480958,30.117480671518532,garden,58
6,-81.57905115480958,30.117480671518532,bookstore,59
6,-81.57905115480958,30.117480671518532,cafe,60
7,-81.55769495103202,30.114852807944846,library,61
