place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_-Ivd65taYgREZOhsKUClYs,Vic's Cafe,38.2926593,-85.802168,Social Business,cafe,bar; restaurant; point_of_interest; food; establishment,OPERATIONAL,4.5,440,NA
ChIJ_2Y5pM4MaYgRrs7MRwRgUMk,Highland Morning,38.2329038,-85.7111664,Social Business,cafe,restaurant; point_of_interest; food; establishment,OPERATIONAL,4.5,1321,NA
ChIJ_5tz7FgNaYgRoE9elCJnq2Y,Station House Square Apartments,38.225603,-85.764495,Park,square,point_of_interest; establishment,OPERATIONAL,3.2,53,NA
ChIJ_6OlGCNzaYgR2eP-MbqmOzM,Lou Lou Food & Drink,38.253024,-85.64707,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.5,817,NA
ChIJ_9z63WgLaYgRj-vHngQxJpQ,Sullivan University Library,38.2140388,-85.6706951,Community Space,library,library; university; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ_a9xnMpyaYgRpTeYUX-DnRE,May Hillerich Park,38.2414561,-85.7458668,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_aeTfXYPaYgRXam9t8Fx-xg,Colonial Square Cooperative,38.148728,-85.697486,Park,square,point_of_interest; establishment,OPERATIONAL,4.3,18,NA
ChIJ_TuDwesRaYgRSPzghnClGGU,Royal Garden Apartments,38.1395875,-85.7838853,Park,garden,point_of_interest; establishment,OPERATIONAL,3.5,129,NA
ChIJ_xgbtx0LaYgRQdezKox_d4I,Canaan Christian Church,38.2075102,-85.64544649999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,87,NA
ChIJ_xgbtx0LaYgRyXoDmQMqlhI,Canaan Family Life Center,38.2075416,-85.6453543,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_xYvfJZyaYgRdwfGSHmg52c,George Rogers Clark Memorial Bridge,38.26340400000001,-85.7516292,Park,fountain,tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.3,391,NA
ChIJ_ZCd2F8RaYgRcnDdgTz3nlU,Wilson's Farm and greenhouse,38.1565087,-85.8281811,Park,garden,point_of_interest; store; establishment,OPERATIONAL,4.6,60,NA
ChIJ_zKlHTdtaYgRAR6Jb_iJysI,Moore Temple Church Of God In Christ,38.2495522,-85.79072070000001,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,26,NA
ChIJ_ZoZrdUNaYgRFmhqK7vouWo,Henderson Park,38.2025701,-85.73196670000002,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-_nHjGBzaYgRe985bG83_lk,Carmichael's School Books & Business Office,38.253326,-85.70988299999999,Social Business,bookstore,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-0IJx3FzaYgR092HTtmfclU,Fountain Nancy A,38.2705957,-85.6984952,Park,fountain,doctor; health; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-3rGUF8RaYgRrMHQSvBiyBk,Arby's,38.1582807,-85.8329784,Social Business,cafe,meal_takeaway; store; restaurant; point_of_interest; food; establishment,OPERATIONAL,3.9,999,NA
ChIJ-4L8FdJsaYgRgMc21uKzEVY,First Congregational Methodist,38.2462831,-85.816684,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.6,14,NA
ChIJ-7Pp60lzaYgRqrey9pUaPJY,Fante's Coffeehouse And Private Label Coffee Roasters,38.2444251,-85.7040991,Social Business,cafe,bar; cafe; restaurant; food; store; point_of_interest; establishment,OPERATIONAL,4.6,740,NA
ChIJ-8moehJtaYgRh66glqJIy9M,Flaget Field Park,38.2449074,-85.827122,Park,park,park; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ-8NyR7VyaYgRNs1LK272O08,Coke Memorial United Methodist Church,38.2405125,-85.7469952,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.6,11,NA
ChIJ-9EZixZtaYgRcW4Pm6DRYOU,"Love City, Inc.",38.2652044,-85.79339089999999,Community Space,community center,gym; health; point_of_interest; establishment,OPERATIONAL,4.5,10,NA
