cell,x,y,term,id
1,-87.04967443395579,35.99843408393951,library,1
1,-87.04967443395579,35.99843408393951,community center,2
1,-87.04967443395579,35.99843408393951,city hall,3
1,-87.04967443395579,35.99843408393951,place of worship,4
1,-87.04967443395579,35.99843408393951,park,5
1,-87.04967443395579,35.99843408393951,fountain,6
1,-87.04967443395579,35.99843408393951,square,7
1,-87.04967443395579,35.99843408393951,garden,8
1,-87.04967443395579,35.99843408393951,bookstore,9
1,-87.04967443395579,35.99843408393951,cafe,10
2,-87.0263449893463,35.996823568552166,library,11
2,-87.0263449893463,35.996823568552166,community center,12
2,-87.0263449893463,35.996823568552166,city hall,13
2,-87.0263449893463,35.996823568552166,place of worship,14
2,-87.0263449893463,35.996823568552166,park,15
2,-87.0263449893463,35.996823568552166,fountain,16
2,-87.0263449893463,35.996823568552166,square,17
2,-87.0263449893463,35.996823568552166,garden,18
2,-87.0263449893463,35.996823568552166,bookstore,19
2,-87.0263449893463,35.996823568552166,cafe,20
3,-87.00301663492436,35.995208868368294,library,21
3,-87.00301663492436,35.995208868368294,community center,22
3,-87.00301663492436,35.995208868368294,city hall,23
3,-87.00301663492436,35.995208868368294,place of worship,24
3,-87.00301663492436,35.995208868368294,park,25
3,-87.00301663492436,35.995208868368294,fountain,26
3,-87.00301663492436,35.995208868368294,square,27
3,-87.00301663492436,35.995208868368294,garden,28
3,-87.00301663492436,35.995208868368294,bookstore,29
3,-87.00301663492436,35.995208868368294,cafe,30
4,-86.6532241375186,35.970487356046164,library,31
4,-86.6532241375186,35.970487356046164,community center,32
4,-86.6532241375186,35.970487356046164,city hall,33
4,-86.6532241375186,35.970487356046164,place of worship,34
4,-86.6532241375186,35.970487356046164,park,35
4,-86.6532241375186,35.970487356046164,fountain,36
4,-86.6532241375186,35.970487356046164,square,37
4,-86.6532241375186,35.970487356046164,garden,38
4,-86.6532241375186,35.970487356046164,bookstore,39
4,-86.6532241375186,35.970487356046164,cafe,40
5,-86.62991366297024,35.96880579405301,library,41
5,-86.62991366297024,35.96880579405301,community center,42
5,-86.62991366297024,35.96880579405301,city hall,43
5,-86.62991366297024,35.96880579405301,place of worship,44
5,-86.62991366297024,35.96880579405301,park,45
5,-86.62991366297024,35.96880579405301,fountain,46
5,-86.62991366297024,35.96880579405301,square,47
5,-86.62991366297024,35.96880579405301,garden,48
5,-86.62991366297024,35.96880579405301,bookstore,49
5,-86.62991366297024,35.96880579405301,cafe,50
6,-86.60660432446845,35.96712005135061,library,51
6,-86.60660432446845,35.96712005135061,community center,52
6,-86.60660432446845,35.96712005135061,city hall,53
6,-86.60660432446845,35.96712005135061,place of worship,54
6,-86.60660432446845,35.96712005135061,park,55
6,-86.60660432446845,35.96712005135061,fountain,56
6,-86.60660432446845,35.96712005135061,square,57
6,-86.60660432446845,35.96712005135061,garden,58
6,-86.60660432446845,35.96712005135061,bookstore,59
6,-86.60660432446845,35.96712005135061,cafe,60
7,-87.04746464419996,36.01541881698852,library,61
7,-87.04746464419996,36.01541881698852,community center,62
7,-87.04746464419996,36.01541881698852,city hall,63
7,-87.04746464419996,36.01541881698852,place of worship,64
7,-87.04746464419996,36.01541881698852,park,65
7,-87.04746464419996,36.01541881698852,fountain,66
7,-87.04746464419996,36.01541881698852,square,67
7,-87.04746464419996,36.01541881698852,garden,68
7,-87.04746464419996,36.01541881698852,bookstore,69
7,-87.04746464419996,36.01541881698852,cafe,70
8,-87.02412950814829,36.01380795926079,library,71
8,-87.02412950814829,36.01380795926079,community center,72
8,-87.02412950814829,36.01380795926079,city hall,73
8,-87.02412950814829,36.01380795926079,place of worship,74
8,-87.02412950814829,36.01380795926079,park,75
8,-87.02412950814829,36.01380795926079,fountain,76
8,-87.02412950814829,36.01380795926079,square,77
8,-87.02412950814829,36.01380795926079,garden,78
8,-87.02412950814829,36.01380795926079,bookstore,79
8,-87.02412950814829,36.01380795926079,cafe,80
9,-87.00079546302479,36.01219291530093,library,81
9,-87.00079546302479,36.01219291530093,community center,82
9,-87.00079546302479,36.01219291530093,city hall,83
9,-87.00079546302479,36.01219291530093,place of worship,84
9,-87.00079546302479,36.01219291530093,park,85
9,-87.00079546302479,36.01219291530093,fountain,86
9,-87.00079546302479,36.01219291530093,square,87
9,-87.00079546302479,36.01219291530093,garden,88
9,-87.00079546302479,36.01219291530093,bookstore,89
9,-87.00079546302479,36.01219291530093,cafe,90
10,-86.97746249298767,36.010573750143244,library,91
10,-86.97746249298767,36.010573750143244,community center,92
10,-86.97746249298767,36.010573750143244,city hall,93
10,-86.97746249298767,36.010573750143244,place of worship,94
10,-86.97746249298767,36.010573750143244,park,95
10,-86.97746249298767,36.010573750143244,fountain,96
10,-86.97746249298767,36.010573750143244,square,97
10,-86.97746249298767,36.010573750143244,garden,98
10,-86.97746249298767,36.010573750143244,bookstore,99
10,-86.97746249298767,36.010573750143244,cafe,100
11,-86.69755337116918,35.99081743712583,library,101
11,-86.69755337116918,35.99081743712583,community center,102
11,-86.69755337116918,35.99081743712583,city hall,103
11,-86.69755337116918,35.99081743712583,place of worship,104
11,-86.69755337116918,35.99081743712583,park,105
11,-86.69755337116918,35.99081743712583,fountain,106
11,-86.69755337116918,35.99081743712583,square,107
11,-86.69755337116918,35.99081743712583,garden,108
11,-86.69755337116918,35.99081743712583,bookstore,109
11,-86.69755337116918,35.99081743712583,cafe,110
12,-86.67423495759562,35.98914388381906,library,111
12,-86.67423495759562,35.98914388381906,community center,112
12,-86.67423495759562,35.98914388381906,city hall,113
12,-86.67423495759562,35.98914388381906,place of worship,114
12,-86.67423495759562,35.98914388381906,park,115
12,-86.67423495759562,35.98914388381906,fountain,116
12,-86.67423495759562,35.98914388381906,square,117
12,-86.67423495759562,35.98914388381906,garden,118
12,-86.67423495759562,35.98914388381906,bookstore,119
12,-86.67423495759562,35.98914388381906,cafe,120
13,-86.65091767543284,35.9874661484275,library,121
13,-86.65091767543284,35.9874661484275,community center,122
13,-86.65091767543284,35.9874661484275,city hall,123
13,-86.65091767543284,35.9874661484275,place of worship,124
13,-86.65091767543284,35.9874661484275,park,125
13,-86.65091767543284,35.9874661484275,fountain,126
13,-86.65091767543284,35.9874661484275,square,127
13,-86.65091767543284,35.9874661484275,garden,128
13,-86.65091767543284,35.9874661484275,bookstore,129
13,-86.65091767543284,35.9874661484275,cafe,130
14,-86.62760152741697,35.98578423121159,library,131
14,-86.62760152741697,35.98578423121159,community center,132
14,-86.62760152741697,35.98578423121159,city hall,133
14,-86.62760152741697,35.98578423121159,place of worship,134
14,-86.62760152741697,35.98578423121159,park,135
14,-86.62760152741697,35.98578423121159,fountain,136
14,-86.62760152741697,35.98578423121159,square,137
14,-86.62760152741697,35.98578423121159,garden,138
14,-86.62760152741697,35.98578423121159,bookstore,139
14,-86.62760152741697,35.98578423121159,cafe,140
15,-86.60428651628324,35.9840981324325,library,141
15,-86.60428651628324,35.9840981324325,community center,142
15,-86.60428651628324,35.9840981324325,city hall,143
15,-86.60428651628324,35.9840981324325,place of worship,144
15,-86.60428651628324,35.9840981324325,park,145
15,-86.60428651628324,35.9840981324325,fountain,146
15,-86.60428651628324,35.9840981324325,square,147
15,-86.60428651628324,35.9840981324325,garden,148
15,-86.60428651628324,35.9840981324325,bookstore,149
15,-86.60428651628324,35.9840981324325,cafe,150
16,-87.04525376671344,36.032402930358316,library,151
16,-87.04525376671344,36.032402930358316,community center,152
16,-87.04525376671344,36.032402930358316,city hall,153
16,-87.04525376671344,36.032402930358316,place of worship,154
16,-87.04525376671344,36.032402930358316,park,155
16,-87.04525376671344,36.032402930358316,fountain,156
16,-87.04525376671344,36.032402930358316,square,157
16,-87.04525376671344,36.032402930358316,garden,158
16,-87.04525376671344,36.032402930358316,bookstore,159
16,-87.04525376671344,36.032402930358316,cafe,160
17,-87.02191293698758,36.03079173326908,library,161
17,-87.02191293698758,36.03079173326908,community center,162
17,-87.02191293698758,36.03079173326908,city hall,163
17,-87.02191293698758,36.03079173326908,place of worship,164
17,-87.02191293698758,36.03079173326908,park,165
17,-87.02191293698758,36.03079173326908,fountain,166
17,-87.02191293698758,36.03079173326908,square,167
17,-87.02191293698758,36.03079173326908,garden,168
17,-87.02191293698758,36.03079173326908,bookstore,169
17,-87.02191293698758,36.03079173326908,cafe,170
18,-86.99857319784581,36.02917635290807,library,171
18,-86.99857319784581,36.02917635290807,community center,172
18,-86.99857319784581,36.02917635290807,city hall,173
18,-86.99857319784581,36.02917635290807,place of worship,174
18,-86.99857319784581,36.02917635290807,park,175
18,-86.99857319784581,36.02917635290807,fountain,176
18,-86.99857319784581,36.02917635290807,square,177
18,-86.99857319784581,36.02917635290807,garden,178
18,-86.99857319784581,36.02917635290807,bookstore,179
18,-86.99857319784581,36.02917635290807,cafe,180
19,-86.97523453551871,36.02755684479474,library,181
19,-86.97523453551871,36.02755684479474,community center,182
19,-86.97523453551871,36.02755684479474,city hall,183
19,-86.97523453551871,36.02755684479474,place of worship,184
19,-86.97523453551871,36.02755684479474,park,185
19,-86.97523453551871,36.02755684479474,fountain,186
19,-86.97523453551871,36.02755684479474,square,187
19,-86.97523453551871,36.02755684479474,garden,188
19,-86.97523453551871,36.02755684479474,bookstore,189
19,-86.97523453551871,36.02755684479474,cafe,190
20,-86.95189697034489,36.02593315089211,library,191
20,-86.95189697034489,36.02593315089211,community center,192
20,-86.95189697034489,36.02593315089211,city hall,193
20,-86.95189697034489,36.02593315089211,place of worship,194
20,-86.95189697034489,36.02593315089211,park,195
20,-86.95189697034489,36.02593315089211,fountain,196
20,-86.95189697034489,36.02593315089211,square,197
20,-86.95189697034489,36.02593315089211,garden,198
20,-86.95189697034489,36.02593315089211,bookstore,199
20,-86.95189697034489,36.02593315089211,cafe,200
21,-86.74190873864858,36.01113158600882,library,201
21,-86.74190873864858,36.01113158600882,community center,202
21,-86.74190873864858,36.01113158600882,city hall,203
21,-86.74190873864858,36.01113158600882,place of worship,204
21,-86.74190873864858,36.01113158600882,park,205
21,-86.74190873864858,36.01113158600882,fountain,206
21,-86.74190873864858,36.01113158600882,square,207
21,-86.74190873864858,36.01113158600882,garden,208
21,-86.74190873864858,36.01113158600882,bookstore,209
21,-86.74190873864858,36.01113158600882,cafe,210
22,-86.71858238125866,36.00946604377374,library,211
22,-86.71858238125866,36.00946604377374,community center,212
22,-86.71858238125866,36.00946604377374,city hall,213
22,-86.71858238125866,36.00946604377374,place of worship,214
22,-86.71858238125866,36.00946604377374,park,215
22,-86.71858238125866,36.00946604377374,fountain,216
22,-86.71858238125866,36.00946604377374,square,217
22,-86.71858238125866,36.00946604377374,garden,218
22,-86.71858238125866,36.00946604377374,bookstore,219
22,-86.71858238125866,36.00946604377374,cafe,220
23,-86.69525715191409,36.00779631812262,library,221
23,-86.69525715191409,36.00779631812262,community center,222
23,-86.69525715191409,36.00779631812262,city hall,223
23,-86.69525715191409,36.00779631812262,place of worship,224
23,-86.69525715191409,36.00779631812262,park,225
23,-86.69525715191409,36.00779631812262,fountain,226
23,-86.69525715191409,36.00779631812262,square,227
23,-86.69525715191409,36.00779631812262,garden,228
23,-86.69525715191409,36.00779631812262,bookstore,229
23,-86.69525715191409,36.00779631812262,cafe,230
24,-86.6719330533594,36.006122409315225,library,231
24,-86.6719330533594,36.006122409315225,community center,232
24,-86.6719330533594,36.006122409315225,city hall,233
24,-86.6719330533594,36.006122409315225,place of worship,234
24,-86.6719330533594,36.006122409315225,park,235
24,-86.6719330533594,36.006122409315225,fountain,236
24,-86.6719330533594,36.006122409315225,square,237
24,-86.6719330533594,36.006122409315225,garden,238
24,-86.6719330533594,36.006122409315225,bookstore,239
24,-86.6719330533594,36.006122409315225,cafe,240
25,-86.64861008833819,36.004444317611785,library,241
25,-86.64861008833819,36.004444317611785,community center,242
25,-86.64861008833819,36.004444317611785,city hall,243
25,-86.64861008833819,36.004444317611785,place of worship,244
25,-86.64861008833819,36.004444317611785,park,245
25,-86.64861008833819,36.004444317611785,fountain,246
25,-86.64861008833819,36.004444317611785,square,247
25,-86.64861008833819,36.004444317611785,garden,248
25,-86.64861008833819,36.004444317611785,bookstore,249
25,-86.64861008833819,36.004444317611785,cafe,250
26,-86.62528825959326,36.00276204327332,library,251
26,-86.62528825959326,36.00276204327332,community center,252
26,-86.62528825959326,36.00276204327332,city hall,253
26,-86.62528825959326,36.00276204327332,place of worship,254
26,-86.62528825959326,36.00276204327332,park,255
26,-86.62528825959326,36.00276204327332,fountain,256
26,-86.62528825959326,36.00276204327332,square,257
26,-86.62528825959326,36.00276204327332,garden,258
26,-86.62528825959326,36.00276204327332,bookstore,259
26,-86.62528825959326,36.00276204327332,cafe,260
27,-86.60196756986667,36.00107558656147,library,261
27,-86.60196756986667,36.00107558656147,community center,262
27,-86.60196756986667,36.00107558656147,city hall,263
27,-86.60196756986667,36.00107558656147,place of worship,264
27,-86.60196756986667,36.00107558656147,park,265
27,-86.60196756986667,36.00107558656147,fountain,266
27,-86.60196756986667,36.00107558656147,square,267
27,-86.60196756986667,36.00107558656147,garden,268
27,-86.60196756986667,36.00107558656147,bookstore,269
27,-86.60196756986667,36.00107558656147,cafe,270
28,-87.04304180024849,36.04938642254713,library,271
28,-87.04304180024849,36.04938642254713,community center,272
28,-87.04304180024849,36.04938642254713,city hall,273
28,-87.04304180024849,36.04938642254713,place of worship,274
28,-87.04304180024849,36.04938642254713,park,275
28,-87.04304180024849,36.04938642254713,fountain,276
28,-87.04304180024849,36.04938642254713,square,277
28,-87.04304180024849,36.04938642254713,garden,278
28,-87.04304180024849,36.04938642254713,bookstore,279
28,-87.04304180024849,36.04938642254713,cafe,280
29,-87.01969527409494,36.047774885822164,library,281
29,-87.01969527409494,36.047774885822164,community center,282
29,-87.01969527409494,36.047774885822164,city hall,283
29,-87.01969527409494,36.047774885822164,place of worship,284
29,-87.01969527409494,36.047774885822164,park,285
29,-87.01969527409494,36.047774885822164,fountain,286
29,-87.01969527409494,36.047774885822164,square,287
29,-87.01969527409494,36.047774885822164,garden,288
29,-87.01969527409494,36.047774885822164,bookstore,289
29,-87.01969527409494,36.047774885822164,cafe,290
30,-86.99634983761007,36.04615917026037,library,291
30,-86.99634983761007,36.04615917026037,community center,292
30,-86.99634983761007,36.04615917026037,city hall,293
30,-86.99634983761007,36.04615917026037,place of worship,294
30,-86.99634983761007,36.04615917026037,park,295
30,-86.99634983761007,36.04615917026037,fountain,296
30,-86.99634983761007,36.04615917026037,square,297
30,-86.99634983761007,36.04615917026037,garden,298
30,-86.99634983761007,36.04615917026037,bookstore,299
30,-86.99634983761007,36.04615917026037,cafe,300
31,-86.9730054808961,36.04453931664078,library,301
31,-86.9730054808961,36.04453931664078,community center,302
31,-86.9730054808961,36.04453931664078,city hall,303
31,-86.9730054808961,36.04453931664078,place of worship,304
31,-86.9730054808961,36.04453931664078,park,305
31,-86.9730054808961,36.04453931664078,fountain,306
31,-86.9730054808961,36.04453931664078,square,307
31,-86.9730054808961,36.04453931664078,garden,308
31,-86.9730054808961,36.04453931664078,bookstore,309
31,-86.9730054808961,36.04453931664078,cafe,310
32,-86.94966222214367,36.04291527637301,library,311
32,-86.94966222214367,36.04291527637301,community center,312
32,-86.94966222214367,36.04291527637301,city hall,313
32,-86.94966222214367,36.04291527637301,place of worship,314
32,-86.94966222214367,36.04291527637301,park,315
