place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ___j35SVuokRl4pygFS0lPY,Christian Way Ministries,36.8589393,-76.1765557,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.7,6,NA
ChIJ__8vUrOZuokRg1XH1crqJGE,Follett Hgher Edu Group Inc,36.8845203,-76.3005823,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ__gTJtmVuokRQ6hCS4EETZI,Zion Hear The Sound Ministries,36.8544972,-76.1751294,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ_0T9viWYuokRl6XTxS2a-TA,Fawn Street Community Garden,36.8696064,-76.2785498,Park,garden,park; point_of_interest; establishment,OPERATIONAL,4.6,5,NA
ChIJ_9VdEkqYuokRtrGbePQCyg4,Mt. Gilead Pentecostal Church,36.8794788,-76.2949742,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_eein7KXuokR1TeU62sFwfk,Grace Bible Church-Norfolk Campus,36.8971486,-76.2575268,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,16,NA
ChIJ_eKcSd2juokR3uGW1Utaunw,"Church of the Lord Jesus Christ - Norfolk, VA",36.8294837,-76.2813192,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ_SYgPPiVuokRs5mDF4QFfK0,Coastal Cafe,36.8273196,-76.16705040000001,Social Business,cafe,restaurant; cafe; point_of_interest; food; establishment,OPERATIONAL,4.7,223,NA
ChIJ_V1ayY2iuokRHwVx5QdBoD0,Harbor Square Apartments,36.825304,-76.3086075,Park,square,point_of_interest; establishment,OPERATIONAL,2.1,17,NA
ChIJ_ZevUlK9uokR1kUC3jigHLs,Norfolk Campostella Recreation,36.8299437,-76.26752619999999,Community Space,community center,point_of_interest; establishment,OPERATIONAL,3.8,10,NA
ChIJ--n7oOGXuokR7Yr-zGg5C4Q,Dog Park,36.8663772,-76.260329,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-0C9qamjuokRwINqx2qHTq4,Gosport Park,36.8278092,-76.2972295,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-19FTkiWuokRK4zuu2jSUMI,New Life Worship Center,36.8549643,-76.2154103,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.7,38,NA
ChIJ-c9imoqZuokRbaEqvl51Erg,Norfolk Crossing Community Center,36.9253604,-76.2962331,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.4,30,NA
ChIJ-clbYZ-0LxUR95l5qbd31Vs,Trinity-Word of Faith Baptist Church,36.87179709999999,-76.25236749999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.1,8,NA
ChIJ-cUTHgaZuokRDHlfyBmTqow,Coalescence Coffee Company,36.870558,-76.28657299999999,Social Business,cafe,cafe; store; point_of_interest; food; establishment,OPERATIONAL,4.8,214,NA
ChIJ-cUTHgaZuokRDHlfyBmTqow,Coalescence Coffee Company,36.870558,-76.28657299999999,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.8,214,NA
ChIJ-dHuWhOYuokRJvVvBBg-OPw,Wisteria Cafe,36.8565735,-76.293379,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.7,40,NA
ChIJ-dHuWhOYuokRJvVvBBg-OPw,Wisteria Cafe,36.8565735,-76.293379,Social Business,cafe,restaurant; point_of_interest; food; establishment,OPERATIONAL,4.7,40,NA
ChIJ-ebVgDmZuokR5cNEydP3D0M,Masjid Ash Shura Bookstore,36.8783655,-76.2946541,Social Business,bookstore,store; point_of_interest; establishment,OPERATIONAL,5,3,NA
ChIJ-fjeNqmXuokRPAIzOr8a0zY,Ambassadors for christ worship center,36.8872364,-76.2222951,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-S7Oo029uokRNToSwAr7SBk,Smyrna Community Church,36.8261111,-76.2677778,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-TXOdQyYuokRvkHoqbYC0qc,Parking garage,36.8462537,-76.29032110000001,Park,park,park; point_of_interest; establishment,OPERATIONAL,3,3,NA
ChIJ-zZb8v2WuokR47hRHWAtdXw,Living Water Ministries,36.8816855,-76.22413019999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
