place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ______9gwokRaCzNAQJk27A,Springfield garden,40.7282239,-73.7948516,Park,garden,park; point_of_interest; establishment,OPERATIONAL,2,1,NA
ChIJ_____3xEwokRrZuipjnSBvU,Russian-American Community,40.5860069,-73.9418603,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_____4hfwokRcG4G4j8r27E,Hudson Booksellers,40.7730769,-73.8716049,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,3.3,4,NA
ChIJ_____yNhwokRQGxyzzTo1EI,Greater Seccions Church,40.7026541,-73.7890414,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4,2,NA
ChIJ_____ytZwokRQbgaiSTtVLA,Kenneth Lynch & Sons,40.7443091,-73.9418603,Park,garden,point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ_____zBfwokRpwTfibf1r2Y,Westway Metkal Cafe,40.7595044,-73.9271644,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ____i_f2wokR9hKYFlCCVE8,Edgewater Community Center,40.8340785,-73.97071369999999,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.5,100,NA
ChIJ____wodhwokRkSf-D7uSTyQ,Grand Central Parkway,40.7307946,-73.74944049999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ____yBVawokRr9EDtQbdWTA,Elevated Acre,40.7033226,-74.0088962,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.6,485,NA
ChIJ___vf3JewokR-y6q_d6bB9c,Pop pot noodle & tea cafe,40.7084824,-73.8683559,Social Business,cafe,cafe; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.2,41,NA
ChIJ___YaudawokR6VRdwYq1fiI,Tsedek,40.6584695,-73.9905211,Community Space,community center,point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ__-_ebPzwokRuTkZG4IwZbY,Henry Hudson Parkway,40.89324870000001,-73.90839989999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-_HJhdwokRD8oDkussFAg,L. H. Pink Houses Community Center,40.6687983,-73.8646026,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-K7x70wokRPwzNOl_nHzU,The Universal Temple of Spiritual Truth,40.8496774,-73.9322048,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ__-z2zRbwokR5izPAT5RiDE,Sunset Bagels,40.6343016,-73.9629916,Social Business,cafe,meal_delivery; bakery; cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.2,333,NA
ChIJ__8_CI9ZwokRs3-uftS3nbA,Court Square Real Estate Partners,40.7248688,-73.9968682,Park,square,finance; general_contractor; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8P2_OJwokRlzoxRB4iOlk,Glenwood Landing,40.77512249999999,-73.739925,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,4,NA
ChIJ__8PnptZwokRzT9LDX_UGvc,Church,40.7289569,-73.9900275,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8r25LzwokR_f8sN1ygCig,Central Park Swings,40.87512539999999,-73.9117205,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8Sp0eLwokR5loikzHmTVU,Jenavie's Cafe,40.8332335,-73.8273063,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.8,674,NA
ChIJ__8T5gNZwokReAScJt6y7hg,Urban Parks,40.7502126,-73.97646019999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__9PLqxZwokRPDeFWIGItk8,Books To Bed,40.7518385,-73.99131299999999,Social Business,bookstore,book_store; point_of_interest; store; establishment,CLOSED_TEMPORARILY,5,1,TRUE
ChIJ__9vtQZmwokRN3PXxDgCe7U,H.O. Scott Education and Community Center - Food Distribution Center,40.6084986,-73.7522446,Community Space,community center,food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__HHwfdbwokRD6UFqdthMMA,Cafe Erzulie,40.6978593,-73.937206,Social Business,cafe,cafe; bar; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.5,236,NA
