place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____07GxokRfNPTmhpPSXo,Philadelphia City Archives,39.9611153,-75.1480448,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ_____1PGxokRBR5nEMp5fBs,Fairmount Park-Maintenance,39.9054637,-75.1741466,Park,park,park; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_____2vHxokR33OtplyAvNo,Temple of Christ Church,39.9915379,-75.21873459999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ____WKbJxokRLqewwkNBnuM,Veterans Memorial Park,39.9533655,-75.0934176,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,6,NA
ChIJ__-_-6i3xokRPBNHpdVNvpw,Triumphant Faith International Worship Center,40.0306118,-75.1170483,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-6y9e3xokRZZhLd-ojYlo,Israelite Church Of God In Jesus Christ,39.9943858,-75.11683029999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-jMLfGxokR-c-RlVJaVFY,Sudanese American Community Center,39.9444376,-75.2380986,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.6,8,NA
ChIJ__87lkyzxokRB7ZR3_hqQCE,KINGS LIBRARY CHURCH OF REDEEMER,40.0685764,-74.9692243,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ__8rozKzxokRy28bX5U5jv8,Beersheba Adventist Church,40.0836268,-74.9689504,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__OlgpO3xokRURaE2jqLp2E,Ayuda Community Center,40.01865859999999,-75.1376925,Community Space,community center,point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ_-eFl7-4xokRwmZ92642e9Y,Johnny Destructo's Hero Complex,40.0253028,-75.2229309,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,5,115,NA
ChIJ_0FpvzDHxokRkx43XKcWlpA,Two Eagles Cafe,39.9340427,-75.1772026,Social Business,cafe,restaurant; cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.8,145,NA
ChIJ_1Fgcve3xokRW6cW2V_Ubr8,Nicetown-Tioga Library,40.0099774,-75.15141419999999,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.4,17,NA
ChIJ_5j49GS2xokRtSLUOnVRcWQ,Church of Love & Faith of Lord,40.0216413,-75.0754084,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ_5VisCu3xokRrvHbyZiaRc8,SHANAS CARIBBEAN CAFE,40.0526608,-75.0918859,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.2,95,NA
ChIJ_5W3XX_IxokR-Bh2AwkfAj8,Win Win Coffee Bar,39.961891,-75.15407499999999,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.4,208,NA
ChIJ_6trYTKyxokR0VUM4Zo0zr4,The Foursquare Church,40.1075923,-75.04831039999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_7I9HpzPxokRHmU82GVMWYo,Wheelabrator Wildlife Refuge and Butterfly Garden,39.8713343,-75.1370859,Park,garden,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,3.8,60,NA
ChIJ_7PtJxvGxokRqA1KCHVF9rQ,Rival Bros Coffee Bar,39.9297285,-75.16324829999999,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.5,131,NA
ChIJ_9FpzhrPxokRKkqPKS6NlFY,Westville park,39.8746376,-75.1332702,Park,park,point_of_interest; establishment,OPERATIONAL,4.6,5,NA
ChIJ_9TPoZrHxokRi0CPPIyktgY,Wiota St. Community Garden,39.9588591,-75.2029237,Park,garden,park; point_of_interest; establishment,OPERATIONAL,4.7,6,NA
ChIJ_adOGui2xokRBq47sDTfE5Q,House Of Wisdom (Chrida),40.0502151,-75.0951769,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_apSubhMwYkRRZBrYlJutWA,Primavera Square Apartments,40.0708911,-74.9507883,Park,square,real_estate_agency; point_of_interest; establishment,OPERATIONAL,3.6,12,NA
ChIJ_b6kUd3GxokRx_BhOHvltvw,Lucien E. Blackwell West Philadelphia Regional Library,39.9574896,-75.2250981,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.1,45,NA
ChIJ_bcj_R3GxokRsALBnpQ1a4k,Gold Star Park,39.9329364,-75.1551765,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.6,128,NA
ChIJ_bFyjDO5xokRlMqZJduoPSM,ABCD,40.0355072,-75.1748303,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_bseR9zHxokRl_R9BxNtFKw,Beckett Life Center,39.97577,-75.161998,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.6,51,NA
ChIJ_dp7EyDGxokREDLpVfcF0SM,Palumbo Park,39.93926,-75.155587,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.9,39,NA
ChIJ_eaalcHHxokRt6VNz1t8xJA,Columbus Park,39.9331537,-75.1648307,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.7,52,NA
ChIJ_exqWjG5xokROOuHVDS3mrE,Now Faith Worship Center,40.0511404,-75.15932640000001,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_f2rJf65xokRU6mmqd6zzTo,Starbucks,40.0760747,-75.154882,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,3.8,136,NA
ChIJ_fIDMk_HxokRtnXuYdIO6Po,Francis A. Drexel Library,39.9943839,-75.23841279999999,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.6,7,NA
ChIJ_Rn1Th_GxokRoNWBBwLUtx8,Bardascino Park,39.9377962,-75.15991919999999,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.5,78,NA
ChIJ_StCQJnDxokR6iJqE1U3yuk,Darby Twp Library,39.89904610000001,-75.2631297,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_SVXBAnGxokRH5tbYX2EWtE,Starbucks,39.922536,-75.169867,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.1,776,NA
ChIJ_Tg3iZ65xokRHaYKZDzE6M0,The Night Kitchen Bakery,40.0683522,-75.19781499999999,Social Business,cafe,bakery; cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.6,378,NA
ChIJ_Thdoz2xxokRzcUXU0f5n1Y,Starbucks,40.088717,-75.092809,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.2,310,NA
