place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____5h2K4cRP1ISIuc7uVU,Starbucks,33.651883,-111.924587,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.2,424,NA
ChIJ_____xgSK4cRYGb5rWrUGjk,Dreamy Draw Recreation Area,33.5643171,-112.0292234,Park,park,park; tourist_attraction; point_of_interest; establishment,CLOSED_TEMPORARILY,4.7,692,TRUE
ChIJ____4DAVK4cRqUy79CoyPtY,Sunset Square,33.4959977,-112.2069193,Park,square,point_of_interest; establishment,OPERATIONAL,2,1,NA
ChIJ___vXwttK4cRjrNuB0h667M,Give Garden,33.5665563,-112.0729273,Park,garden,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-Trt9rK4cRRO-7Jze-9BM,La Paloma,33.5934815,-112.1689502,Community Space,community center,point_of_interest; establishment,OPERATIONAL,3,1,NA
ChIJ__8PwBAPK4cRFE8W3odXhNE,Mission De Los Arroyos,33.405952,-111.983502,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8rAAZtK4cRuAnzQqMtjGQ,A Sunny Pine Assisted Living Community,33.5646977,-112.0834299,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.2,5,NA
ChIJ__8vrWxrK4cRvOSmaYn7h4k,The Gathering International Church,33.5387977,-112.1668197,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ__9vEGppK4cR6zFXaZPpn9o,Jesus Centered Fellowship,33.6129959,-112.1681445,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,3,NA
ChIJ__xQPCsOK4cR9-YPnhXhUQE,Walk By Faith Christian,33.407943,-112.043692,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.6,11,NA
ChIJ__ZSJ6EUK4cR0ai4qWY4J7Y,Phoenix City Hall,33.4978629,-112.1471508,Community Space,city hall,city_hall; local_government_office; point_of_interest; establishment,OPERATIONAL,4.4,5,NA
ChIJ_-_1FxsVK4cRwsVaxIexkfs,Desert West Sports Complex Softball field,33.4751066,-112.1989059,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.4,24,NA
ChIJ_024g4s-K4cRQw_2plj1by0,Sonic Drive-In,33.4215171,-112.2915878,Social Business,cafe,restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.8,830,NA
ChIJ_07SS310K4cRZSSdXAzt2Rk,Scottsdale Worship Center,33.597623,-111.940661,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.6,19,NA
ChIJ_0HTUMUSK4cRwFCWEaD2shg,Starbucks,33.516353,-112.082857,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.2,502,NA
ChIJ_0vHebYPK4cRjSx_ZE9E-Zk,Free Church of God In Christ,33.4053928,-112.0215753,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,3,2,NA
ChIJ_126Ke8_K4cRZzQ9iW3P9VQ,Jack in the Box,33.4812152,-112.2546771,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.7,543,NA
ChIJ_1m3qQETK4cRwALKjAiTR9I,The Church of Jesus Christ of Latter-day Saints,33.4850288,-112.0983263,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,58,NA
ChIJ_1SSPJZlK4cRJNrFHfEhSrA,Barnes & Noble,33.7115005,-112.1142467,Social Business,bookstore,book_store; cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.6,918,NA
ChIJ_1V0Pd-dLIcRhhltzp9cnfo,Arroyo Norte Park,33.8819322,-112.1409592,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,26,NA
ChIJ_3DpH10SK4cRJ1gNX2NLk0g,Central Cafe,33.4770256,-112.0740683,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4,7,NA
ChIJ_4Iy4xxsK4cRcP7Op8n7fh8,Westown Park,33.6013346,-112.1292756,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,3.9,174,NA
ChIJ_4q_t4llK4cR62Ukr42bryc,Phoenix Metro RV Park,33.6933521,-112.1124208,Park,park,rv_park; campground; lodging; park; point_of_interest; establishment,OPERATIONAL,4.1,167,NA
ChIJ_4YBJsttK4cRWrPbUX7v358,Kaleidoscope Juice,33.55252250000001,-112.0494069,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.6,5,NA
