place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____-MMlVQRQz_J9nBgGoI,Village At Washington Square,45.43954000000001,-122.766035,Park,square,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ___7iBQKlVQRh4__pqwtTE8,Montgomery Rare Books & Manuscripts,45.5335216,-122.6989108,Social Business,bookstore,book_store; home_goods_store; point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ___rfu0LlVQRGwReYVS9ET8,Sesame Donuts,45.48592499999999,-122.7487446,Social Business,cafe,bakery; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.5,904,NA
ChIJ__-7yHiglVQRAMTNd6gQhG4,Portland Bible Church,45.6150044,-122.5498589,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4,3,NA
ChIJ__-vWwcKlVQRRA3CLPxSQRs,"Portland Library and Learning Commons, University of Oregon in Portland",45.5237229,-122.6707489,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.6,9,NA
ChIJ__9vncGhlVQRqxy4SEtwhdg,SOMUS Boba & Cafe,45.503884,-122.5406193,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.1,114,NA
ChIJ__hat0qhlVQRbgSnLd94ziY,Wild Brewz,45.4960856,-122.5375643,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.8,10,NA
ChIJ_0a3s5GhlVQRJ0zt5un5jVE,Multnomah County Library - Midland,45.5166834,-122.5384885,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.6,155,NA
ChIJ_0ZngxGhlVQRwTAKZNe0LmE,Gateway Espresso,45.5303524,-122.5633295,Social Business,cafe,cafe; food; point_of_interest; establishment,CLOSED_TEMPORARILY,5,2,TRUE
ChIJ_1nu4O4PlVQR0lqCBeapqbU,Emmaus Church,45.4265222,-122.7535873,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_2-Zt9p0lVQRR6DqQovqzRc,Elk Rock Garden,45.4395897,-122.6532433,Park,garden,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,4.8,252,NA
ChIJ_2Q6MSeglVQRr5i3UP_y1DY,T.E.A.M. Event Center,45.4869937,-122.5595457,Community Space,community center,point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ_2X21J-glVQRPz7oQ3AkA7Y,Hyland Garden Design LLC,45.5113666,-122.6542827,Park,garden,general_contractor; point_of_interest; store; establishment,OPERATIONAL,4.5,2,NA
ChIJ_3UiYwAKlVQROR4QxqDuNMY,Monte Rossa Cafe,45.525731,-122.674804,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.5,80,NA
ChIJ_4LpHkanlVQRG83sfi55ZtA,Matt Dishman Community Center,45.5420038,-122.6648427,Community Space,community center,gym; health; point_of_interest; establishment,OPERATIONAL,4.5,347,NA
ChIJ_4rTAukJlVQRc_cTfVYJS3U,The Clearing Cafe,45.53505759999999,-122.7081865,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.4,134,NA
ChIJ_5CbMzlzlVQREyO3H3tgvr0,Booktique II,45.4318438,-122.7033464,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,4.6,46,NA
ChIJ_5QZeKqglVQRaTkbdQnoF0w,Lan Su Chinese Garden,45.5256321,-122.6729955,Park,garden,tourist_attraction; cafe; park; food; point_of_interest; establishment,OPERATIONAL,4.6,2884,NA
ChIJ_6aHAnCnlVQR7Cr75B2GlV4,Mocks Crest,45.5544315,-122.6913847,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.6,357,NA
