place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____0xV2YAR1RTbdmD_mWs,Bayside Community Center,32.7832813,-117.1725667,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.2,18,NA
ChIJ_____1JQ2YAR-dpCHQ4n1yM,Skyline Hills Library,32.697092,-117.0273831,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.4,52,NA
ChIJ_____65U2YARIKaneinGCoE,Koby's Garden Alchemy,32.7269669,-117.1646689,Park,garden,general_contractor; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ____iw8A3IAReY0F-fakXoU,East Clairemont Athletic Area,32.8038633,-117.1834562,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.4,92,NA
ChIJ___PRe4G3IARUUkj-AGoot4,Zenobia Fragments,32.8938841,-117.2360709,Community Space,library,library; point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ___v5NIO3IARW9kRgg3Kis8,Grit and Grace,32.9897272,-117.2696783,Park,garden,furniture_store; home_goods_store; park; general_contractor; point_of_interest; store; establishment,OPERATIONAL,5,1,NA
ChIJ__-LDCFS2YARv-wEW75-ckw,SLR CHURCH,32.6730559,-117.083305,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-PSShM2YARSXuoKAn2-qE,Kozitas,32.5996624,-117.0810171,Park,garden,point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ__-vMiJX2YARcdeVvTZhd6Y,La Mesa & University,32.7643049,-117.0265053,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,5,1,NA
ChIJ__8_K-UD3IARZMKGXNhTLIo,Garden By The C,32.8442134,-117.2767049,Park,garden,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__87Qv2q3oARXGcKgq-xkos,Bookstar,32.7459923,-117.2101719,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,3.7,6,NA
ChIJ__8PdzdS2YARMVkCd8_rMnI,"Community Center for Excellence, Inc.",32.677651,-117.099873,Community Space,community center,point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ__8zj7MI3IARWzGpeQ-L_II,Friends of Del Mar Parks,32.9564499,-117.2638226,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__9vbilM2YARZhzm4cFWTHI,Avenzo Coffee,32.6011946,-117.0832236,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ__9vkC7624ARwQ7w7DNZyUE,Little Free Library,32.9504161,-117.0714554,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__bUvvBH2YARbdn-opOvzOY,The Furniture Square - Furniture Warehouse & Auctions,32.8911951,-117.1500799,Park,square,furniture_store; home_goods_store; point_of_interest; store; establishment,OPERATIONAL,5,6,NA
ChIJ__lcqwtT2YAR9TKtLtt5QMY,Memorial Skatepark,32.6981387,-117.1298535,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.6,94,NA
ChIJ_-Zqw6Gq3oAR7ZZ-6XcxS2I,Western Hills Park,32.7863775,-117.1961368,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,126,NA
ChIJ_0jCn5FV2YARaz7ihQTdtak,San Diego Gospel Hall,32.7851026,-117.0950202,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_1aCxZtU2YARLCfonaSb8Do,Naval Medical Center Library,32.7298096,-117.1455004,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_29ckd4A3IARHlPvlVo6thc,Starbucks,32.851664,-117.215673,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.3,195,NA
ChIJ_2F7k7pL2YARJyKcukStIOw,BlueLuna Cafe& Deli,32.5283886,-117.112848,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.4,203,NA
ChIJ_2IrBNwI3IARzGm0yPk_RYg,McDonald's,32.9803622,-117.249595,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.9,1444,NA
ChIJ_2OrNe6r3oARJw1H0WQonx4,Surfrider Square Park,32.7708196,-117.252929,Park,square,point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ_35XOPNG2YARjuqzAWjfF1o,Donovan's Cafe,32.5820258,-116.9364329,Social Business,cafe,meal_delivery; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.7,10,NA
ChIJ_3abSScA3IARy-BukzT1w_k,Sojourners Christian Fellowship,32.7896123,-117.203143,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_3VhaVJU2YARPr6do5CQ-7c,Dos Palmas Cafe,32.7635222,-117.1159505,Social Business,cafe,cafe; bakery; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.9,219,NA
ChIJ_4MpebWs3oARzY1LH4GGCzU,Spreckels Park,32.6906157,-117.1763446,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.7,936,NA
ChIJ_4R6TBz324AREiENRuAAz_U,Yogurt Lounge 4S Ranch,33.0159829,-117.1105212,Social Business,cafe,food; point_of_interest; store; establishment,OPERATIONAL,4.6,47,NA
ChIJ_5gXlFf924ARuO95WTE9ibk,Starbucks,32.838279,-116.994941,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.1,555,NA
