cell,x,y,term,id
1,-117.12410267154532,32.52579581095078,library,1
1,-117.12410267154532,32.52579581095078,community center,2
1,-117.12410267154532,32.52579581095078,city hall,3
1,-117.12410267154532,32.52579581095078,place of worship,4
1,-117.12410267154532,32.52579581095078,park,5
1,-117.12410267154532,32.52579581095078,fountain,6
1,-117.12410267154532,32.52579581095078,square,7
1,-117.12410267154532,32.52579581095078,garden,8
1,-117.12410267154532,32.52579581095078,bookstore,9
1,-117.12410267154532,32.52579581095078,cafe,10
2,-117.10233734305702,32.529595828629084,library,11
2,-117.10233734305702,32.529595828629084,community center,12
2,-117.10233734305702,32.529595828629084,city hall,13
2,-117.10233734305702,32.529595828629084,place of worship,14
2,-117.10233734305702,32.529595828629084,park,15
2,-117.10233734305702,32.529595828629084,fountain,16
2,-117.10233734305702,32.529595828629084,square,17
2,-117.10233734305702,32.529595828629084,garden,18
2,-117.10233734305702,32.529595828629084,bookstore,19
2,-117.10233734305702,32.529595828629084,cafe,20
3,-117.08056975206898,32.533391953748634,library,21
3,-117.08056975206898,32.533391953748634,community center,22
3,-117.08056975206898,32.533391953748634,city hall,23
3,-117.08056975206898,32.533391953748634,place of worship,24
3,-117.08056975206898,32.533391953748634,park,25
3,-117.08056975206898,32.533391953748634,fountain,26
3,-117.08056975206898,32.533391953748634,square,27
3,-117.08056975206898,32.533391953748634,garden,28
3,-117.08056975206898,32.533391953748634,bookstore,29
3,-117.08056975206898,32.533391953748634,cafe,30
4,-117.05879990052412,32.53718418584221,library,31
4,-117.05879990052412,32.53718418584221,community center,32
4,-117.05879990052412,32.53718418584221,city hall,33
4,-117.05879990052412,32.53718418584221,place of worship,34
4,-117.05879990052412,32.53718418584221,park,35
4,-117.05879990052412,32.53718418584221,fountain,36
4,-117.05879990052412,32.53718418584221,square,37
4,-117.05879990052412,32.53718418584221,garden,38
4,-117.05879990052412,32.53718418584221,bookstore,39
4,-117.05879990052412,32.53718418584221,cafe,40
5,-117.03702779036679,32.54097252444257,library,41
5,-117.03702779036679,32.54097252444257,community center,42
5,-117.03702779036679,32.54097252444257,city hall,43
5,-117.03702779036679,32.54097252444257,place of worship,44
5,-117.03702779036679,32.54097252444257,park,45
5,-117.03702779036679,32.54097252444257,fountain,46
5,-117.03702779036679,32.54097252444257,square,47
5,-117.03702779036679,32.54097252444257,garden,48
5,-117.03702779036679,32.54097252444257,bookstore,49
5,-117.03702779036679,32.54097252444257,cafe,50
6,-117.01525342354265,32.54475696908307,library,51
6,-117.01525342354265,32.54475696908307,community center,52
6,-117.01525342354265,32.54475696908307,city hall,53
6,-117.01525342354265,32.54475696908307,place of worship,54
6,-117.01525342354265,32.54475696908307,park,55
6,-117.01525342354265,32.54475696908307,fountain,56
6,-117.01525342354265,32.54475696908307,square,57
6,-117.01525342354265,32.54475696908307,garden,58
6,-117.01525342354265,32.54475696908307,bookstore,59
6,-117.01525342354265,32.54475696908307,cafe,60
7,-116.9934768019987,32.54853751929722,library,61
7,-116.9934768019987,32.54853751929722,community center,62
7,-116.9934768019987,32.54853751929722,city hall,63
7,-116.9934768019987,32.54853751929722,place of worship,64
7,-116.9934768019987,32.54853751929722,park,65
7,-116.9934768019987,32.54853751929722,fountain,66
7,-116.9934768019987,32.54853751929722,square,67
7,-116.9934768019987,32.54853751929722,garden,68
7,-116.9934768019987,32.54853751929722,bookstore,69
7,-116.9934768019987,32.54853751929722,cafe,70
8,-116.97169792768332,32.55231417461891,library,71
8,-116.97169792768332,32.55231417461891,community center,72
8,-116.97169792768332,32.55231417461891,city hall,73
8,-116.97169792768332,32.55231417461891,place of worship,74
8,-116.97169792768332,32.55231417461891,park,75
8,-116.97169792768332,32.55231417461891,fountain,76
8,-116.97169792768332,32.55231417461891,square,77
8,-116.97169792768332,32.55231417461891,garden,78
8,-116.97169792768332,32.55231417461891,bookstore,79
8,-116.97169792768332,32.55231417461891,cafe,80
9,-116.94991680254624,32.556086934582325,library,81
9,-116.94991680254624,32.556086934582325,community center,82
9,-116.94991680254624,32.556086934582325,city hall,83
9,-116.94991680254624,32.556086934582325,place of worship,84
9,-116.94991680254624,32.556086934582325,park,85
9,-116.94991680254624,32.556086934582325,fountain,86
9,-116.94991680254624,32.556086934582325,square,87
9,-116.94991680254624,32.556086934582325,garden,88
9,-116.94991680254624,32.556086934582325,bookstore,89
9,-116.94991680254624,32.556086934582325,cafe,90
10,-116.9281334285385,32.55985579872201,library,91
10,-116.9281334285385,32.55985579872201,community center,92
10,-116.9281334285385,32.55985579872201,city hall,93
10,-116.9281334285385,32.55985579872201,place of worship,94
10,-116.9281334285385,32.55985579872201,park,95
10,-116.9281334285385,32.55985579872201,fountain,96
10,-116.9281334285385,32.55985579872201,square,97
10,-116.9281334285385,32.55985579872201,garden,98
10,-116.9281334285385,32.55985579872201,bookstore,99
10,-116.9281334285385,32.55985579872201,cafe,100
11,-117.12903543950253,32.54257407474754,library,101
11,-117.12903543950253,32.54257407474754,community center,102
11,-117.12903543950253,32.54257407474754,city hall,103
11,-117.12903543950253,32.54257407474754,place of worship,104
11,-117.12903543950253,32.54257407474754,park,105
11,-117.12903543950253,32.54257407474754,fountain,106
11,-117.12903543950253,32.54257407474754,square,107
11,-117.12903543950253,32.54257407474754,garden,108
11,-117.12903543950253,32.54257407474754,bookstore,109
11,-117.12903543950253,32.54257407474754,cafe,110
12,-117.10726536913712,32.54637478887297,library,111
12,-117.10726536913712,32.54637478887297,community center,112
12,-117.10726536913712,32.54637478887297,city hall,113
12,-117.10726536913712,32.54637478887297,place of worship,114
12,-117.10726536913712,32.54637478887297,park,115
12,-117.10726536913712,32.54637478887297,fountain,116
12,-117.10726536913712,32.54637478887297,square,117
12,-117.10726536913712,32.54637478887297,garden,118
12,-117.10726536913712,32.54637478887297,bookstore,119
12,-117.10726536913712,32.54637478887297,cafe,120
13,-117.08549303473947,32.550171609857976,library,121
13,-117.08549303473947,32.550171609857976,community center,122
13,-117.08549303473947,32.550171609857976,city hall,123
13,-117.08549303473947,32.550171609857976,place of worship,124
13,-117.08549303473947,32.550171609857976,park,125
13,-117.08549303473947,32.550171609857976,fountain,126
13,-117.08549303473947,32.550171609857976,square,127
13,-117.08549303473947,32.550171609857976,garden,128
13,-117.08549303473947,32.550171609857976,bookstore,129
13,-117.08549303473947,32.550171609857976,cafe,130
14,-117.06371843825363,32.55396453723483,library,131
14,-117.06371843825363,32.55396453723483,community center,132
14,-117.06371843825363,32.55396453723483,city hall,133
14,-117.06371843825363,32.55396453723483,place of worship,134
14,-117.06371843825363,32.55396453723483,park,135
14,-117.06371843825363,32.55396453723483,fountain,136
14,-117.06371843825363,32.55396453723483,square,137
14,-117.06371843825363,32.55396453723483,garden,138
14,-117.06371843825363,32.55396453723483,bookstore,139
14,-117.06371843825363,32.55396453723483,cafe,140
15,-117.04194158162497,32.557753570535986,library,141
15,-117.04194158162497,32.557753570535986,community center,142
15,-117.04194158162497,32.557753570535986,city hall,143
15,-117.04194158162497,32.557753570535986,place of worship,144
15,-117.04194158162497,32.557753570535986,park,145
15,-117.04194158162497,32.557753570535986,fountain,146
15,-117.04194158162497,32.557753570535986,square,147
15,-117.04194158162497,32.557753570535986,garden,148
15,-117.04194158162497,32.557753570535986,bookstore,149
15,-117.04194158162497,32.557753570535986,cafe,150
16,-117.02016246680027,32.56153870929414,library,151
16,-117.02016246680027,32.56153870929414,community center,152
16,-117.02016246680027,32.56153870929414,city hall,153
16,-117.02016246680027,32.56153870929414,place of worship,154
16,-117.02016246680027,32.56153870929414,park,155
16,-117.02016246680027,32.56153870929414,fountain,156
16,-117.02016246680027,32.56153870929414,square,157
16,-117.02016246680027,32.56153870929414,garden,158
16,-117.02016246680027,32.56153870929414,bookstore,159
16,-117.02016246680027,32.56153870929414,cafe,160
17,-116.99838109572765,32.565319953042454,library,161
17,-116.99838109572765,32.565319953042454,community center,162
