place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____-yDhYARXDgqgSABSiI,Angel Island Café,37.8677556,-122.4342504,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.2,137,NA
ChIJ_____0N-j4ARy6n2cP6MZUU,Gabriel Rodriguez Gardening,37.7486282,-122.4184153,Park,garden,general_contractor; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ___IyIt-j4ARgGV-92bSj2w,Palacios Gardening,37.7282404,-122.4286419,Park,garden,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-_VwJ-j4ARQAfWQ22ujKA,Satchel Cafe,37.7645019,-122.4380248,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-PlS5-j4AR--7hf6aM860,Living Word Project,37.7695322,-122.4082781,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8b6RqHhYARO_uIXsOasIc,Казанской Иконы Божией Матери,37.7839483,-122.4790312,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8P7c9-j4AR3RzrvBstYNU,MINISTERIO FUENTE DE RESTAURACION,37.7063095,-122.4140304,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.3,6,NA
ChIJ__8vfzZ8j4AREInhlLSfEYc,I.T. Bookman Community Center,37.7145015,-122.466848,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.9,21,NA
ChIJ__9b0hp-j4ARwxQRa6nd6EA,Just Rewards,37.7595969,-122.4352004,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_0QqIHB9j4ARSFfi8QwYXUU,Sloat Garden Center,37.7359052,-122.503589,Park,garden,point_of_interest; store; establishment,OPERATIONAL,4.5,497,NA
ChIJ_28RBpB9j4ARaZj8kiwE_vg,McCoppin Park Tennis Court,37.7432352,-122.4806052,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.4,5,NA
ChIJ_2kAyeaHhYARpuPrY3n6GJ8,Gramp's Park,37.7834187,-122.4564768,Park,park,park; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ_2mTn9qAhYAR6Upoqz_I5Q0,Union Street Coffee Roastery,37.797,-122.4353333,Social Business,cafe,cafe; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.2,175,NA
ChIJ_33_ZRJ-j4ARfTJW6Ws6-gI,AP’S CAFE,37.75139619999999,-122.4344842,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.9,36,NA
ChIJ_3lG6NmAhYARpvJdn10AS-0,Moscone Dog Park,37.8016412,-122.4344603,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,130,NA
ChIJ_4aky1OHhYARsX2GsLCnADQ,The Bindery,37.7692883,-122.4512114,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,4.6,36,NA
