place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____8MxjoARys5LPmjkyTI,Frank's Tree & Garden Services,37.2374847,-121.8277925,Park,garden,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ____qqfJj4ARU0DHvoIePmk,Cafe Rio Maxim,37.4052406,-121.9499559,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,3,2,NA
ChIJ___PdXnJj4ARfZBREBH6KMk,Breakroom360,37.3881858,-121.9427337,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-7oUctjoAR6isz3dexY-s,Pulido gardening services,37.3382617,-121.7894598,Park,garden,general_contractor; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-PNrzMj4ARyIHzNdGGnmI,SanJoseCA.gov,37.3377081,-121.8859228,Community Space,city hall,city_hall; local_government_office; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ__-Pv6m1j4AR_4Q7PF_6LzQ,Cupertino Square Dentist,37.3172726,-122.0310478,Park,square,insurance_agency; health; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8vnm21j4AR6JSMKzPArGY,Service Worship,37.3108666,-122.0125731,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__9v4WkyjoARSa9o4oizXQo,Guiding Light Project Church,37.284989,-121.833353,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_-bT6dcxjoARrhBtf-xF12w,The Giving Pies,37.30947829999999,-121.8870795,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.8,31,NA
ChIJ_06QUewxjoARUdPdIX5d4Co,Tapioca Express,37.2493105,-121.8310603,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.5,117,NA
ChIJ_08X97QtjoARHDb9LUw-rjw,R&B Tea Silver Creek,37.3092122,-121.8114512,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,5,7,NA
ChIJ_0RHuEwyjoARtiPnw5VTs_4,Waterford Park,37.2784619,-121.8553715,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.3,129,NA
ChIJ_35sk_AwjoARTzG-MtyWEjw,"Almaden Quicksilver County Park, Webb Canyon Trailhead",37.2038981,-121.8631981,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.7,41,NA
ChIJ_4bDqqPMj4ARWmIQpgZx7yc,San Pedro Square Properties,37.3352947,-121.8939039,Park,square,real_estate_agency; general_contractor; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_57UrQUtjoARvKW6IUrFUOI,Casabella Park,37.3226161,-121.7741123,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.2,17,NA
ChIJ_5VVkhTLj4AR5vkGtQN-Olc,Rose Garden Branch Library,37.3317801,-121.926357,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.4,36,NA
ChIJ_6AB4dUzjoARn_qjwxIlQLw,Mrs. Fields,37.2525967,-121.8618174,Social Business,cafe,bakery; cafe; food; point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ_7Md9qs1joARr9bMiw4N9n4,Milk Tea Lab,37.2533809,-121.9031746,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.2,180,NA
ChIJ_7odBeIvjoAR7MaQN6mDTcE,Ellicott Park,37.2509307,-121.7971513,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_98D565KjoAR_8V9A6OChfk,Starbucks,37.28009,-122.000065,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.3,202,NA
ChIJ_9SwzT3Ij4ARYWE-T_MoM_Y,Community Policing Center,37.42634839999999,-121.9766032,Community Space,community center,point_of_interest; establishment,CLOSED_TEMPORARILY,3,1,TRUE
