place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____zsG9YgR7B3kLpUfplM,El Elyon International Church,33.8516403,-84.3596269,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.7,9,NA
ChIJ____Jl4P9YgR12NIkgueoWw,Path400,33.8519022,-84.3707902,Park,park,park; point_of_interest; establishment,OPERATIONAL,4,14,NA
ChIJ____u7sb9YgRqY6lyjbs3gU,kingdomexpansionnetwork,33.7927465,-84.49449349999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-_qPkP9YgRpbJMkQAWxv0,20s & 30s at apostles,33.8528841,-84.42954069999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-PC9EA9YgRLgREsOoKSvE,Power Action Ministry,33.7474311,-84.30452129999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,3,NA
ChIJ__-PxkYB9YgRlZNrVWz3RlE,Temple of Faith,33.7402285,-84.3368277,Place of Worship,place of worship,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-vjy0F9YgRbXoqJCRqEVc,LaAmistad,33.8161688,-84.43501169999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__5mduwE9YgR5qBPCMdD2Z0,BRASH Coffee,33.785562,-84.41195909999999,Social Business,cafe,cafe; store; point_of_interest; food; establishment,OPERATIONAL,4.5,345,NA
ChIJ__5mduwE9YgR5qBPCMdD2Z0,BRASH Coffee,33.785562,-84.41195909999999,Social Business,cafe,cafe; store; food; point_of_interest; establishment,OPERATIONAL,4.5,345,NA
ChIJ__8_MmcP9YgRF99P1i6Aiys,Lunch Bunch Cafe,33.8528731,-84.3771218,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4,3,NA
ChIJ__8rxRoD9YgRyFd6voahZMM,Kingdom First Ministries,33.7238895,-84.40756119999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_-MONSoH9YgRvIiiWEd8QHo,Sugar Creek Garden and Herb Farm,33.7586791,-84.3092168,Park,garden,park; point_of_interest; establishment,OPERATIONAL,4.5,6,NA
ChIJ_1oK2DIB9YgRl7k0V4ysrns,Meditation Hour of Faith,33.7548321,-84.325481,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_5dNHMwD9YgRuFgxXilJgXw,Fountain Temple AME Church,33.7280783,-84.38432829999999,Park,fountain,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,8,NA
ChIJ_5dNHMwD9YgRuFgxXilJgXw,Fountain Temple AME Church,33.7280783,-84.38432829999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,8,NA
ChIJ_5H6By4H9YgRguvr4biFkmY,Little Free Library,33.756096,-84.3016834,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_6etZ1UH9YgRcrmzko8Ogxs,Spirit and Truth Sanctuary,33.7547222,-84.2708337,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,55,NA
ChIJ_6K8-DYc9YgRLUuBKUl1gps,Garden Center at The Home Depot,33.7270146,-84.503939,Park,garden,general_contractor; furniture_store; home_goods_store; point_of_interest; store; establishment,OPERATIONAL,3.5,15,NA
ChIJ_6qklP4a9YgRPh6mzvK-pIM,Waffle House,33.8108266,-84.4755065,Social Business,cafe,meal_takeaway; restaurant; point_of_interest; food; establishment,OPERATIONAL,3.8,749,NA
ChIJ_6X-cq0C9YgRPRWE7kVkjZw,Restoration Revival Church of God in Christ,33.6813461,-84.4362376,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,5,NA
ChIJ_7NHXaUE9YgRySiKwz0AN28,Maddox Park,33.7705084,-84.42674509999999,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,364,NA
ChIJ_7rsj2MD9YgR3mE13bJ0x_s,Sankofa United Church of Christ Atlanta,33.7387613,-84.4265791,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.6,10,NA
ChIJ_8rG1KEE9YgRkRk1K-N5zH8,Sum'thing Simple Cafe,33.763989,-84.456094,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.4,201,NA
ChIJ_aLCQQYJ9YgRk7fweuAAbiE,Langford Park,33.8528882,-84.3408326,Park,park,park; point_of_interest; establishment,OPERATIONAL,4,1,NA
ChIJ_bgk_hkP9YgR6Am4rc6Z5qY,Blast,33.8806384,-84.3802462,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_cNbbK4C9YgRh7xlzfIv5ko,Jefferson Park Recreation Center,33.6827068,-84.43547,Community Space,community center,tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,150,NA
ChIJ_cNbbK4C9YgRh7xlzfIv5ko,Jefferson Park Recreation Center,33.6827068,-84.43547,Park,park,tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,150,NA
ChIJ_cNh4Z8H9YgRx_uEyWu9nXg,Community Ball ATL - Heaton Park Hoops,33.7799922,-84.31710009999999,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_dejXmYb9YgRR6qMwFU0NN0,Salem Bible Church,33.7702565,-84.4629818,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.6,114,NA
ChIJ_dIQkWIB9YgRnWfgJapVL8w,United Church Atlanta,33.7249967,-84.3530506,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,31,NA
ChIJ_efnH1oP9YgRRLD7KxFQt7I,JP Cafe,33.852144,-84.365957,Social Business,cafe,cafe; store; restaurant; point_of_interest; food; establishment,CLOSED_TEMPORARILY,4.5,2,TRUE
ChIJ_fI4P0ga9YgRpzAl16EVAXU,Mosaic Church,33.8179236,-84.50002359999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.9,10,NA
ChIJ_QC_PzUF9YgRF_2LXTeNtSU,The Y at Good Sam,33.7736267,-84.4206293,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_RqB0KoD9YgRKDkmeklXFzo,Louise Watley Library at Southeast Atlanta,33.714947,-84.3940411,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.8,31,NA
ChIJ_S6YgD4H9YgRKdAh691bz-I,Decatur City Hall,33.7737653,-84.29637609999999,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,3.6,7,NA
ChIJ_S6YgD4H9YgRogPIYZ_pBOk,Decatur City Commissioners,33.7737199,-84.2960231,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,4,1,NA
ChIJ_Sbng0kC9YgRtbYSouOyqNk,Ebenezer United Church Inc,33.7077572,-84.3777763,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,12,NA
ChIJ_UE5kbID9YgR7pqHn84GUgk,Perkerson Park Fountains (Water Playground),33.7137353,-84.412962,Park,park,point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_UE5kbID9YgR7pqHn84GUgk,Perkerson Park Fountains (Water Playground),33.7137353,-84.412962,Park,fountain,point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_UJ-UM8d9YgRYlUib3ID6YQ,Apostolic Christian Church-Atlnt,33.7086464,-84.50712879999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_wG4UIEb9YgRz0KY4mOMMZM,Westside Park Parking II,33.7818577,-84.4429427,Park,park,park; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_wntt1Md9YgRtCZGETK2cWo,East Point City Council,33.6794781,-84.4420913,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_wntt1Md9YgRU5i0yB80G4Q,East Point City Manager,33.6794781,-84.4420913,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_x0ErQIF9YgRVwu3cVYCkuE,Ding Tea Atlanta,33.782096,-84.40777,Social Business,cafe,cafe; point_of_interest; food; establishment,OPERATIONAL,4,74,NA
ChIJ_Y3DULEH9YgR5A1xbEe7vN8,Mead Road Park,33.7646555,-84.3060011,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_z3RITwG9YgR29JcnNg_IAU,Tropical Smoothie Cafe,33.8284805,-84.32903189999999,Social Business,cafe,restaurant; point_of_interest; food; establishment,OPERATIONAL,4.3,257,NA
ChIJ_z3RITwG9YgR29JcnNg_IAU,Tropical Smoothie Cafe,33.8284805,-84.32903189999999,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.3,257,NA
ChIJ_zGeqUIF9YgRfLQcBZujR34,Trinity Presbyterian Church,33.83807410000001,-84.41796760000001,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,28,NA
ChIJ_zOVyGod9YgRi6_FNapPSNY,city hall,33.6832181,-84.44877199999999,Community Space,city hall,health; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-_v1cBIE9YgR1_FA_XL3c7A,Morgan-Boulevard Park,33.768596,-84.37144889999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.2,11,NA
ChIJ--9VJxQB9YgRPM9kRa9innk,Rehoboth Family Christian Church,33.7293548,-84.3281087,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.9,15,NA
ChIJ--LpsDYE9YgRGwZQ30JeWp8,Ansley Square Shopping Center,33.7961162,-84.37086409999999,Park,square,shopping_mall; point_of_interest; establishment,OPERATIONAL,4.4,582,NA
ChIJ--OaphEF9YgR32Nloz9l0u4,Memorial Park playground,33.8188137,-84.40909119999999,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.7,66,NA
ChIJ-0aYJyQF9YgR6fICWeVpvtI,Garnet Gal's Coffee Shop & Bakery,33.8304928,-84.35635529999999,Social Business,cafe,cafe; store; food; point_of_interest; establishment,OPERATIONAL,4.6,72,NA
ChIJ-0aYJyQF9YgR6fICWeVpvtI,Garnet Gal's Coffee Shop & Bakery,33.8304928,-84.35635529999999,Social Business,cafe,cafe; store; point_of_interest; food; establishment,OPERATIONAL,4.6,72,NA
ChIJ-0aYJyQF9YgR6fICWeVpvtI,Garnet Gal's Coffee Shop & Bakery,33.8304928,-84.35635529999999,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.6,72,NA
ChIJ-1VlxU0d9YgRI0BLskl-sqI,God's Acre Baptist Church at Ben Hill,33.6915324,-84.51559139999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-6TQkUQH9YgRkQDAA_JbSL4,Dearborn Park Wildlife Preserve,33.7564818,-84.2883861,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.9,15,NA
ChIJ-aFkMpod9YgR4YFyhBK7u6E,Wendy's,33.6898974,-84.4882938,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.6,1277,NA
ChIJ-aFkMpod9YgRn_5Q5fqW_p8,Wendy's,33.7237649,-84.5078164,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.5,1032,NA
ChIJ-aUPEOwC9YgR2E1Xsboa1nA,Kingdom Life Fellowship Intl,33.6975301,-84.4112541,Community Space,community center,point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ-bEWbTkE9YgRNLtwwj1XDuo,Piedmont Dog Park,33.7879898,-84.37115949999999,Park,park,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,4.6,763,NA
ChIJ-crgipED9YgR9ORQ8y5N9BE,Fulton Atlanta Community Action Authority Resource Center,33.7453414,-84.3807801,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.2,334,NA
ChIJ-cu1E5YP9YgREu1uZzJ5NFM,Mountain Way Common,33.8687927,-84.3677661,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-dWrBJse9YgRN1s3-UKYsbM,Sussex Square Apartments,33.7346321,-84.5303088,Park,square,point_of_interest; establishment,OPERATIONAL,2.4,22,NA
ChIJ-f9B5S4B9YgRzQPc0ot1lV0,Grace Holiness Deliverance Church,33.747617,-84.3192787,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.9,8,NA
ChIJ-f9LaUYc9YgR0Suil3DGuWY,SALT Community Worship Center,33.6780774,-84.42689779999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,2,NA
ChIJ-feZVoMd9YgRC2YNXePNjHI,Abundant Life Outreach Church of God in Christ,33.6983895,-84.4821714,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-fGdqDkE9YgR8V8Cyh2j57g,"The Boardwalk, Piedmont Park",33.7886096,-84.3719503,Park,park,park; point_of_interest; establishment,CLOSED_TEMPORARILY,4.5,4,TRUE
ChIJ-fR4NPMd9YgRg_sWMaqK2hA,Landing Square,33.6837628,-84.50093629999999,Park,square,real_estate_agency; point_of_interest; establishment,OPERATIONAL,4,439,NA
ChIJ-VVRRE0c9YgRa5fpdpfFyaw,"Christian Rites of Passage, Inc",33.7193847,-84.4916877,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-WABo8YF9YgRGzy3bsMK7r8,Passion City Church,33.8171646,-84.3711296,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.7,552,NA
ChIJ-wwnrTIH9YgRFv5TIOkvXk0,Garden Center at Intown Ace Hardware,33.7777679,-84.3528889,Park,garden,store; point_of_interest; establishment,OPERATIONAL,4.9,18,NA
ChIJ-wwnrTIH9YgRFv5TIOkvXk0,Garden Center at Intown Ace Hardware,33.7777679,-84.3528889,Park,garden,point_of_interest; store; establishment,OPERATIONAL,4.9,18,NA
ChIJ-YlpybgF9YgRgR347XsYJhM,Peachtree Hills Recreation Center,33.818226,-84.3776032,Community Space,community center,local_government_office; point_of_interest; establishment,OPERATIONAL,4.3,7,NA
ChIJ0_DOaT0c9YgRi0dy2hk_jXo,The Doctor's Memorial Park,33.740483,-84.5101294,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.4,31,NA
ChIJ005TcOcB9YgRrNIdqAFrlXk,Garden Head Planters,33.725958,-84.28894,Park,garden,park; point_of_interest; establishment,OPERATIONAL,5,4,NA
