cell,x,y,term,id
1,-84.52690682500211,33.664634249080684,library,1
1,-84.52690682500211,33.664634249080684,community center,2
1,-84.52690682500211,33.664634249080684,city hall,3
1,-84.52690682500211,33.664634249080684,place of worship,4
1,-84.52690682500211,33.664634249080684,park,5
1,-84.52690682500211,33.664634249080684,fountain,6
1,-84.52690682500211,33.664634249080684,square,7
1,-84.52690682500211,33.664634249080684,garden,8
1,-84.52690682500211,33.664634249080684,bookstore,9
1,-84.52690682500211,33.664634249080684,cafe,10
2,-84.50440355784671,33.66256141958722,library,11
2,-84.50440355784671,33.66256141958722,community center,12
2,-84.50440355784671,33.66256141958722,city hall,13
2,-84.50440355784671,33.66256141958722,place of worship,14
2,-84.50440355784671,33.66256141958722,park,15
2,-84.50440355784671,33.66256141958722,fountain,16
2,-84.50440355784671,33.66256141958722,square,17
2,-84.50440355784671,33.66256141958722,garden,18
2,-84.50440355784671,33.66256141958722,bookstore,19
2,-84.50440355784671,33.66256141958722,cafe,20
3,-84.48190159253419,33.66048453758425,library,21
3,-84.48190159253419,33.66048453758425,community center,22
3,-84.48190159253419,33.66048453758425,city hall,23
3,-84.48190159253419,33.66048453758425,place of worship,24
3,-84.48190159253419,33.66048453758425,park,25
3,-84.48190159253419,33.66048453758425,fountain,26
3,-84.48190159253419,33.66048453758425,square,27
3,-84.48190159253419,33.66048453758425,garden,28
3,-84.48190159253419,33.66048453758425,bookstore,29
3,-84.48190159253419,33.66048453758425,cafe,30
4,-84.43690157712665,33.65631861719129,library,31
4,-84.43690157712665,33.65631861719129,community center,32
4,-84.43690157712665,33.65631861719129,city hall,33
4,-84.43690157712665,33.65631861719129,place of worship,34
4,-84.43690157712665,33.65631861719129,park,35
4,-84.43690157712665,33.65631861719129,fountain,36
4,-84.43690157712665,33.65631861719129,square,37
4,-84.43690157712665,33.65631861719129,garden,38
4,-84.43690157712665,33.65631861719129,bookstore,39
4,-84.43690157712665,33.65631861719129,cafe,40
5,-84.41440353187394,33.65422957937337,library,41
5,-84.41440353187394,33.65422957937337,community center,42
5,-84.41440353187394,33.65422957937337,city hall,43
5,-84.41440353187394,33.65422957937337,place of worship,44
5,-84.41440353187394,33.65422957937337,park,45
5,-84.41440353187394,33.65422957937337,fountain,46
5,-84.41440353187394,33.65422957937337,square,47
5,-84.41440353187394,33.65422957937337,garden,48
5,-84.41440353187394,33.65422957937337,bookstore,49
5,-84.41440353187394,33.65422957937337,cafe,50
6,-84.39190679814867,33.65213649018997,library,51
6,-84.39190679814867,33.65213649018997,community center,52
6,-84.39190679814867,33.65213649018997,city hall,53
6,-84.39190679814867,33.65213649018997,place of worship,54
6,-84.39190679814867,33.65213649018997,park,55
6,-84.39190679814867,33.65213649018997,fountain,56
6,-84.39190679814867,33.65213649018997,square,57
6,-84.39190679814867,33.65213649018997,garden,58
6,-84.39190679814867,33.65213649018997,bookstore,59
6,-84.39190679814867,33.65213649018997,cafe,60
7,-84.36941137836978,33.65003934992843,library,61
7,-84.36941137836978,33.65003934992843,community center,62
7,-84.36941137836978,33.65003934992843,city hall,63
7,-84.36941137836978,33.65003934992843,place of worship,64
