place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____3LKD4gROKKIaO183og,Schiller Woods,41.9565677,-87.8476086,Park,park,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,4.6,1015,NA
ChIJ_____48vDogRpUxu6ntCzU8,New Generation,41.7470143,-87.6679765,Social Business,cafe,food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ____-0LQD4gRJq__GYjaiME,Clark Square Park,42.0329394,-87.6698671,Park,square,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.7,299,NA
ChIJ____-0LQD4gRJq__GYjaiME,Clark Square Park,42.0329394,-87.6698671,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.7,299,NA
ChIJ____22jQD4gRDTLj-U3j8L8,Elliott Park,42.0388429,-87.6701338,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.7,193,NA
ChIJ___P1wE3DogRcZN01gDkI2k,Platinum Players Cafe,41.7796745,-87.8128662,Social Business,cafe,bar; point_of_interest; establishment,OPERATIONAL,5,3,NA
ChIJ___vGPG0D4gR4aBguv_AKFQ,Westdale Park District,41.9339993,-87.9069313,Park,park,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ___vGPG0D4gRG_jVZz78yBY,Westdale Park,41.9339993,-87.9069313,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.4,61,NA
ChIJ__-_GvM8DogRwG9wjRTeO_o,Court Homes of Frankfort Square,41.6477234,-87.7282973,Park,square,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-T3ozJD4gRFmzY1R6dfxQ,Covenant Bookstore,41.98579369999999,-87.8343106,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,4.5,2,NA
ChIJ__-vpE8zDogR5z2P3ESsuQ4,Austin Community Family Center,41.889427,-87.7644894,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.5,4,NA
ChIJ__5hb5cxDogR8osYER7YJhY,"Archer Heights Branch, Chicago Public Library",41.8008865,-87.7266296,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.4,61,NA
ChIJ__8__UDQD4gRC59tfjq9ljs,Thomas E Snyder Park,42.0319797,-87.67527890000001,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,23,NA
ChIJ__8_H5k0DogR5AM6W65VMZQ,OAK PARK 013,41.8757498,-87.78255899999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8_jjzQD4gR831RyUJduKw,Trahan Park,42.03104,-87.6857715,Park,park,park; point_of_interest; establishment,OPERATIONAL,4,6,NA
ChIJ__8jh5MlDogRhd21YJ_D65U,Shary Baldwin Ministries,41.7217347,-87.641211,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8LnaQwDogRz5viEuuU_Ks,"First Church of Christ, Scientist and Reading Room",41.7184004,-87.7544427,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8rC3IlDogR1Wrhvci0WQM,Green Coffee Vitality,41.720907,-87.6678031,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__9PtnM7DogRtYIgk-qS2Uc,AQUATIC PARK,41.6749431,-87.72999779999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.6,125,NA
ChIJ__9vjlK2D4gR3HBfjZqWEXo,Arndt Park,42.0172061,-87.8853127,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,138,NA
ChIJ__ReiVgvDogRGz_Df0AdWRE,Garden Center at The Home Depot,41.736489,-87.63086109999999,Park,garden,furniture_store; home_goods_store; general_contractor; point_of_interest; store; establishment,OPERATIONAL,4.5,10,NA
ChIJ_-IG77c0DogRQ-6dSRCz7_s,Scoville Park,41.8892057,-87.7952976,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.6,411,NA
ChIJ_-U3n_CzD4gRtGKwbRNaZI0,The Expresso Shoppe,41.9702303,-87.9407758,Social Business,cafe,food; point_of_interest; establishment,OPERATIONAL,2.9,16,NA
ChIJ_08-NGY0DogRTtElvFcFZ70,Heads Up Coffee Roasters,41.8496972,-87.79304289999999,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_0n1qas7DogR3WU47tNtyb0,Dunkin',41.6961959,-87.7392658,Social Business,cafe,bakery; meal_takeaway; cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.7,418,NA
ChIJ_1iz6XTJD4gRvIS9JPKhg-M,Lina's Frozen Treats and Cafe,42.0441538,-87.8291488,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.5,107,NA
