place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____zuPOIgRw7obiAOsT2k,Lazelle Woods Community Center,40.1314654,-82.987888,Community Space,community center,gym; health; point_of_interest; establishment,OPERATIONAL,4.5,131,NA
ChIJ___vVMiLOIgRytzkzDz4lJE,Fountain of knowledge Academy,40.0314285,-82.9583473,Park,fountain,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-r2PKLOIgRmbcIR-3dw8Y,Garden Gate Landscaping & Lawncare,40.0344671,-82.98507839999999,Park,garden,general_contractor; point_of_interest; establishment,OPERATIONAL,1,1,NA
ChIJ__8vq5OJOIgRitlfYxa6aoM,The Blessed Church,39.9989234,-82.9315424,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_-HdEL_yOIgRVoD2ermlEOM,Woodbridge Green Park,40.1182146,-83.05976369999999,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,34,NA
ChIJ_-vF8c-QOIgR9GIBlUpP_EQ,The Church Next Door,39.9716051,-83.1551009,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,83,NA
ChIJ_1tFSieHOIgRpe6j26d9ieE,Bridlewood Park,39.8764644,-82.9442835,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.9,7,NA
ChIJ_2cMozeQOIgRzoORhn7vxzE,McDonald's,39.9722471,-83.09897869999999,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.3,1106,NA
ChIJ_2O8ZTGPOIgRsq91qm8xxCk,Capitol Square,39.9612453,-82.9997654,Park,square,point_of_interest; establishment,OPERATIONAL,4.5,718,NA
ChIJ_3UdHnVkOIgRas8yvJmkVf0,McDonald's,39.9827462,-82.818179,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,2.9,1664,NA
ChIJ_51rI_6EOIgRICSeJZ0VW2w,Fountech,39.8952525,-83.04107979999999,Park,fountain,point_of_interest; establishment,OPERATIONAL,3.3,3,NA
ChIJ_5bIgvCMOIgRKibbaTHgSoY,Starbucks,40.064997,-83.02543299999999,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,3.8,39,NA
ChIJ_5iceQ6NOIgRIJFW-4qhp5A,Flemming Duane A,40.0681165,-83.05194929999999,Place of Worship,place of worship,church; place_of_worship; general_contractor; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ_7-5rh9hOIgR03rm8YuEvjk,Starbucks,40.0804557,-82.85030359999999,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,3.5,60,NA
ChIJ_7L-ILCSOIgR8Ps44CpUF8w,Panera Bread,40.0917628,-83.09107700000001,Social Business,cafe,cafe; bakery; meal_takeaway; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.5,441,NA
ChIJ_8s8f32ROIgRIPtmH5KB1jQ,Westgate Sports Park,39.9446837,-83.0879417,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,16,NA
ChIJ_a1wP16aOIgRMn-pSnzDDCs,McDonald's,39.9199835,-83.1258203,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.3,1326,NA
ChIJ_ar0VPhgOIgR7luQNhrGxZ0,McDonald's,40.0561997,-82.8628762,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.4,745,NA
ChIJ_btfmfSaOIgRt9yNwiMx26w,Steak 'n Shake,39.9193835,-83.116929,Park,square,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.4,1407,NA
ChIJ_btfmfSaOIgRt9yNwiMx26w,Steak 'n Shake,39.9193835,-83.116929,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.4,1407,NA
ChIJ_c9A4UGIOIgRVtLJqG4EczA,Havenwood Park,39.9507663,-82.9329312,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.6,28,NA
ChIJ_caBg0yXOIgR4ZAQHx3xx9U,Cypress Church Alton Darby Campus,39.9587152,-83.1680824,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.9,182,NA
ChIJ_cz_psyJOIgRe8UmXCRoERA,Stav's Diner,39.9713639,-82.922675,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.8,561,NA
ChIJ_e8ggE1jOIgRPV_IExGISJM,Waffle House,39.92636100000001,-82.83198010000001,Social Business,cafe,meal_takeaway; restaurant; food; point_of_interest; establishment,OPERATIONAL,4,994,NA
ChIJ_e9HYl3tOIgR-MMepp_Dnhc,Olde Sawmill Square Shopping Center,40.1233367,-83.08745569999999,Park,square,shopping_mall; point_of_interest; establishment,OPERATIONAL,4.1,597,NA
ChIJ_eHVc2KIOIgRRy6IXeLvsSY,Driving Park Community Rec Center,39.9441399,-82.9491826,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.4,168,NA
ChIJ_eXA4aWTOIgRg_czmI9Z6E0,Square shop,40.0658766,-83.1224893,Park,square,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_fE_XIyIOIgRk_3D3d6wli4,Alkebulan Ujaama Book Store,39.9487681,-82.9573392,Social Business,bookstore,store; point_of_interest; establishment,OPERATIONAL,4.4,10,NA
ChIJ_QvL5r2OOIgR1Fn6om83PH8,Terra Byte Café,40.001659,-83.01333079999999,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.3,64,NA
ChIJ_R-kigeNOIgR6cUorqOZfxI,Old Calendar Eastern Orthodox Church of the Holy Entrance.,40.0406681,-83.0187236,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.3,6,NA
ChIJ_TeyZqiPOIgRrSqxrH1Q5l8,Triangle Park,39.9966082,-83.03347830000001,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,2,NA
ChIJ_Y0Flp2TOIgReCJMOiv4rxM,Healthy Blends,40.07299829999999,-83.1232287,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.9,21,NA
ChIJ_y2tZNuDOIgRAlQrQHe0iBw,Portside Cafe,39.8273629,-83.0016488,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.3,693,NA
ChIJ_ygF_RWIOIgRBpL_u55HwkM,Carl Frye Park,39.9588135,-83.12780219999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,90,NA
ChIJ_Yk1MkH1OIgRTNnxWJtoGbc,McDonald's,40.1086075,-82.924448,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,3.5,1399,NA
ChIJ_ykP4_1gOIgRc6iHiouNFx8,Eastside Community Church,40.048848,-82.858457,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,8,NA
ChIJ_ZAinVqNOIgRJeGvCSVS8V4,Cafe Elena,40.0654411,-83.0719671,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.6,228,NA
ChIJ_Zi8EtqOOIgR2WkIyzCsNO4,Northstar Cafe in the Short North,39.9815694,-83.004593,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.5,1870,NA
ChIJ_ZMmx6mOOIgR9Sa3vC4TDYw,Rumba Café,40.01477879999999,-83.00034579999999,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.5,525,NA
ChIJ_ZPt3tuOOIgRIlWV82yOQQE,Sader Park,39.9808302,-83.0077235,Park,park,park; point_of_interest; establishment,OPERATIONAL,4,3,NA
ChIJ--9RctOOOIgRBOLP9XJpDwA,Ohioana Library Association,39.9812156,-82.99546280000001,Community Space,library,library; point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ--9RctOOOIgRKWmFWMclVPc,State Library of Ohio,39.9811221,-82.99656159999999,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.9,13,NA
