place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____zS4t4kRvJ95GNG3fk4,kenilworth park,38.8831372,-76.9902276,Park,park,park; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ____Kh-4t4kRGuZs2oUvFk8,Starbucks,38.929545,-77.055303,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4,191,NA
ChIJ____v-XHt4kR_VwP0umgVoU,Library Science,38.9368164,-77.0003292,Community Space,library,library; point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ___KESu4t4kRumZSTy3LrL0,COASTAL COMMUNITIES COALITION,38.8842714,-77.00659449999999,Community Space,community center,point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ___PBqe4t4kR_KwQzjyzxbM,Victory Praise Center,38.9129593,-76.932847,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ___vZ4y3t4kRpc5ZtQHCs24,Digital Square,38.9010267,-77.01753819999999,Park,square,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-A7yDIt4kRX2vxyAtAP64,AddisParis Cafe,38.9288679,-77.0371902,Social Business,cafe,cafe; bar; food; point_of_interest; establishment,OPERATIONAL,4.6,104,NA
ChIJ__-D67a4t4kRt7LJfX4d0Og,Mercy of Christ Fellowship Church,38.897353,-76.92561599999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,3,NA
ChIJ__-Df5q5t4kRh_Q34UmGyvI,Frederick Douglass Community Center,38.850816,-76.9758049,Community Space,community center,point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ__-v-Au2t4kRWa8D2OdrFTI,Black Coffee,38.9178911,-77.0969598,Social Business,cafe,cafe; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.4,158,NA
ChIJ__4FWSDIt4kR1HEFTnIcQzk,The District Church,38.9292316,-77.0357787,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.6,41,NA
ChIJ__8Qu8q3t4kREpJdVDRwJio,2622 Cafe,38.9092681,-77.0554758,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.8,6,NA
ChIJ_-BHjj7It4kRNSU58Nbid9Q,Faith Moravian Church,38.9432299,-77.0369709,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_-XFa4q2t4kR7uHFbdW_p1c,Walter T. McCarthy Law Library,38.889979,-77.08349199999999,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_0T9da-3t4kRBMjfqXf3c9I,Edward J. Kelly Park,38.8946495,-77.0461021,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.3,47,NA
ChIJ_2xHyZSxt4kR26SSue4XKRA,Java Grill,38.8050995,-77.0462834,Social Business,cafe,restaurant; bakery; cafe; bar; food; point_of_interest; store; establishment,CLOSED_TEMPORARILY,4.7,53,TRUE
ChIJ_44Lct-3t4kRotlxygq5EVg,"Washington Family Church National Cathedral, FFWPU of Washington DC",38.9258902,-77.0370016,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,5,NA
ChIJ_5du-ze4t4kRgt9YzqTfEI4,House of God,38.8901054,-76.9877496,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_5Qu4EK4t4kRVRe_i1s9G6k,Unity Fellowship of Baltimore,38.8970671,-76.9774444,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
