cell,x,y,term,id
1,-77.046273768561,38.801326574748714,library,1
1,-77.046273768561,38.801326574748714,community center,2
1,-77.046273768561,38.801326574748714,city hall,3
1,-77.046273768561,38.801326574748714,place of worship,4
1,-77.046273768561,38.801326574748714,park,5
1,-77.046273768561,38.801326574748714,fountain,6
1,-77.046273768561,38.801326574748714,square,7
1,-77.046273768561,38.801326574748714,garden,8
1,-77.046273768561,38.801326574748714,bookstore,9
1,-77.046273768561,38.801326574748714,cafe,10
2,-77.02233253651,38.79795223086575,library,11
2,-77.02233253651,38.79795223086575,community center,12
2,-77.02233253651,38.79795223086575,city hall,13
2,-77.02233253651,38.79795223086575,place of worship,14
2,-77.02233253651,38.79795223086575,park,15
2,-77.02233253651,38.79795223086575,fountain,16
2,-77.02233253651,38.79795223086575,square,17
2,-77.02233253651,38.79795223086575,garden,18
2,-77.02233253651,38.79795223086575,bookstore,19
2,-77.02233253651,38.79795223086575,cafe,20
3,-77.04142079205499,38.81796759448154,library,21
3,-77.04142079205499,38.81796759448154,community center,22
3,-77.04142079205499,38.81796759448154,city hall,23
3,-77.04142079205499,38.81796759448154,place of worship,24
3,-77.04142079205499,38.81796759448154,park,25
3,-77.04142079205499,38.81796759448154,fountain,26
3,-77.04142079205499,38.81796759448154,square,27
3,-77.04142079205499,38.81796759448154,garden,28
3,-77.04142079205499,38.81796759448154,bookstore,29
3,-77.04142079205499,38.81796759448154,cafe,30
4,-77.01747376948461,38.814592473479145,library,31
4,-77.01747376948461,38.814592473479145,community center,32
4,-77.01747376948461,38.814592473479145,city hall,33
4,-77.01747376948461,38.814592473479145,place of worship,34
4,-77.01747376948461,38.814592473479145,park,35
4,-77.01747376948461,38.814592473479145,fountain,36
4,-77.01747376948461,38.814592473479145,square,37
4,-77.01747376948461,38.814592473479145,garden,38
4,-77.01747376948461,38.814592473479145,bookstore,39
4,-77.01747376948461,38.814592473479145,cafe,40
5,-76.99352921405968,38.811213145969475,library,41
5,-76.99352921405968,38.811213145969475,community center,42
5,-76.99352921405968,38.811213145969475,city hall,43
5,-76.99352921405968,38.811213145969475,place of worship,44
5,-76.99352921405968,38.811213145969475,park,45
5,-76.99352921405968,38.811213145969475,fountain,46
5,-76.99352921405968,38.811213145969475,square,47
5,-76.99352921405968,38.811213145969475,garden,48
5,-76.99352921405968,38.811213145969475,bookstore,49
5,-76.99352921405968,38.811213145969475,cafe,50
6,-77.036565366572,38.83460806198175,library,51
6,-77.036565366572,38.83460806198175,community center,52
6,-77.036565366572,38.83460806198175,city hall,53
6,-77.036565366572,38.83460806198175,place of worship,54
6,-77.036565366572,38.83460806198175,park,55
6,-77.036565366572,38.83460806198175,fountain,56
6,-77.036565366572,38.83460806198175,square,57
6,-77.036565366572,38.83460806198175,garden,58
6,-77.036565366572,38.83460806198175,bookstore,59
6,-77.036565366572,38.83460806198175,cafe,60
7,-77.01261255080689,38.83123216323931,library,61
7,-77.01261255080689,38.83123216323931,community center,62
7,-77.01261255080689,38.83123216323931,city hall,63
7,-77.01261255080689,38.83123216323931,place of worship,64
7,-77.01261255080689,38.83123216323931,park,65
7,-77.01261255080689,38.83123216323931,fountain,66
7,-77.01261255080689,38.83123216323931,square,67
7,-77.01261255080689,38.83123216323931,garden,68
7,-77.01261255080689,38.83123216323931,bookstore,69
7,-77.01261255080689,38.83123216323931,cafe,70
8,-76.98866221218502,38.827852065175144,library,71
8,-76.98866221218502,38.827852065175144,community center,72
8,-76.98866221218502,38.827852065175144,city hall,73
8,-76.98866221218502,38.827852065175144,place of worship,74
8,-76.98866221218502,38.827852065175144,park,75
8,-76.98866221218502,38.827852065175144,fountain,76
8,-76.98866221218502,38.827852065175144,square,77
8,-76.98866221218502,38.827852065175144,garden,78
8,-76.98866221218502,38.827852065175144,bookstore,79
8,-76.98866221218502,38.827852065175144,cafe,80
9,-77.03170749028041,38.85124797829341,library,81
9,-77.03170749028041,38.85124797829341,community center,82
9,-77.03170749028041,38.85124797829341,city hall,83
9,-77.03170749028041,38.85124797829341,place of worship,84
9,-77.03170749028041,38.85124797829341,park,85
9,-77.03170749028041,38.85124797829341,fountain,86
9,-77.03170749028041,38.85124797829341,square,87
9,-77.03170749028041,38.85124797829341,garden,88
9,-77.03170749028041,38.85124797829341,bookstore,89
9,-77.03170749028041,38.85124797829341,cafe,90
10,-77.00774887864347,38.847871301189805,library,91
10,-77.00774887864347,38.847871301189805,community center,92
10,-77.00774887864347,38.847871301189805,city hall,93
10,-77.00774887864347,38.847871301189805,place of worship,94
10,-77.00774887864347,38.847871301189805,park,95
10,-77.00774887864347,38.847871301189805,fountain,96
10,-77.00774887864347,38.847871301189805,square,97
10,-77.00774887864347,38.847871301189805,garden,98
10,-77.00774887864347,38.847871301189805,bookstore,99
10,-77.00774887864347,38.847871301189805,cafe,100
11,-76.98379275114353,38.84449043137345,library,101
11,-76.98379275114353,38.84449043137345,community center,102
11,-76.98379275114353,38.84449043137345,city hall,103
11,-76.98379275114353,38.84449043137345,place of worship,104
11,-76.98379275114353,38.84449043137345,park,105
11,-76.98379275114353,38.84449043137345,fountain,106
11,-76.98379275114353,38.84449043137345,square,107
11,-76.98379275114353,38.84449043137345,garden,108
11,-76.98379275114353,38.84449043137345,bookstore,109
11,-76.98379275114353,38.84449043137345,cafe,110
12,-76.95983909793915,38.84110535580919,library,111
12,-76.95983909793915,38.84110535580919,community center,112
12,-76.95983909793915,38.84110535580919,city hall,113
12,-76.95983909793915,38.84110535580919,place of worship,114
12,-76.95983909793915,38.84110535580919,park,115
12,-76.95983909793915,38.84110535580919,fountain,116
12,-76.95983909793915,38.84110535580919,square,117
12,-76.95983909793915,38.84110535580919,garden,118
12,-76.95983909793915,38.84110535580919,bookstore,119
12,-76.95983909793915,38.84110535580919,cafe,120
13,-77.05081402599829,38.87126057938346,library,121
13,-77.05081402599829,38.87126057938346,community center,122
13,-77.05081402599829,38.87126057938346,city hall,123
13,-77.05081402599829,38.87126057938346,place of worship,124
13,-77.05081402599829,38.87126057938346,park,125
13,-77.05081402599829,38.87126057938346,fountain,126
13,-77.05081402599829,38.87126057938346,square,127
13,-77.05081402599829,38.87126057938346,garden,128
13,-77.05081402599829,38.87126057938346,bookstore,129
13,-77.05081402599829,38.87126057938346,cafe,130
14,-77.02684716134684,38.86788734446133,library,131
14,-77.02684716134684,38.86788734446133,community center,132
14,-77.02684716134684,38.86788734446133,city hall,133
14,-77.02684716134684,38.86788734446133,place of worship,134
14,-77.02684716134684,38.86788734446133,park,135
14,-77.02684716134684,38.86788734446133,fountain,136
14,-77.02684716134684,38.86788734446133,square,137
14,-77.02684716134684,38.86788734446133,garden,138
14,-77.02684716134684,38.86788734446133,bookstore,139
14,-77.02684716134684,38.86788734446133,cafe,140
15,-77.00288275115922,38.8645098883748,library,141
15,-77.00288275115922,38.8645098883748,community center,142
15,-77.00288275115922,38.8645098883748,city hall,143
15,-77.00288275115922,38.8645098883748,place of worship,144
15,-77.00288275115922,38.8645098883748,park,145
15,-77.00288275115922,38.8645098883748,fountain,146
15,-77.00288275115922,38.8645098883748,square,147
15,-77.00288275115922,38.8645098883748,garden,148
15,-77.00288275115922,38.8645098883748,bookstore,149
15,-77.00288275115922,38.8645098883748,cafe,150
16,-76.97892082909624,38.86112824560737,library,151
16,-76.97892082909624,38.86112824560737,community center,152
16,-76.97892082909624,38.86112824560737,city hall,153
16,-76.97892082909624,38.86112824560737,place of worship,154
16,-76.97892082909624,38.86112824560737,park,155
16,-76.97892082909624,38.86112824560737,fountain,156
16,-76.97892082909624,38.86112824560737,square,157
16,-76.97892082909624,38.86112824560737,garden,158
16,-76.97892082909624,38.86112824560737,bookstore,159
16,-76.97892082909624,38.86112824560737,cafe,160
17,-76.9549613739245,38.85774238802314,library,161
17,-76.9549613739245,38.85774238802314,community center,162
17,-76.9549613739245,38.85774238802314,city hall,163
17,-76.9549613739245,38.85774238802314,place of worship,164
17,-76.9549613739245,38.85774238802314,park,165
17,-76.9549613739245,38.85774238802314,fountain,166
17,-76.9549613739245,38.85774238802314,square,167
17,-76.9549613739245,38.85774238802314,garden,168
17,-76.9549613739245,38.85774238802314,bookstore,169
17,-76.9549613739245,38.85774238802314,cafe,170
18,-77.06993216699313,38.89126996631775,library,171
18,-77.06993216699313,38.89126996631775,community center,172
18,-77.06993216699313,38.89126996631775,city hall,173
18,-77.06993216699313,38.89126996631775,place of worship,174
18,-77.06993216699313,38.89126996631775,park,175
18,-77.06993216699313,38.89126996631775,fountain,176
18,-77.06993216699313,38.89126996631775,square,177
18,-77.06993216699313,38.89126996631775,garden,178
18,-77.06993216699313,38.89126996631775,bookstore,179
18,-77.06993216699313,38.89126996631775,cafe,180
19,-77.04595704565517,38.88790017521723,library,181
19,-77.04595704565517,38.88790017521723,community center,182
19,-77.04595704565517,38.88790017521723,city hall,183
19,-77.04595704565517,38.88790017521723,place of worship,184
19,-77.04595704565517,38.88790017521723,park,185
19,-77.04595704565517,38.88790017521723,fountain,186
19,-77.04595704565517,38.88790017521723,square,187
19,-77.04595704565517,38.88790017521723,garden,188
19,-77.04595704565517,38.88790017521723,bookstore,189
19,-77.04595704565517,38.88790017521723,cafe,190
20,-77.02198437793601,38.88452616153047,library,191
20,-77.02198437793601,38.88452616153047,community center,192
20,-77.02198437793601,38.88452616153047,city hall,193
20,-77.02198437793601,38.88452616153047,place of worship,194
20,-77.02198437793601,38.88452616153047,park,195
20,-77.02198437793601,38.88452616153047,fountain,196
20,-77.02198437793601,38.88452616153047,square,197
20,-77.02198437793601,38.88452616153047,garden,198
20,-77.02198437793601,38.88452616153047,bookstore,199
20,-77.02198437793601,38.88452616153047,cafe,200
21,-76.99801416869404,38.88114792888588,library,201
21,-76.99801416869404,38.88114792888588,community center,202
21,-76.99801416869404,38.88114792888588,city hall,203
21,-76.99801416869404,38.88114792888588,place of worship,204
