cell,x,y,term,id
1,-106.32430603218775,31.62898085969001,library,1
1,-106.32430603218775,31.62898085969001,community center,2
1,-106.32430603218775,31.62898085969001,city hall,3
1,-106.32430603218775,31.62898085969001,place of worship,4
1,-106.32430603218775,31.62898085969001,park,5
1,-106.32430603218775,31.62898085969001,fountain,6
1,-106.32430603218775,31.62898085969001,square,7
1,-106.32430603218775,31.62898085969001,garden,8
1,-106.32430603218775,31.62898085969001,bookstore,9
1,-106.32430603218775,31.62898085969001,cafe,10
2,-106.3023903313673,31.63085362267537,library,11
2,-106.3023903313673,31.63085362267537,community center,12
2,-106.3023903313673,31.63085362267537,city hall,13
2,-106.3023903313673,31.63085362267537,place of worship,14
2,-106.3023903313673,31.63085362267537,park,15
2,-106.3023903313673,31.63085362267537,fountain,16
2,-106.3023903313673,31.63085362267537,square,17
2,-106.3023903313673,31.63085362267537,garden,18
2,-106.3023903313673,31.63085362267537,bookstore,19
2,-106.3023903313673,31.63085362267537,cafe,20
3,-106.32670279450214,31.64612641919945,library,21
3,-106.32670279450214,31.64612641919945,community center,22
3,-106.32670279450214,31.64612641919945,city hall,23
3,-106.32670279450214,31.64612641919945,place of worship,24
3,-106.32670279450214,31.64612641919945,park,25
3,-106.32670279450214,31.64612641919945,fountain,26
3,-106.32670279450214,31.64612641919945,square,27
3,-106.32670279450214,31.64612641919945,garden,28
3,-106.32670279450214,31.64612641919945,bookstore,29
3,-106.32670279450214,31.64612641919945,cafe,30
4,-106.30478208649212,31.647999520795032,library,31
4,-106.30478208649212,31.647999520795032,community center,32
4,-106.30478208649212,31.647999520795032,city hall,33
4,-106.30478208649212,31.647999520795032,place of worship,34
4,-106.30478208649212,31.647999520795032,park,35
4,-106.30478208649212,31.647999520795032,fountain,36
4,-106.30478208649212,31.647999520795032,square,37
4,-106.30478208649212,31.647999520795032,garden,38
4,-106.30478208649212,31.647999520795032,bookstore,39
4,-106.30478208649212,31.647999520795032,cafe,40
5,-106.32910066547169,31.66327106736701,library,41
5,-106.32910066547169,31.66327106736701,community center,42
5,-106.32910066547169,31.66327106736701,city hall,43
5,-106.32910066547169,31.66327106736701,place of worship,44
5,-106.32910066547169,31.66327106736701,park,45
5,-106.32910066547169,31.66327106736701,fountain,46
5,-106.32910066547169,31.66327106736701,square,47
5,-106.32910066547169,31.66327106736701,garden,48
5,-106.32910066547169,31.66327106736701,bookstore,49
5,-106.32910066547169,31.66327106736701,cafe,50
6,-106.30717494801189,31.66514450784538,library,51
6,-106.30717494801189,31.66514450784538,community center,52
6,-106.30717494801189,31.66514450784538,city hall,53
6,-106.30717494801189,31.66514450784538,place of worship,54
6,-106.30717494801189,31.66514450784538,park,55
6,-106.30717494801189,31.66514450784538,fountain,56
6,-106.30717494801189,31.66514450784538,square,57
6,-106.30717494801189,31.66514450784538,garden,58
6,-106.30717494801189,31.66514450784538,bookstore,59
6,-106.30717494801189,31.66514450784538,cafe,60
7,-106.2852481233924,31.66701397263526,library,61
7,-106.2852481233924,31.66701397263526,community center,62
7,-106.2852481233924,31.66701397263526,city hall,63
7,-106.2852481233924,31.66701397263526,place of worship,64
7,-106.2852481233924,31.66701397263526,park,65
7,-106.2852481233924,31.66701397263526,fountain,66
7,-106.2852481233924,31.66701397263526,square,67
7,-106.2852481233924,31.66701397263526,garden,68
