place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ___PHqd1ToYRNksGxNbWzug,Walsh Library Northwest TCC Campus,32.8312334,-97.3925045,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.9,9,NA
ChIJ___PsiN1ToYRn91MAdaKv8A,Flavors Cafe,32.8216885,-97.4192509,Social Business,cafe,food; point_of_interest; establishment,OPERATIONAL,4,4,NA
ChIJ__-_g6IMToYRz9FBEtNJkL8,White Settlement Municipal Court,32.7579664,-97.45951889999999,Community Space,city hall,courthouse; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-P7792ToYRG6TCbvBZTRo,FM Church/Fuente de Misericordia,32.7961281,-97.33085450000002,Park,fountain,point_of_interest; establishment,OPERATIONAL,5,13,NA
ChIJ__8_mcttToYRcWQJI-l5cq8,Community Fellowship Center,32.6405268,-97.3684249,Community Space,community center,point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ__8bboVuToYREvZSTqs0iT4,Agape Community Fellowship Church,32.630596,-97.3416975,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.6,11,NA
ChIJ__8P32iDToYRlmR382651N8,하늘샘 교회 Haneulsaem Baptist Church,32.762289,-97.1202776,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,9,NA
ChIJ__9veKZ6ToYR-XXz4WZ_9OY,Beloved it.com,32.7021786,-97.25993350000002,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4,1,NA
ChIJ_1Kf-_Z5ToYRIhxJ3WHxnjI,Garden of Eden,32.7834723,-97.2477554,Park,garden,neighborhood; political,NA,NA,NA,NA
ChIJ_41r_GJ6ToYRVOAXLjcJzO4,Sagamore Park,32.7365489,-97.25213749999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,68,NA
ChIJ_6-HQ6d2ToYRQUu9aLW-k5w,Horseshoe Hill,32.788996,-97.350819,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.4,588,NA
ChIJ_6jKUuN5ToYRusiSZTwCTH0,Birdville Trails Park,32.7897532,-97.2604806,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.2,62,NA
ChIJ_6R2KqcNToYRPh9iEmeUjE8,Benbrook Nutrition,32.720495,-97.452297,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.8,5,NA
ChIJ_8Wibs5zToYRFvdClOxeKew,Rock Springs Garden,32.7341429,-97.3641876,Park,garden,park; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ_9i2XkdsToYRTT596ORL4E4,Hulen Meadows Park,32.6213485,-97.3735365,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,50,NA
ChIJ_bpC_lMKToYR9Lb1GNrzvG0,House of NAM (Not About Me) Biker Church,32.8163822,-97.48749579999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.7,47,NA
ChIJ_cwfGxJtToYR5ckcVCcLeDU,Unity of Faith Christian Center,32.6526118,-97.4066043,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,3,4,NA
ChIJ_dbY95_fTYYRGAlUPGaEvWw,Starbucks,32.881792,-97.395765,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,3.8,65,NA
ChIJ_e3xhX9sToYRrjfgUIAB-yo,Heritage of Faith Christian,32.5911413,-97.3886165,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.9,53,NA
ChIJ_f7OTkFtToYRsJQ6y018WMQ,Starbucks,32.66136,-97.421399,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.4,280,NA
ChIJ_R-fEt90ToYRrVwEVG6xwSI,Edge Coffeehouse,32.812563,-97.4198531,Social Business,cafe,cafe; church; place_of_worship; food; point_of_interest; store; establishment,OPERATIONAL,4.7,200,NA
