place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____6PKwoARfWV6o4iUgEI,Gardena Park Maintenance,33.8831564,-118.3066507,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.8,6,NA
ChIJ____bLLHwoARQRYIG2QMNag,DexProtector,34.0532906,-118.2570173,Community Space,library,library; point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ____v4i8woAR50hWsCsAP28,Charles E. Young Research Library,34.0749691,-118.441466,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.9,36,NA
ChIJ___PfEi7woARZMHC8h2y4gg,Wijaba,34.0327608,-118.4754017,Community Space,library,library; point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ___vfhi4woAR8JRR9ugEJ78,Love and Live Again Ministries,34.0151568,-118.3226025,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ__-bb3HDwoAR8YWQJ3rIoHE,ELITE Green Garden Care,34.1465915,-118.1513539,Park,garden,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-DOinJwoAR5APFVN40Dd4,Slauson & State,33.98893109999999,-118.2137591,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4,1,NA
ChIJ__-vVco23YARTUC0KxV96E8,Long Beach Sailor Mission Church MINISTRY,33.7663493,-118.2089384,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8_6J003YARLRYoZcjnhlU,AltaFoodcraft Coffee Service,33.8455788,-118.2072369,Social Business,cafe,food; point_of_interest; store; establishment,OPERATIONAL,5,2,NA
ChIJ__8DwGw13YARF3OwVr4427s,Quickly Boba,33.8274557,-118.277208,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.7,175,NA
ChIJ__8PCq--woAR4c0uKHhOmyg,West Hollywood Park Dog Park,34.0840335,-118.3840749,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,166,NA
ChIJ__9bS8e4woARr4i79dlCbBg,La Fayette Square :Ryan Case,34.0735749,-118.3239353,Park,square,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__BRalAx3YARP9ufOGvDRqU,14th Street Park,33.783814,-118.195483,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.5,43,NA
ChIJ__NT_nfIwoAR5Ii0KYfaX2A,gardens of paradise,34.0216171,-118.2645579,Park,garden,point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ__vtxDrKwoARqHYX5JTQckg,Towne Square Apartments LP,33.9281464,-118.2661879,Park,square,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_085u3-7woARFx0OvYC05ww,Westwood Gardens Park,34.0575049,-118.441612,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.1,48,NA
