cell,x,y,term,id
1,-118.31013726000587,33.705177804669795,library,1
1,-118.31013726000587,33.705177804669795,community center,2
1,-118.31013726000587,33.705177804669795,city hall,3
1,-118.31013726000587,33.705177804669795,place of worship,4
1,-118.31013726000587,33.705177804669795,park,5
1,-118.31013726000587,33.705177804669795,fountain,6
1,-118.31013726000587,33.705177804669795,square,7
1,-118.31013726000587,33.705177804669795,garden,8
1,-118.31013726000587,33.705177804669795,bookstore,9
1,-118.31013726000587,33.705177804669795,cafe,10
2,-118.28807872179867,33.70917492629126,library,11
2,-118.28807872179867,33.70917492629126,community center,12
2,-118.28807872179867,33.70917492629126,city hall,13
2,-118.28807872179867,33.70917492629126,place of worship,14
2,-118.28807872179867,33.70917492629126,park,15
2,-118.28807872179867,33.70917492629126,fountain,16
2,-118.28807872179867,33.70917492629126,square,17
2,-118.28807872179867,33.70917492629126,garden,18
2,-118.28807872179867,33.70917492629126,bookstore,19
2,-118.28807872179867,33.70917492629126,cafe,20
3,-118.26601772432039,33.713168126512144,library,21
3,-118.26601772432039,33.713168126512144,community center,22
3,-118.26601772432039,33.713168126512144,city hall,23
3,-118.26601772432039,33.713168126512144,place of worship,24
3,-118.26601772432039,33.713168126512144,park,25
3,-118.26601772432039,33.713168126512144,fountain,26
3,-118.26601772432039,33.713168126512144,square,27
3,-118.26601772432039,33.713168126512144,garden,28
3,-118.26601772432039,33.713168126512144,bookstore,29
3,-118.26601772432039,33.713168126512144,cafe,30
4,-118.2439542695496,33.7171574048151,library,31
4,-118.2439542695496,33.7171574048151,community center,32
4,-118.2439542695496,33.7171574048151,city hall,33
4,-118.2439542695496,33.7171574048151,place of worship,34
4,-118.2439542695496,33.7171574048151,park,35
4,-118.2439542695496,33.7171574048151,fountain,36
4,-118.2439542695496,33.7171574048151,square,37
4,-118.2439542695496,33.7171574048151,garden,38
4,-118.2439542695496,33.7171574048151,bookstore,39
4,-118.2439542695496,33.7171574048151,cafe,40
5,-118.22188835946635,33.721142760683065,library,41
5,-118.22188835946635,33.721142760683065,community center,42
5,-118.22188835946635,33.721142760683065,city hall,43
5,-118.22188835946635,33.721142760683065,place of worship,44
5,-118.22188835946635,33.721142760683065,park,45
5,-118.22188835946635,33.721142760683065,fountain,46
5,-118.22188835946635,33.721142760683065,square,47
5,-118.22188835946635,33.721142760683065,garden,48
5,-118.22188835946635,33.721142760683065,bookstore,49
5,-118.22188835946635,33.721142760683065,cafe,50
6,-118.19981999605227,33.72512419359918,library,51
6,-118.19981999605227,33.72512419359918,community center,52
6,-118.19981999605227,33.72512419359918,city hall,53
6,-118.19981999605227,33.72512419359918,place of worship,54
6,-118.19981999605227,33.72512419359918,park,55
6,-118.19981999605227,33.72512419359918,fountain,56
6,-118.19981999605227,33.72512419359918,square,57
6,-118.19981999605227,33.72512419359918,garden,58
6,-118.19981999605227,33.72512419359918,bookstore,59
6,-118.19981999605227,33.72512419359918,cafe,60
7,-118.17774918129041,33.72910170304706,library,61
7,-118.17774918129041,33.72910170304706,community center,62
7,-118.17774918129041,33.72910170304706,city hall,63
7,-118.17774918129041,33.72910170304706,place of worship,64
7,-118.17774918129041,33.72910170304706,park,65
7,-118.17774918129041,33.72910170304706,fountain,66
7,-118.17774918129041,33.72910170304706,square,67
7,-118.17774918129041,33.72910170304706,garden,68
7,-118.17774918129041,33.72910170304706,bookstore,69
