place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____yuy2YgR6weUmpj1s5k,Emerald Square,25.855958,-80.18193389999999,Park,square,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ____C_K02YgRLqSRx7gNtsg,Marjory Stoneman Douglas Ocean Beach Park,25.7711083,-80.13203279999999,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.6,422,NA
ChIJ____gmS32YgRUX9pT252bhg,Charlie DeLucca Park (Kinloch Park),25.7765081,-80.271096,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,121,NA
ChIJ___LTTO32YgRYnvvDN9d5_g,Cafeteria Olanchana,25.8073203,-80.2480513,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.4,36,NA
ChIJ___LTTO32YgRYnvvDN9d5_g,Cafeteria Olanchana,25.8073203,-80.2480513,Social Business,cafe,restaurant; point_of_interest; food; establishment,OPERATIONAL,4.4,36,NA
ChIJ___vBuK32YgRyVIXJRMLE0Y,Coffee Resources,25.7149767,-80.26048899999999,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ__8__qC22YgRAlo-slyvS6U,CafeBIM,25.7834228,-80.1901371,Social Business,cafe,cafe; food; point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ__8__qC22YgRAlo-slyvS6U,CafeBIM,25.7834228,-80.1901371,Social Business,cafe,cafe; point_of_interest; food; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ__8_6oO22YgRlt_a2M5GgZA,MAS+ Mission,25.7640196,-80.1917783,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__TkPpa32YgRhk80Tsyyc0w,C-BA,25.7666883,-80.2201051,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_3B5C0y32YgRgcsUd8u5ryI,American community health and wellness center,25.7793396,-80.24860369999999,Community Space,community center,hospital; point_of_interest; health; establishment,OPERATIONAL,5,4,NA
ChIJ_3B5C0y32YgRgcsUd8u5ryI,American community health and wellness center,25.7793396,-80.24860369999999,Community Space,community center,hospital; health; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ_6O-MVO32YgR8F7nfnkoq_s,Airport Cafe & Liquors,25.8084739,-80.26922859999999,Social Business,cafe,restaurant; cafe; meal_takeaway; store; food; point_of_interest; establishment,OPERATIONAL,4.5,1110,NA
ChIJ_9PFadC32YgRcMXS3hesvpA,Munroe Park,25.7295761,-80.2441551,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.9,28,NA
ChIJ_ahbvuGz2YgRdCRxmiqIW7s,Greater Saint Paul African Methodist Episcopal Church,25.8225973,-80.1858807,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_deY00Ox2YgRwSIsXcMPVl4,Universal Temple of God,25.8249639,-80.2038195,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ_dQFRYq02YgR0CTQImyfWgw,WFM Coffee Bar,25.7810931,-80.1413755,Social Business,cafe,cafe; point_of_interest; store; food; establishment,OPERATIONAL,4.2,46,NA
ChIJ_fusQS242YgRurCKWsYecks,J. Fritz and Frances Gordon Park,25.7631977,-80.2867522,Park,park,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,4.6,156,NA
ChIJ_Q4AfP2w2YgRWW1aIfbhWJs,Highway Church of the Apostle,25.8442087,-80.2324797,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,11,NA
ChIJ_QewS0u32YgRRZTg55v0Y2k,Adela's Cafe,25.8083721,-80.2588284,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.5,22,NA
ChIJ_S5lUd-z2YgRwGM8c4iGWQ0,Lemon City Branch Library,25.8323295,-80.187162,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.5,43,NA
ChIJ_UcTVRa32YgRoJ37Y-766nE,Gibson Park,25.7864329,-80.2011928,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.8,8,NA
ChIJ_VdPS3C12YgRvL6XVl-Gn2Y,Knight Plaza,25.7855862,-80.1870222,Park,park,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_w5pffG02YgRUoiRRo1FZ58,Pura Vida South of Fifth,25.770274,-80.1353594,Social Business,cafe,cafe; meal_takeaway; restaurant; point_of_interest; store; food; establishment,OPERATIONAL,4.4,1616,NA
ChIJ_WAJZ3qx2YgRWMwjrudbg64,Fountainhead Studios,25.842743,-80.19753,Park,fountain,point_of_interest; establishment,OPERATIONAL,5,11,NA
ChIJ_WhCqTK42YgRH-vW1wXuaJw,Luis Galindo Latin America Restaurant,25.7629194,-80.28812649999999,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.3,1881,NA
ChIJ_yFjvkK32YgR2a4RzTMYGw0,Cafe Vidita,25.727997,-80.2413093,Social Business,cafe,cafe; food; store; point_of_interest; establishment,OPERATIONAL,4.9,28,NA
ChIJ_yFjvkK32YgR2a4RzTMYGw0,Cafe Vidita,25.727997,-80.2413093,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.9,28,NA
ChIJ_YJ06TS42YgRhV8DDYdfqmo,West Miami Community Center,25.7622711,-80.2954068,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.6,33,NA
ChIJ_YJ06TS42YgRZam4aQ0XRVE,West Miami City Hall,25.7624182,-80.29545329999999,Community Space,city hall,city_hall; local_government_office; point_of_interest; establishment,OPERATIONAL,3.6,62,NA
ChIJ_zEDmOm22YgR9-fYhEXUifA,Palace Cafe & Dairy,25.7799784,-80.21670089999999,Social Business,cafe,food; point_of_interest; store; establishment,OPERATIONAL,4.5,199,NA
ChIJ-_S94pm32YgRQxhtGbW-Les,Altamira Libros,25.758098,-80.199084,Social Business,bookstore,book_store; point_of_interest; store; establishment,CLOSED_TEMPORARILY,4.9,139,TRUE
ChIJ-_S94pm32YgRQxhtGbW-Les,Altamira Libros,25.758098,-80.199084,Social Business,bookstore,book_store; store; point_of_interest; establishment,CLOSED_TEMPORARILY,4.9,139,TRUE
ChIJ-_xP5j6x2YgRawUp72mTBSg,True vine worship center,25.8244962,-80.2131771,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,3,NA
ChIJ--RbNpK02YgRuBwrQraWUZQ,Lummus Park,25.7809553,-80.12994789999999,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.6,18743,NA
ChIJ--VYIFSx2YgRi5NCmEc0y3g,Angelina's,25.8096248,-80.1923042,Social Business,cafe,meal_takeaway; cafe; restaurant; food; point_of_interest; establishment,CLOSED_TEMPORARILY,4.1,358,TRUE
ChIJ-0XxJXO52YgRN68yMhdk4G4,Cafe Versailles,25.7973015,-80.2748194,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,2.9,22,NA
ChIJ-2ygZFax2YgRphJ802SSs5Y,New Life Home Mission,25.810367,-80.189944,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-9vjrCCx2YgRuCqlH_ZkIuA,Model City Branch Library,25.8244007,-80.2336,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.7,35,NA
ChIJ-cHH7Oq12YgRaKGp6cxeEPU,Beautiful sunset,25.7930956,-80.1450126,Park,garden,park; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ-RcsCQK02YgRLpuF2ph3oR0,Corp Cafe Cyrus,25.7967363,-80.18809519999999,Social Business,cafe,restaurant; point_of_interest; food; establishment,OPERATIONAL,0,0,NA
ChIJ-Rgezt6z2YgRXrHcf8pLl2o,Europa Coffee house,25.832451,-80.1836196,Social Business,cafe,cafe; car_wash; store; restaurant; point_of_interest; food; establishment,OPERATIONAL,4.5,246,NA
ChIJ-Rgezt6z2YgRXrHcf8pLl2o,Europa Coffee house,25.832451,-80.1836196,Social Business,cafe,cafe; car_wash; restaurant; food; store; point_of_interest; establishment,OPERATIONAL,4.5,246,NA
ChIJ-Uws2Ju22YgRcPRuzZIzr0s,Dade County Law Library,25.774602,-80.195146,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,3.6,14,NA
ChIJ-VNnc5e32YgReHqfbKL_9S0,Sacha's Cafe,25.7483525,-80.2581225,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,CLOSED_TEMPORARILY,4.4,55,TRUE
ChIJ-VNnc5e32YgReHqfbKL_9S0,Sacha's Cafe,25.7483525,-80.2581225,Social Business,cafe,cafe; restaurant; store; food; point_of_interest; establishment,CLOSED_TEMPORARILY,4.4,55,TRUE
ChIJ-Wg3q--22YgRNkwo7DnQi3s,Cafeteria Caribe II Corporation,25.7730952,-80.2181306,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.2,450,NA
ChIJ-xd9LZ222YgRDSzpRRoRNFA,Café Icon,25.7686822,-80.1896069,Social Business,cafe,cafe; food; point_of_interest; establishment,CLOSED_TEMPORARILY,1,1,TRUE
ChIJ-XFhnNi12YgRv2Szkyi_nq0,Community Garden,25.7716059,-80.133965,Park,garden,park; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-xw0Ic-32YgRoX6Cii_f6aY,Water Fountain,25.7692549,-80.1896063,Park,fountain,point_of_interest; establishment,OPERATIONAL,0,0,NA
