cell,x,y,term,id
1,-80.25610092405036,25.717278520190025,library,1
1,-80.25610092405036,25.717278520190025,community center,2
1,-80.25610092405036,25.717278520190025,city hall,3
1,-80.25610092405036,25.717278520190025,place of worship,4
1,-80.25610092405036,25.717278520190025,park,5
1,-80.25610092405036,25.717278520190025,fountain,6
1,-80.25610092405036,25.717278520190025,square,7
1,-80.25610092405036,25.717278520190025,garden,8
1,-80.25610092405036,25.717278520190025,bookstore,9
1,-80.25610092405036,25.717278520190025,cafe,10
2,-80.23594982678347,25.714365741152612,library,11
2,-80.23594982678347,25.714365741152612,community center,12
2,-80.23594982678347,25.714365741152612,city hall,13
2,-80.23594982678347,25.714365741152612,place of worship,14
2,-80.23594982678347,25.714365741152612,park,15
2,-80.23594982678347,25.714365741152612,fountain,16
2,-80.23594982678347,25.714365741152612,square,17
2,-80.23594982678347,25.714365741152612,garden,18
2,-80.23594982678347,25.714365741152612,bookstore,19
2,-80.23594982678347,25.714365741152612,cafe,20
3,-80.21580016252867,25.71144923066361,library,21
3,-80.21580016252867,25.71144923066361,community center,22
3,-80.21580016252867,25.71144923066361,city hall,23
3,-80.21580016252867,25.71144923066361,place of worship,24
3,-80.21580016252867,25.71144923066361,park,25
3,-80.21580016252867,25.71144923066361,fountain,26
3,-80.21580016252867,25.71144923066361,square,27
3,-80.21580016252867,25.71144923066361,garden,28
3,-80.21580016252867,25.71144923066361,bookstore,29
3,-80.21580016252867,25.71144923066361,cafe,30
4,-80.1956519379252,25.708528995135453,library,31
4,-80.1956519379252,25.708528995135453,community center,32
4,-80.1956519379252,25.708528995135453,city hall,33
4,-80.1956519379252,25.708528995135453,place of worship,34
4,-80.1956519379252,25.708528995135453,park,35
4,-80.1956519379252,25.708528995135453,fountain,36
4,-80.1956519379252,25.708528995135453,square,37
4,-80.1956519379252,25.708528995135453,garden,38
4,-80.1956519379252,25.708528995135453,bookstore,39
4,-80.1956519379252,25.708528995135453,cafe,40
5,-80.25272226814081,25.734643527876,library,41
5,-80.25272226814081,25.734643527876,community center,42
5,-80.25272226814081,25.734643527876,city hall,43
5,-80.25272226814081,25.734643527876,place of worship,44
5,-80.25272226814081,25.734643527876,park,45
5,-80.25272226814081,25.734643527876,fountain,46
5,-80.25272226814081,25.734643527876,square,47
5,-80.25272226814081,25.734643527876,garden,48
5,-80.25272226814081,25.734643527876,bookstore,49
5,-80.25272226814081,25.734643527876,cafe,50
6,-80.23256700388761,25.731730329505822,library,51
6,-80.23256700388761,25.731730329505822,community center,52
6,-80.23256700388761,25.731730329505822,city hall,53
6,-80.23256700388761,25.731730329505822,place of worship,54
6,-80.23256700388761,25.731730329505822,park,55
6,-80.23256700388761,25.731730329505822,fountain,56
6,-80.23256700388761,25.731730329505822,square,57
6,-80.23256700388761,25.731730329505822,garden,58
6,-80.23256700388761,25.731730329505822,bookstore,59
6,-80.23256700388761,25.731730329505822,cafe,60
7,-80.212413176168,25.728813402492246,library,61
7,-80.212413176168,25.728813402492246,community center,62
7,-80.212413176168,25.728813402492246,city hall,63
7,-80.212413176168,25.728813402492246,place of worship,64
7,-80.212413176168,25.728813402492246,park,65
7,-80.212413176168,25.728813402492246,fountain,66
7,-80.212413176168,25.728813402492246,square,67
7,-80.212413176168,25.728813402492246,garden,68
7,-80.212413176168,25.728813402492246,bookstore,69
7,-80.212413176168,25.728813402492246,cafe,70
8,-80.1922607890094,25.725892749972175,library,71
8,-80.1922607890094,25.725892749972175,community center,72
8,-80.1922607890094,25.725892749972175,city hall,73
8,-80.1922607890094,25.725892749972175,place of worship,74
8,-80.1922607890094,25.725892749972175,park,75
8,-80.1922607890094,25.725892749972175,fountain,76
8,-80.1922607890094,25.725892749972175,square,77
8,-80.1922607890094,25.725892749972175,garden,78
8,-80.1922607890094,25.725892749972175,bookstore,79
8,-80.1922607890094,25.725892749972175,cafe,80
9,-80.17210984407899,25.72296837220672,library,81
9,-80.17210984407899,25.72296837220672,community center,82
9,-80.17210984407899,25.72296837220672,city hall,83
9,-80.17210984407899,25.72296837220672,place of worship,84
9,-80.17210984407899,25.72296837220672,park,85
9,-80.17210984407899,25.72296837220672,fountain,86
9,-80.17210984407899,25.72296837220672,square,87
9,-80.17210984407899,25.72296837220672,garden,88
9,-80.17210984407899,25.72296837220672,bookstore,89
9,-80.17210984407899,25.72296837220672,cafe,90
10,-80.30982904824619,25.760725648906583,library,91
10,-80.30982904824619,25.760725648906583,community center,92
10,-80.30982904824619,25.760725648906583,city hall,93
10,-80.30982904824619,25.760725648906583,place of worship,94
10,-80.30982904824619,25.760725648906583,park,95
10,-80.30982904824619,25.760725648906583,fountain,96
10,-80.30982904824619,25.760725648906583,square,97
10,-80.30982904824619,25.760725648906583,garden,98
10,-80.30982904824619,25.760725648906583,bookstore,99
10,-80.30982904824619,25.760725648906583,cafe,100
11,-80.28966532295472,25.75782323417062,library,101
11,-80.28966532295472,25.75782323417062,community center,102
11,-80.28966532295472,25.75782323417062,city hall,103
11,-80.28966532295472,25.75782323417062,place of worship,104
11,-80.28966532295472,25.75782323417062,park,105
11,-80.28966532295472,25.75782323417062,fountain,106
11,-80.28966532295472,25.75782323417062,square,107
11,-80.28966532295472,25.75782323417062,garden,108
11,-80.28966532295472,25.75782323417062,bookstore,109
11,-80.28966532295472,25.75782323417062,cafe,110
12,-80.26950303206927,25.754917091873097,library,111
12,-80.26950303206927,25.754917091873097,community center,112
12,-80.26950303206927,25.754917091873097,city hall,113
12,-80.26950303206927,25.754917091873097,place of worship,114
12,-80.26950303206927,25.754917091873097,park,115
12,-80.26950303206927,25.754917091873097,fountain,116
12,-80.26950303206927,25.754917091873097,square,117
12,-80.26950303206927,25.754917091873097,garden,118
12,-80.26950303206927,25.754917091873097,bookstore,119
12,-80.26950303206927,25.754917091873097,cafe,120
13,-80.24934217666568,25.752007221544165,library,121
13,-80.24934217666568,25.752007221544165,community center,122
13,-80.24934217666568,25.752007221544165,city hall,123
13,-80.24934217666568,25.752007221544165,place of worship,124
13,-80.24934217666568,25.752007221544165,park,125
13,-80.24934217666568,25.752007221544165,fountain,126
13,-80.24934217666568,25.752007221544165,square,127
13,-80.24934217666568,25.752007221544165,garden,128
13,-80.24934217666568,25.752007221544165,bookstore,129
13,-80.24934217666568,25.752007221544165,cafe,130
14,-80.22918274211881,25.749093603167427,library,131
14,-80.22918274211881,25.749093603167427,community center,132
14,-80.22918274211881,25.749093603167427,city hall,133
14,-80.22918274211881,25.749093603167427,place of worship,134
14,-80.22918274211881,25.749093603167427,park,135
14,-80.22918274211881,25.749093603167427,fountain,136
14,-80.22918274211881,25.749093603167427,square,137
14,-80.22918274211881,25.749093603167427,garden,138
14,-80.22918274211881,25.749093603167427,bookstore,139
14,-80.22918274211881,25.749093603167427,cafe,140
15,-80.2090247492666,25.746176259275657,library,141
