place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ__-_UcUm9ocR43aXUoaM6QU,The Holy Church of God,44.9045297,-93.3282689,Place of Worship,place of worship,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-PJcEys1IRC8Rz_guxORc,Guthrie Square,44.9675994,-93.2833071,Park,square,point_of_interest; establishment,OPERATIONAL,3,2,NA
ChIJ__-vRiHV94cRaTE0fFw3-1o,The West Side Church,44.9249783,-93.08181809999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ__8_78cys1IRzqTKtKlYmeA,Courage & Renewal for Faith Formation Leaders,44.9628766,-93.2804893,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8_UgExs1IRGBHs-jPW4ws,OMEGA FIRE MINISTRIES Minnesota,45.0595972,-93.31549389999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,4,NA
ChIJ__8_v-4q9ocR4-2pvwF3eZk,West 7th Community Center,44.9329884,-93.1237888,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.3,105,NA
ChIJ__q7aAgr9ocRNDpbaQu6Aiw,Beth Chesed Sabbath Fellowship,44.9181293,-93.1692171,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__RSSX8q9ocRuYhIZmceMr4,Chat,44.9560068,-93.1424868,Community Space,community center,point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ_2gI0jMts1IRird8mg9W2jY,Matthews Park,44.958293,-93.231444,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.5,250,NA
ChIJ_30bYNEn9ocRjGYjTXrCs_Y,Topiary Garden Works,44.920837,-93.264697,Park,garden,general_contractor; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_4onGLgss1IRwrDvJj4dpCg,Roundtable Coffee Works,44.9654854,-93.19783849999999,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.9,111,NA
ChIJ_4onGLgss1IRwrDvJj4dpCg,Roundtable Coffee Works,44.9654854,-93.19783849999999,Social Business,cafe,cafe; store; point_of_interest; food; establishment,OPERATIONAL,4.9,111,NA
ChIJ_6hWoAAq9ocRG72rEJZPYuE,Dickerman Park,44.955948,-93.1743702,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,3.4,14,NA
ChIJ_81lPn8n9ocR2biA8eJpzKw,Caribou Coffee,44.9485335,-93.30025540000001,Social Business,cafe,cafe; store; restaurant; point_of_interest; food; establishment,OPERATIONAL,4.4,163,NA
ChIJ_81lPn8n9ocR2biA8eJpzKw,Caribou Coffee,44.9485335,-93.30025540000001,Social Business,cafe,cafe; store; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.4,163,NA
ChIJ_8jO3Vwts1IRzWI8BbIv3ik,Currie Park,44.9701564,-93.2514071,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,3.9,79,NA
ChIJ_aCz1wEus1IRp-ZCB21ru9U,Hi-View Park,45.0309561,-93.2670249,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,123,NA
ChIJ_cACuiAvs1IRm74PoW8p36U,Oromo Evangelical Church of Minnesota,45.0432024,-93.25584529999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
