place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ____P1ZmZIgRks2X0b17AVI,Pray Ministries,36.1523805,-86.7893889,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ____P1ZmZIgRMmNCLrFThZI,Baha'ls of Brentwood,36.0331164,-86.78277720000001,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8_6TtnZIgRstyUmjq7TAo,Looby Park and Community Center,36.1928809,-86.80798899999999,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.5,53,NA
ChIJ__8vLXZhZIgRom90tLWoPPo,Zeal Church,36.1490907,-86.8619301,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,19,NA
ChIJ_0-pQnyIZIgR3FzRSiYK0R8,Harpeth Valley Park,36.05719089999999,-86.9386238,Park,park,neighborhood; political,NA,NA,NA,NA
ChIJ_48RtTVlZIgRJf0QBJcnim8,Fair Park Dog Park,36.1261124,-86.7655838,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.7,308,NA
ChIJ_5D70f1tZIgR8rHkvh2P0R8,Centro Cristiano El Faro De Lc,36.04904399999999,-86.658931,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_5EpS7ZnZIgRmKb75zhjTas,Noble Park,36.153405,-86.78424629999999,Park,park,tourist_attraction; point_of_interest; establishment,OPERATIONAL,5,8,NA
ChIJ_5sJADJkZIgRNrZInt_r2nk,Second Missionary Baptist Church,36.1224898,-86.7866635,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,10,NA
ChIJ_6kdsWZpZIgRGSeh0MVa8Wc,Lakewood Baptist Church,36.1562137,-86.66619709999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,13,NA
ChIJ_6WKzbltZIgRNTaaH6V6B4A,Wendy's,36.0743628,-86.6380823,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.5,993,NA
ChIJ_7vxtW9vZIgROU5CK2tOU74,Pentecostal Church of All Nations,36.0959532,-86.6785436,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,3,NA
ChIJ_8RB6HlDZIgRATztR2YZ7Y8,Rivergate Church of Christ,36.2948019,-86.7056231,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,17,NA
ChIJ_92k3Y-JZIgRbw4gwHQF6Ow,Centenary Methodist Church,36.126705,-86.931004,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4,1,NA
ChIJ_9gH7e5lZIgRq9wuKsoMCYg,Waterstone Construction,36.117715,-86.7550375,Park,fountain,general_contractor; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_bCosJ9pZIgROC2LYRHUaeE,The Nashville Jam Co.,36.1155458,-86.7648093,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.3,570,NA
ChIJ_bTZG25dZIgR1vbr420yvtA,Parkwood Park,36.234935,-86.77148799999999,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.3,77,NA
ChIJ_eEQM-FjZIgRqDrzF8-4jQ4,Vine Street Christian Church,36.1294444,-86.8391667,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,10,NA
ChIJ_eTuOvFmZIgRbJLttTlbd1U,Unique Flavors Café,36.0752373,-86.75980369999999,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.4,75,NA
ChIJ_Qb9IiZ_ZIgRtQrTsjT1kB0,Stitcher's Garden,36.0340841,-86.78507119999999,Park,garden,home_goods_store; point_of_interest; store; establishment,OPERATIONAL,3.7,103,NA
ChIJ_RlrIvRlZIgRZuFJmLd6WBQ,Patterson Memorial Untd Methodist,36.1156229,-86.7453969,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ_T3O0llmZIgRsVrxxIxP9Gk,Café Le Crumbs,36.1634018,-86.77835840000002,Social Business,cafe,cafe; restaurant; food; point_of_interest; establishment,CLOSED_TEMPORARILY,4.6,34,TRUE
ChIJ_TqtbfZvZIgRR7qRUb3bAj0,8th & Roast,36.1294785,-86.6701854,Social Business,cafe,cafe; food; point_of_interest; store; establishment,CLOSED_TEMPORARILY,1.7,12,TRUE
ChIJ_TUwWcQiZIgRpuNfDDgdSmU,True Word Christian Center,36.2168566,-86.5843411,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ_wQxAZdmZIgRIkfru9Islwc,Starbucks,36.146949,-86.799182,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.3,712,NA
ChIJ_XT9gZlBZIgRwbycYu0nSNc,Garden & Mercantile,36.2484098,-86.64220790000002,Park,garden,point_of_interest; store; establishment,OPERATIONAL,5,4,NA
ChIJ_XtTx6JgZIgRs8QkwyckRGo,Gospel United Missionary Church,36.2115226,-86.8407356,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.4,18,NA
ChIJ_xwkJrhtZIgRjUV6qkn2PFU,Iglesia Casa De Dios Y Prtlcl,36.074592,-86.639532,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
