place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____16vIIYRxBaxq6EWu1I,Mid-City Library,29.9748899,-90.10186879999999,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,3.9,30,NA
ChIJ___PpYUdnogRt8vs6nJxwio,Woodland Youth,29.9181896,-89.99331459999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__9bWrGpIIYRWBH1dGzCYWg,Church Of God In Christ United,30.0266055,-90.02395709999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ__9j8OyvIIYR_aCuX5WtCR8,Parlons Cafe,29.98919059999999,-90.1326641,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3,2,NA
ChIJ__J7WgioIIYR5yQpgwO1yq8,Oliver Bush Playground,29.9764264,-90.0110534,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,64,NA
ChIJ_33cZB6lIIYRLkr6QwtCA8A,Audubon Park,29.9255966,-90.1286501,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.7,6626,NA
ChIJ_33cZB6lIIYRLkr6QwtCA8A,Audubon Park,29.9255966,-90.1286501,Park,fountain,park; point_of_interest; establishment,OPERATIONAL,4.7,6626,NA
ChIJ_3Qk5CKnIIYRbr-CNcmEhso,Towne Square Shopping Center,29.9028907,-90.0299263,Park,square,shopping_mall; point_of_interest; establishment,OPERATIONAL,4.1,457,NA
ChIJ_3YR7BumIIYRjNZC2jt3M1E,New Orleans Triumph Baptist Church,29.9589979,-90.0174646,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.6,16,NA
ChIJ_59qQk2kIIYR6230hrISEGQ,Watson Memorial Teaching Ministries,29.9262094,-90.1023932,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.3,17,NA
