place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____-B-hYARkH8qFkVlQZA,Marian Koshland Bioscience & Natural Resources Library,37.87141159999999,-122.2621114,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ__-_ciV8hYARxgPm1ycRiEQ,Jean Gray Hargrove Music Library,37.8704442,-122.2561865,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.5,10,NA
ChIJ__-_HfN-hYARDfJkROsybIw,Sustainable Berkeley,37.8568896,-122.2898814,Community Space,community center,point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ__-_yZaPj4ARErYlKnvrRVE,The Fellowship Of Affirming Ministries,37.7247838,-122.1571309,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__87oLGAj4ARE65D2i_WWj4,Oakland City Hall,37.8053204,-122.2725444,Community Space,city hall,city_hall; local_government_office; point_of_interest; establishment,OPERATIONAL,4.1,29,NA
ChIJ__9jvY6Pj4ARLRic1hUg7JQ,Delight in the Word Bible Fellowship Inc,37.7209866,-122.1674964,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_-pWxayAj4ARh4qLGoszSn0,Red Bay Coffee Box,37.8126899,-122.2663677,Social Business,cafe,cafe; store; food; point_of_interest; establishment,OPERATIONAL,4.6,82,NA
ChIJ_-pWxayAj4ARh4qLGoszSn0,Red Bay Coffee Box,37.8126899,-122.2663677,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.6,82,NA
ChIJ_-ZHeKV_hYARg8rY_V_kBW0,Mellana Cafe,37.834217,-122.267607,Social Business,cafe,cafe; store; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.9,67,NA
ChIJ_0qJEYWHj4ARkdiTWtgeSWQ,Paddington Cafe,37.8282702,-122.2104452,Social Business,cafe,cafe; store; food; point_of_interest; establishment,OPERATIONAL,4.5,36,NA
ChIJ_1biw7mFj4ARgry4eL6ECGo,Martin Luther King Jr. Regional Shoreline,37.7305265,-122.2075914,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.5,1106,NA
ChIJ_2K_soB-hYARHmgdRdpFdyo,Berkeley Public Library - Tarea Hall Pittman South Branch,37.856408,-122.2710368,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.8,32,NA
ChIJ_3ncZUGHj4AReIa0h81N6bk,CAÑA Cuban Parlor & Cafe,37.810391,-122.246565,Social Business,cafe,cafe; bar; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.2,421,NA
ChIJ_4bVYuuHj4AR36h1YJSnlro,Peralta Park,37.797231,-122.2601162,Park,park,park; point_of_interest; establishment,OPERATIONAL,1,1,NA
ChIJ_4otFEGPj4ARMp_wlPcE8Vw,It's A Grind Oakland,37.7711738,-122.1914038,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.6,357,NA
ChIJ_4u9VESHj4ARpQEYn3oAbc8,book library,37.8120169,-122.2114559,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_5wULsV_hYAR5dRWdsv6rfU,Cafe Buenos Aires,37.8397169,-122.2889474,Social Business,cafe,cafe; meal_delivery; meal_takeaway; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,5,14,NA
ChIJ_5wULsV_hYAR5dRWdsv6rfU,Cafe Buenos Aires,37.8397169,-122.2889474,Social Business,cafe,cafe; meal_delivery; meal_takeaway; store; restaurant; food; point_of_interest; establishment,OPERATIONAL,5,14,NA
ChIJ_6JaFLR9hYARUcNoe6qJk3k,Garber Park,37.8621779,-122.2363179,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.5,56,NA
ChIJ_7lgnKCAj4AR2pucNo_M7zs,Friendship Christian Center,37.8132305,-122.2846286,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,17,NA
ChIJ_7s_NtuAj4ARRoYpNRwXX2g,Starbucks,37.785514,-122.280602,Social Business,cafe,cafe; store; point_of_interest; food; establishment,OPERATIONAL,3.8,66,NA
ChIJ_8eDH2mPj4ARO97TsnX1Wc0,Simpson Temple Church-God In,37.7524451,-122.1603671,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ_8UckryAj4ARonFM8R0FKKk,GROW Incubator,37.8025285,-122.2834765,Community Space,community center,point_of_interest; establishment,CLOSED_TEMPORARILY,4,5,TRUE
ChIJ_96T-K6Hj4ARWF316g560Zc,McKinley Park,37.7706741,-122.2443342,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.2,49,NA
ChIJ_af28sJ9hYARZpA_9MjZMi4,Bernard M Rosenthal Inc,37.8436925,-122.2518899,Social Business,bookstore,book_store; point_of_interest; store; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ_dvqqAV-hYAR4g4QX-GLd5A,Upper Room Church-God-Christ,37.8243658,-122.2735795,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ_eCHXeGFj4ARzDUojZxy-wY,Emmanuel Church of God in Christ,37.7618351,-122.1921823,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_fgiWwKHj4ARoIo1P0oVCYI,Manzanita Recreation Center,37.794261,-122.227912,Community Space,community center,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,68,NA
ChIJ_fgiWwKHj4ARoIo1P0oVCYI,Manzanita Recreation Center,37.794261,-122.227912,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,68,NA
ChIJ_QcUrnt-hYARnMwcHCIodYo,Urban Grace,37.8482468,-122.273344,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_RD9TEGHj4AROahtxHHzAWU,Eastshore Park,37.809542,-122.2481954,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.4,243,NA
ChIJ_RtOt-J9hYARrro9RaXE7DY,Cafe Eritrea D'Afrique,37.829784600000004,-122.26445820000001,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.6,273,NA
ChIJ_SY2Tjp9hYARhJEc2ySExGA,Agape Bay Area,37.82017829999999,-122.2441086,Place of Worship,place of worship,place_of_worship; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ_VesygSPj4ARzyPnBCullXY,Knowland Park,37.7559541,-122.1316042,Park,park,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,4.7,949,NA
ChIJ_wXVHbSAj4ARs-dA_rsZPco,"Studio T-SQ, Inc.",37.808663,-122.2680694,Park,square,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_WZbV7aAj4ARlLH9uJAFUfs,Holy Ground Church,37.8001459,-122.2732146,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_yRuRNqGj4ARw-QWdlmcyUw,Mosley's Cafe,37.7788513,-122.252226,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.6,165,NA
ChIJ-_gLg_N-hYARsQmkVFJ8cKQ,Gardensia,37.8546933,-122.2915722,Park,garden,furniture_store; park; home_goods_store; store; point_of_interest; establishment,OPERATIONAL,5,7,NA
ChIJ-_v7YNt-hYARq99IQn5vrzg,Books Inc.,37.8803869,-122.2690449,Social Business,bookstore,book_store; store; point_of_interest; establishment,OPERATIONAL,4.7,152,NA
ChIJ--ihH31-hYARmvC_NIS2GfY,Prince Street Mini-Park,37.8521253,-122.275228,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.2,34,NA
ChIJ-02dTA6Hj4ARQq11vu1PmbQ,East Bay Alliance Church,37.804204,-122.229457,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,13,NA
ChIJ-2_foi-Gj4ARxlj2FrhHukA,Redwood Rd & Mountain Blvd (Lincoln Square),37.79789239999999,-122.1837505,Park,square,transit_station; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-3HgCFqHj4ARDuw_gTBiZUw,Little Free Library on the Montclair Railroad Trail,37.8318441,-122.1952911,Community Space,library,library; point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ-5p8XpOGj4ARWHXp3IlE9B0,Square Organics,37.7825696,-122.2403367,Park,square,food; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ-6C2-hN-hYAR2ML9F09H8hg,Starbucks,37.8288673,-122.2823913,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,3.5,288,NA
ChIJ-6fD-jN_hYARQpl1VI3-Otk,Reunion Church,37.8299174,-122.2679808,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-7mxkjGFj4ARRsiCMH2Gwns,Yemeni American Youth Center,37.7389556,-122.2034739,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-8C38xV_hYARijYl96DUEu8,Portal Community Center,37.853575,-122.2689315,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-bzSxpCHj4ARF-Cq8LZiXsw,Village Square Shopping Center Parking,37.8234839,-122.2074166,Park,square,shopping_mall; point_of_interest; establishment,OPERATIONAL,4.1,45,NA
ChIJ-dGHPl2Hj4ARJh0ljOIL3oU,IGLESIA,37.7751503,-122.211497,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-eaahauHj4ARY3iAxiq2eQk,Petit Cafe,37.8189092,-122.2648049,Social Business,cafe,cafe; bar; food; point_of_interest; store; establishment,OPERATIONAL,4.6,71,NA
ChIJ-fyuBfiFj4ARzCw1apFWTh4,Arroyo Viejo Recreation Center,37.7617365,-122.1757183,Community Space,community center,park; point_of_interest; establishment,OPERATIONAL,3.9,158,NA
ChIJ-fyuBfiFj4ARzCw1apFWTh4,Arroyo Viejo Recreation Center,37.7617365,-122.1757183,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.9,158,NA
ChIJ-Qx3nACGj4AReHhcONNpr3A,Fong's Cafe,37.7698074,-122.1782754,Social Business,cafe,cafe; restaurant; food; point_of_interest; establishment,CLOSED_TEMPORARILY,4.3,317,TRUE
ChIJ-Qx3nACGj4AReHhcONNpr3A,Fong's Cafe,37.7698074,-122.1782754,Social Business,cafe,cafe; restaurant; point_of_interest; food; establishment,CLOSED_TEMPORARILY,4.3,317,TRUE
ChIJ-RSPFll-hYAR8dI8CM6T7dI,Espresso Roma,37.8469815,-122.2911639,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ-VVu26OAj4AR0lqReKQvygA,Lowell Park,37.80843309999999,-122.2845643,Park,park,park; point_of_interest; establishment,OPERATIONAL,4,207,NA
ChIJ-XYSzYaFj4ARY-SkrBGqR5A,Prince of Peace Missionary Church,37.7362955,-122.1783374,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4,2,NA
ChIJ-z6DEqKIj4ARnMs2ga18Y0s,Merritt College Bookstore,37.7889957,-122.1672432,Social Business,bookstore,book_store; clothing_store; point_of_interest; store; establishment,OPERATIONAL,4.1,61,NA
ChIJ-zXYu_B_hYARfZUk4VhCrn4,Heritage Square,37.8421116,-122.2902554,Park,square,point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ04cf1ESFj4ARBXuzdrwPJRA,Starbucks,37.735942,-122.2391098,Social Business,cafe,cafe; store; food; point_of_interest; establishment,OPERATIONAL,4.2,55,NA
ChIJ0acevi58hYARWbsFtrpCPHI,Romeo's Coffee,37.8653361,-122.2583532,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.3,228,NA
ChIJ0acevi58hYARWbsFtrpCPHI,Romeo's Coffee,37.8653361,-122.2583532,Social Business,cafe,cafe; point_of_interest; food; establishment,OPERATIONAL,4.3,228,NA
ChIJ0ao6KAZ-hYARUl88c7AQchI,Christian Bible Way Church,37.8277806,-122.2687672,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.5,2,NA
