cell,x,y,term,id
1,-122.23871667991742,37.70252209834093,library,1
1,-122.23871667991742,37.70252209834093,community center,2
1,-122.23871667991742,37.70252209834093,city hall,3
1,-122.23871667991742,37.70252209834093,place of worship,4
1,-122.23871667991742,37.70252209834093,park,5
1,-122.23871667991742,37.70252209834093,fountain,6
1,-122.23871667991742,37.70252209834093,square,7
1,-122.23871667991742,37.70252209834093,garden,8
1,-122.23871667991742,37.70252209834093,bookstore,9
1,-122.23871667991742,37.70252209834093,cafe,10
2,-122.21560102007595,37.70716764579188,library,11
2,-122.21560102007595,37.70716764579188,community center,12
2,-122.21560102007595,37.70716764579188,city hall,13
2,-122.21560102007595,37.70716764579188,place of worship,14
2,-122.21560102007595,37.70716764579188,park,15
2,-122.21560102007595,37.70716764579188,fountain,16
2,-122.21560102007595,37.70716764579188,square,17
2,-122.21560102007595,37.70716764579188,garden,18
2,-122.21560102007595,37.70716764579188,bookstore,19
2,-122.21560102007595,37.70716764579188,cafe,20
3,-122.19248216038059,37.71180916810552,library,21
3,-122.19248216038059,37.71180916810552,community center,22
3,-122.19248216038059,37.71180916810552,city hall,23
3,-122.19248216038059,37.71180916810552,place of worship,24
3,-122.19248216038059,37.71180916810552,park,25
3,-122.19248216038059,37.71180916810552,fountain,26
3,-122.19248216038059,37.71180916810552,square,27
3,-122.19248216038059,37.71180916810552,garden,28
3,-122.19248216038059,37.71180916810552,bookstore,29
3,-122.19248216038059,37.71180916810552,cafe,30
4,-122.14623484977437,37.721080134469965,library,31
4,-122.14623484977437,37.721080134469965,community center,32
4,-122.14623484977437,37.721080134469965,city hall,33
4,-122.14623484977437,37.721080134469965,place of worship,34
4,-122.14623484977437,37.721080134469965,park,35
4,-122.14623484977437,37.721080134469965,fountain,36
4,-122.14623484977437,37.721080134469965,square,37
4,-122.14623484977437,37.721080134469965,garden,38
4,-122.14623484977437,37.721080134469965,bookstore,39
4,-122.14623484977437,37.721080134469965,cafe,40
5,-122.1231064030419,37.725709577096026,library,41
5,-122.1231064030419,37.725709577096026,community center,42
5,-122.1231064030419,37.725709577096026,city hall,43
5,-122.1231064030419,37.725709577096026,place of worship,44
5,-122.1231064030419,37.725709577096026,park,45
5,-122.1231064030419,37.725709577096026,fountain,46
5,-122.1231064030419,37.725709577096026,square,47
5,-122.1231064030419,37.725709577096026,garden,48
5,-122.1231064030419,37.725709577096026,bookstore,49
5,-122.1231064030419,37.725709577096026,cafe,50
6,-122.24528440733825,37.71888204550034,library,51
6,-122.24528440733825,37.71888204550034,community center,52
6,-122.24528440733825,37.71888204550034,city hall,53
6,-122.24528440733825,37.71888204550034,place of worship,54
6,-122.24528440733825,37.71888204550034,park,55
6,-122.24528440733825,37.71888204550034,fountain,56
6,-122.24528440733825,37.71888204550034,square,57
6,-122.24528440733825,37.71888204550034,garden,58
6,-122.24528440733825,37.71888204550034,bookstore,59
6,-122.24528440733825,37.71888204550034,cafe,60
7,-122.22216356438369,37.723528601551656,library,61
7,-122.22216356438369,37.723528601551656,community center,62
7,-122.22216356438369,37.723528601551656,city hall,63
7,-122.22216356438369,37.723528601551656,place of worship,64
7,-122.22216356438369,37.723528601551656,park,65
7,-122.22216356438369,37.723528601551656,fountain,66
7,-122.22216356438369,37.723528601551656,square,67
7,-122.22216356438369,37.723528601551656,garden,68
7,-122.22216356438369,37.723528601551656,bookstore,69
7,-122.22216356438369,37.723528601551656,cafe,70
8,-122.19903951929611,37.72817113182486,library,71
8,-122.19903951929611,37.72817113182486,community center,72
8,-122.19903951929611,37.72817113182486,city hall,73
8,-122.19903951929611,37.72817113182486,place of worship,74
8,-122.19903951929611,37.72817113182486,park,75
8,-122.19903951929611,37.72817113182486,fountain,76
8,-122.19903951929611,37.72817113182486,square,77
8,-122.19903951929611,37.72817113182486,garden,78
8,-122.19903951929611,37.72817113182486,bookstore,79
8,-122.19903951929611,37.72817113182486,cafe,80
9,-122.17591227416261,37.73280963560653,library,81
9,-122.17591227416261,37.73280963560653,community center,82
9,-122.17591227416261,37.73280963560653,city hall,83
9,-122.17591227416261,37.73280963560653,place of worship,84
9,-122.17591227416261,37.73280963560653,park,85
9,-122.17591227416261,37.73280963560653,fountain,86
9,-122.17591227416261,37.73280963560653,square,87
9,-122.17591227416261,37.73280963560653,garden,88
9,-122.17591227416261,37.73280963560653,bookstore,89
9,-122.17591227416261,37.73280963560653,cafe,90
10,-122.15278183107239,37.737444112183276,library,91
10,-122.15278183107239,37.737444112183276,community center,92
10,-122.15278183107239,37.737444112183276,city hall,93
10,-122.15278183107239,37.737444112183276,place of worship,94
10,-122.15278183107239,37.737444112183276,park,95
10,-122.15278183107239,37.737444112183276,fountain,96
10,-122.15278183107239,37.737444112183276,square,97
10,-122.15278183107239,37.737444112183276,garden,98
10,-122.15278183107239,37.737444112183276,bookstore,99
10,-122.15278183107239,37.737444112183276,cafe,100
11,-122.12964819211672,37.74207456084229,library,101
11,-122.12964819211672,37.74207456084229,community center,102
11,-122.12964819211672,37.74207456084229,city hall,103
11,-122.12964819211672,37.74207456084229,place of worship,104
11,-122.12964819211672,37.74207456084229,park,105
11,-122.12964819211672,37.74207456084229,fountain,106
11,-122.12964819211672,37.74207456084229,square,107
11,-122.12964819211672,37.74207456084229,garden,108
11,-122.12964819211672,37.74207456084229,bookstore,109
11,-122.12964819211672,37.74207456084229,cafe,110
12,-122.10651135938902,37.746700980870955,library,111
12,-122.10651135938902,37.746700980870955,community center,112
12,-122.10651135938902,37.746700980870955,city hall,113
12,-122.10651135938902,37.746700980870955,place of worship,114
12,-122.10651135938902,37.746700980870955,park,115
12,-122.10651135938902,37.746700980870955,fountain,116
12,-122.10651135938902,37.746700980870955,square,117
12,-122.10651135938902,37.746700980870955,garden,118
12,-122.10651135938902,37.746700980870955,bookstore,119
12,-122.10651135938902,37.746700980870955,cafe,120
13,-122.25185533897742,37.735241232828194,library,121
13,-122.25185533897742,37.735241232828194,community center,122
13,-122.25185533897742,37.735241232828194,city hall,123
13,-122.25185533897742,37.735241232828194,place of worship,124
13,-122.25185533897742,37.735241232828194,park,125
13,-122.25185533897742,37.735241232828194,fountain,126
13,-122.25185533897742,37.735241232828194,square,127
13,-122.25185533897742,37.735241232828194,garden,128
13,-122.25185533897742,37.735241232828194,bookstore,129
13,-122.25185533897742,37.735241232828194,cafe,130
14,-122.22872931082479,37.739888798255166,library,131
14,-122.22872931082479,37.739888798255166,community center,132
14,-122.22872931082479,37.739888798255166,city hall,133
14,-122.22872931082479,37.739888798255166,place of worship,134
14,-122.22872931082479,37.739888798255166,park,135
14,-122.22872931082479,37.739888798255166,fountain,136
14,-122.22872931082479,37.739888798255166,square,137
14,-122.22872931082479,37.739888798255166,garden,138
14,-122.22872931082479,37.739888798255166,bookstore,139
14,-122.22872931082479,37.739888798255166,cafe,140
15,-122.20560007825792,37.744532337262754,library,141
15,-122.20560007825792,37.744532337262754,community center,142
15,-122.20560007825792,37.744532337262754,city hall,143
15,-122.20560007825792,37.744532337262754,place of worship,144
15,-122.20560007825792,37.744532337262754,park,145
15,-122.20560007825792,37.744532337262754,fountain,146
15,-122.20560007825792,37.744532337262754,square,147
15,-122.20560007825792,37.744532337262754,garden,148
15,-122.20560007825792,37.744532337262754,bookstore,149
15,-122.20560007825792,37.744532337262754,cafe,150
16,-122.18246764336496,37.74917184913684,library,151
16,-122.18246764336496,37.74917184913684,community center,152
16,-122.18246764336496,37.74917184913684,city hall,153
16,-122.18246764336496,37.74917184913684,place of worship,154
16,-122.18246764336496,37.74917184913684,park,155
16,-122.18246764336496,37.74917184913684,fountain,156
16,-122.18246764336496,37.74917184913684,square,157
16,-122.18246764336496,37.74917184913684,garden,158
16,-122.18246764336496,37.74917184913684,bookstore,159
16,-122.18246764336496,37.74917184913684,cafe,160
17,-122.15933200823618,37.75380733316349,library,161
17,-122.15933200823618,37.75380733316349,community center,162
17,-122.15933200823618,37.75380733316349,city hall,163
17,-122.15933200823618,37.75380733316349,place of worship,164
17,-122.15933200823618,37.75380733316349,park,165
17,-122.15933200823618,37.75380733316349,fountain,166
17,-122.15933200823618,37.75380733316349,square,167
17,-122.15933200823618,37.75380733316349,garden,168
17,-122.15933200823618,37.75380733316349,bookstore,169
17,-122.15933200823618,37.75380733316349,cafe,170
18,-122.1361931749639,37.758438788629086,library,171
18,-122.1361931749639,37.758438788629086,community center,172
18,-122.1361931749639,37.758438788629086,city hall,173
18,-122.1361931749639,37.758438788629086,place of worship,174
18,-122.1361931749639,37.758438788629086,park,175
18,-122.1361931749639,37.758438788629086,fountain,176
18,-122.1361931749639,37.758438788629086,square,177
18,-122.1361931749639,37.758438788629086,garden,178
18,-122.1361931749639,37.758438788629086,bookstore,179
18,-122.1361931749639,37.758438788629086,cafe,180
19,-122.11305114564263,37.76306621482033,library,181
19,-122.11305114564263,37.76306621482033,community center,182
19,-122.11305114564263,37.76306621482033,city hall,183
19,-122.11305114564263,37.76306621482033,place of worship,184
19,-122.11305114564263,37.76306621482033,park,185
