place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____1sQsocROf528mna6v0,Fusion Church,35.480014,-97.5175719,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ____LnwasocRhZO-f7IiE2A,Oklahoma Church Planting,35.5094695,-97.5648159,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ___PW8QQsocRgTR3JyUFL1w,Saved by Grace Ministries,35.4756022,-97.53915219999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.2,12,NA
ChIJ__-_CLMUsocR2HYraCECv0E,No Excuses Ministries,35.4253349,-97.5602284,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__-vzwYXsocROuWOF8NfeAI,okse cogic,35.4709429,-97.484917,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8PvBwUsocRHImxHoim8Vo,DOMINION CHRISTIAN CENTER,35.4151816,-97.5128373,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ__8TdvATsocRPIdQDNylOXs,Cox Characters,35.40738,-97.5337996,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__9D6WoEsocRf7FlbLTwy_E,"Community-Based Health, Education and Rehabilitation",35.5636642,-97.6748834,Community Space,community center,health; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__Xg2PcTsocRtI_bCWS37vw,Sherri's Diner,35.4058948,-97.5259655,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.6,1285,NA
ChIJ_-TcvcMLsocRRlU7ZR-CmsM,Jimmy's Egg,35.3922339,-97.7235932,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.8,369,NA
ChIJ_-tLXsQXsocR1wNwShmYWCc,Square Business,35.448925,-97.54755229999999,Park,square,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_19GOdIPsocRvET4_jRrP5k,Starbucks,35.460963,-97.620272,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.1,1435,NA
