place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ____6lX0NIgRInawLvEowpE,Gillot Park,40.4878574,-80.0490813,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.1,23,NA
ChIJ___TFWDxNIgRvOMpA7AIM-c,Crawford Square,40.4420597,-79.9851619,Park,square,point_of_interest; establishment,OPERATIONAL,3.8,18,NA
ChIJ___vCQHtNIgRzbGzh_DER74,PENN HILLS MULTI PURPOSE CENTER,40.4774076,-79.8773825,Community Space,community center,point_of_interest; establishment,OPERATIONAL,5,6,NA
ChIJ__-_YCjyNIgRVwi8g-K5LV8,Buhl Library of Social Work,40.4426031,-79.9541564,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ__8_Qf_xNIgRjry-hNe9Zj8,JEWISH COMMUNITY CENTER - ROBINSON BLDG,40.43680620000001,-79.9236786,Community Space,community center,point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ__870Gj2NIgRQtnp5lBBf7U,Crafton Community Center,40.434322,-80.06695529999999,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.6,5,NA
ChIJ__hmNFbxNIgRjziH61QtdBk,Agnes R. Katz Plaza,40.4433514,-80.00062299999999,Park,fountain,park; point_of_interest; establishment,OPERATIONAL,4.3,244,NA
ChIJ_03CQgL1NIgRrZh32Ix_ajM,Andrew Bayne Memorial Library,40.496505,-80.054304,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,4.5,26,NA
ChIJ_0qnM8rtNIgRIB3Yv-HVTCw,Green Street Park,40.4394103,-79.8937684,Park,park,park; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ_3rzWSnyNIgRyXaFupGlkdg,Physics Geology Planetary Library,40.445006,-79.958114,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_7dezQf0NIgR620dbq_LO5s,Allegheny Unitarian Universalist Church,40.454686,-80.01151399999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.7,27,NA
ChIJ_83TCKnzNIgRLYasLp7swIc,Nova Cafe Millvale,40.4792789,-79.97171039999999,Social Business,cafe,restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.5,85,NA
ChIJ_85cpLTzNIgRQYRrGbqmWlI,Espresso A Mano,40.46604019999999,-79.96515020000001,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.7,659,NA
ChIJ_85cpLTzNIgRQYRrGbqmWlI,Espresso A Mano,40.46604019999999,-79.96515020000001,Social Business,cafe,cafe; store; food; point_of_interest; establishment,OPERATIONAL,4.7,659,NA
ChIJ_aSP7G4QM4gRzdhhERVeGxg,Essex Square Partnership Ltd,40.4577,-79.9334827,Park,square,point_of_interest; establishment,CLOSED_TEMPORARILY,4.5,4,TRUE
ChIJ_bIpF1zxNIgRXBQkzZG9WFA,Duquesne Square,40.4382691,-79.99110139999999,Park,square,university; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_cyHt47tNIgR0kwN8oa7n_k,The F.M. Thomas And Jerome Thomas Community Center,40.463052,-79.9129737,Community Space,community center,point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ_dlBznvtNIgRyiZuvarnNiU,Highland Park Sand Volleyball Courts,40.4826254,-79.91153039999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.5,36,NA
ChIJ_ecx70zsNIgR8hXKWO9vses,Living Way Christian Fellowship,40.4591032,-79.8733101,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,3,NA
ChIJ_fqdH9vzNIgRNZJ5F_p0WJY,Frank Curto Park,40.4509534,-79.97758089999999,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.1,42,NA
ChIJ_Sl_UD_sNIgRnmchkahMUK0,Jerusalem Church of God in Christ,40.4515051,-79.857123,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.7,10,NA
ChIJ_Ue9KPnpNIgRzsEA2GhyxwA,Asian Indian Christian Church,40.4009289,-80.0646752,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.7,3,NA
ChIJ_VBGVmDxNIgRpQNaAp_taUE,"Albert ""Turk"" Graham Park",40.4404849,-79.98404769999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,4,3,NA
ChIJ_wiRzaPvNIgR0lmgImTRr74,Hunan Cafe,40.4266537,-79.8879311,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.6,56,NA
