cell,x,y,term,id
1,-80.0255541553912,40.383817164572456,library,1
1,-80.0255541553912,40.383817164572456,community center,2
1,-80.0255541553912,40.383817164572456,city hall,3
1,-80.0255541553912,40.383817164572456,place of worship,4
1,-80.0255541553912,40.383817164572456,park,5
1,-80.0255541553912,40.383817164572456,fountain,6
1,-80.0255541553912,40.383817164572456,square,7
1,-80.0255541553912,40.383817164572456,garden,8
1,-80.0255541553912,40.383817164572456,bookstore,9
1,-80.0255541553912,40.383817164572456,cafe,10
2,-80.00087904571235,40.38097257727191,library,11
2,-80.00087904571235,40.38097257727191,community center,12
2,-80.00087904571235,40.38097257727191,city hall,13
2,-80.00087904571235,40.38097257727191,place of worship,14
2,-80.00087904571235,40.38097257727191,park,15
2,-80.00087904571235,40.38097257727191,fountain,16
2,-80.00087904571235,40.38097257727191,square,17
2,-80.00087904571235,40.38097257727191,garden,18
2,-80.00087904571235,40.38097257727191,bookstore,19
2,-80.00087904571235,40.38097257727191,cafe,20
3,-79.9762061245596,40.37812363359271,library,21
3,-79.9762061245596,40.37812363359271,community center,22
3,-79.9762061245596,40.37812363359271,city hall,23
3,-79.9762061245596,40.37812363359271,place of worship,24
3,-79.9762061245596,40.37812363359271,park,25
3,-79.9762061245596,40.37812363359271,fountain,26
3,-79.9762061245596,40.37812363359271,square,27
3,-79.9762061245596,40.37812363359271,garden,28
3,-79.9762061245596,40.37812363359271,bookstore,29
3,-79.9762061245596,40.37812363359271,cafe,30
4,-79.95153539498394,40.37527033407177,library,31
4,-79.95153539498394,40.37527033407177,community center,32
4,-79.95153539498394,40.37527033407177,city hall,33
4,-79.95153539498394,40.37527033407177,place of worship,34
4,-79.95153539498394,40.37527033407177,park,35
4,-79.95153539498394,40.37527033407177,fountain,36
4,-79.95153539498394,40.37527033407177,square,37
4,-79.95153539498394,40.37527033407177,garden,38
4,-79.95153539498394,40.37527033407177,bookstore,39
4,-79.95153539498394,40.37527033407177,cafe,40
5,-79.92686686003466,40.37241267924663,library,41
5,-79.92686686003466,40.37241267924663,community center,42
5,-79.92686686003466,40.37241267924663,city hall,43
5,-79.92686686003466,40.37241267924663,place of worship,44
5,-79.92686686003466,40.37241267924663,park,45
5,-79.92686686003466,40.37241267924663,fountain,46
5,-79.92686686003466,40.37241267924663,square,47
5,-79.92686686003466,40.37241267924663,garden,48
5,-79.92686686003466,40.37241267924663,bookstore,49
5,-79.92686686003466,40.37241267924663,cafe,50
6,-79.90220052275934,40.36955066965548,library,51
6,-79.90220052275934,40.36955066965548,community center,52
6,-79.90220052275934,40.36955066965548,city hall,53
6,-79.90220052275934,40.36955066965548,place of worship,54
6,-79.90220052275934,40.36955066965548,park,55
6,-79.90220052275934,40.36955066965548,fountain,56
6,-79.90220052275934,40.36955066965548,square,57
