cell,x,y,term,id
1,-122.74506287060099,45.425695965794766,library,1
1,-122.74506287060099,45.425695965794766,community center,2
1,-122.74506287060099,45.425695965794766,city hall,3
1,-122.74506287060099,45.425695965794766,place of worship,4
1,-122.74506287060099,45.425695965794766,park,5
1,-122.74506287060099,45.425695965794766,fountain,6
1,-122.74506287060099,45.425695965794766,square,7
1,-122.74506287060099,45.425695965794766,garden,8
1,-122.74506287060099,45.425695965794766,bookstore,9
1,-122.74506287060099,45.425695965794766,cafe,10
2,-122.71896744722454,45.43040642905222,library,11
2,-122.71896744722454,45.43040642905222,community center,12
2,-122.71896744722454,45.43040642905222,city hall,13
2,-122.71896744722454,45.43040642905222,place of worship,14
2,-122.71896744722454,45.43040642905222,park,15
2,-122.71896744722454,45.43040642905222,fountain,16
2,-122.71896744722454,45.43040642905222,square,17
2,-122.71896744722454,45.43040642905222,garden,18
2,-122.71896744722454,45.43040642905222,bookstore,19
2,-122.71896744722454,45.43040642905222,cafe,20
3,-122.69286786123799,45.43511243068753,library,21
3,-122.69286786123799,45.43511243068753,community center,22
3,-122.69286786123799,45.43511243068753,city hall,23
3,-122.69286786123799,45.43511243068753,place of worship,24
3,-122.69286786123799,45.43511243068753,park,25
3,-122.69286786123799,45.43511243068753,fountain,26
3,-122.69286786123799,45.43511243068753,square,27
3,-122.69286786123799,45.43511243068753,garden,28
3,-122.69286786123799,45.43511243068753,bookstore,29
3,-122.69286786123799,45.43511243068753,cafe,30
4,-122.666764115606,45.43981396962867,library,31
4,-122.666764115606,45.43981396962867,community center,32
4,-122.666764115606,45.43981396962867,city hall,33
4,-122.666764115606,45.43981396962867,place of worship,34
4,-122.666764115606,45.43981396962867,park,35
4,-122.666764115606,45.43981396962867,fountain,36
4,-122.666764115606,45.43981396962867,square,37
4,-122.666764115606,45.43981396962867,garden,38
4,-122.666764115606,45.43981396962867,bookstore,39
4,-122.666764115606,45.43981396962867,cafe,40
5,-122.61454415728195,45.449203655141815,library,41
5,-122.61454415728195,45.449203655141815,community center,42
5,-122.61454415728195,45.449203655141815,city hall,43
5,-122.61454415728195,45.449203655141815,place of worship,44
5,-122.61454415728195,45.449203655141815,park,45
5,-122.61454415728195,45.449203655141815,fountain,46
5,-122.61454415728195,45.449203655141815,square,47
5,-122.61454415728195,45.449203655141815,garden,48
5,-122.61454415728195,45.449203655141815,bookstore,49
5,-122.61454415728195,45.449203655141815,cafe,50
6,-122.58842795053663,45.453891799571984,library,51
6,-122.58842795053663,45.453891799571984,community center,52
6,-122.58842795053663,45.453891799571984,city hall,53
6,-122.58842795053663,45.453891799571984,place of worship,54
6,-122.58842795053663,45.453891799571984,park,55
6,-122.58842795053663,45.453891799571984,fountain,56
6,-122.58842795053663,45.453891799571984,square,57
6,-122.58842795053663,45.453891799571984,garden,58
6,-122.58842795053663,45.453891799571984,bookstore,59
6,-122.58842795053663,45.453891799571984,cafe,60
7,-122.56230759603956,45.458575477024034,library,61
7,-122.56230759603956,45.458575477024034,community center,62
7,-122.56230759603956,45.458575477024034,city hall,63
7,-122.56230759603956,45.458575477024034,place of worship,64
7,-122.56230759603956,45.458575477024034,park,65
7,-122.56230759603956,45.458575477024034,fountain,66
7,-122.56230759603956,45.458575477024034,square,67
7,-122.56230759603956,45.458575477024034,garden,68
7,-122.56230759603956,45.458575477024034,bookstore,69
7,-122.56230759603956,45.458575477024034,cafe,70
8,-122.53618309677263,45.46325468642842,library,71
8,-122.53618309677263,45.46325468642842,community center,72
8,-122.53618309677263,45.46325468642842,city hall,73
8,-122.53618309677263,45.46325468642842,place of worship,74
8,-122.53618309677263,45.46325468642842,park,75
8,-122.53618309677263,45.46325468642842,fountain,76
8,-122.53618309677263,45.46325468642842,square,77
8,-122.53618309677263,45.46325468642842,garden,78
8,-122.53618309677263,45.46325468642842,bookstore,79
8,-122.53618309677263,45.46325468642842,cafe,80
9,-122.51005445572147,45.467929426715884,library,81
9,-122.51005445572147,45.467929426715884,community center,82
9,-122.51005445572147,45.467929426715884,city hall,83
9,-122.51005445572147,45.467929426715884,place of worship,84
9,-122.51005445572147,45.467929426715884,park,85
9,-122.51005445572147,45.467929426715884,fountain,86
9,-122.51005445572147,45.467929426715884,square,87
9,-122.51005445572147,45.467929426715884,garden,88
9,-122.51005445572147,45.467929426715884,bookstore,89
9,-122.51005445572147,45.467929426715884,cafe,90
10,-122.48392167898545,45.472599705587825,library,91
10,-122.48392167898545,45.472599705587825,community center,92
10,-122.48392167898545,45.472599705587825,city hall,93
10,-122.48392167898545,45.472599705587825,place of worship,94
10,-122.48392167898545,45.472599705587825,park,95
10,-122.48392167898545,45.472599705587825,fountain,96
10,-122.48392167898545,45.472599705587825,square,97
10,-122.48392167898545,45.472599705587825,garden,98
10,-122.48392167898545,45.472599705587825,bookstore,99
10,-122.48392167898545,45.472599705587825,cafe,100
11,-122.75262837507567,45.44195431082336,library,101
11,-122.75262837507567,45.44195431082336,community center,102
11,-122.75262837507567,45.44195431082336,city hall,103
11,-122.75262837507567,45.44195431082336,place of worship,104
11,-122.75262837507567,45.44195431082336,park,105
11,-122.75262837507567,45.44195431082336,fountain,106
11,-122.75262837507567,45.44195431082336,square,107
11,-122.75262837507567,45.44195431082336,garden,108
11,-122.75262837507567,45.44195431082336,bookstore,109
11,-122.75262837507567,45.44195431082336,cafe,110
12,-122.72652636927145,45.446666116965815,library,111
12,-122.72652636927145,45.446666116965815,community center,112
12,-122.72652636927145,45.446666116965815,city hall,113
12,-122.72652636927145,45.446666116965815,place of worship,114
12,-122.72652636927145,45.446666116965815,park,115
12,-122.72652636927145,45.446666116965815,fountain,116
12,-122.72652636927145,45.446666116965815,square,117
12,-122.72652636927145,45.446666116965815,garden,118
12,-122.72652636927145,45.446666116965815,bookstore,119
12,-122.72652636927145,45.446666116965815,cafe,120
13,-122.70042019496442,45.451373460839456,library,121
13,-122.70042019496442,45.451373460839456,community center,122
13,-122.70042019496442,45.451373460839456,city hall,123
13,-122.70042019496442,45.451373460839456,place of worship,124
13,-122.70042019496442,45.451373460839456,park,125
13,-122.70042019496442,45.451373460839456,fountain,126
13,-122.70042019496442,45.451373460839456,square,127
13,-122.70042019496442,45.451373460839456,garden,128
13,-122.70042019496442,45.451373460839456,bookstore,129
13,-122.70042019496442,45.451373460839456,cafe,130
14,-122.67430985766984,45.45607634108384,library,131
14,-122.67430985766984,45.45607634108384,community center,132
14,-122.67430985766984,45.45607634108384,city hall,133
14,-122.67430985766984,45.45607634108384,place of worship,134
14,-122.67430985766984,45.45607634108384,park,135
14,-122.67430985766984,45.45607634108384,fountain,136
14,-122.67430985766984,45.45607634108384,square,137
14,-122.67430985766984,45.45607634108384,garden,138
14,-122.67430985766984,45.45607634108384,bookstore,139
14,-122.67430985766984,45.45607634108384,cafe,140
15,-122.64819536035758,45.46077475662609,library,141
15,-122.64819536035758,45.46077475662609,community center,142
15,-122.64819536035758,45.46077475662609,city hall,143
15,-122.64819536035758,45.46077475662609,place of worship,144
15,-122.64819536035758,45.46077475662609,park,145
15,-122.64819536035758,45.46077475662609,fountain,146
15,-122.64819536035758,45.46077475662609,square,147
15,-122.64819536035758,45.46077475662609,garden,148
15,-122.64819536035758,45.46077475662609,bookstore,149
15,-122.64819536035758,45.46077475662609,cafe,150
16,-122.62207670600095,45.46546870639387,library,151
16,-122.62207670600095,45.46546870639387,community center,152
16,-122.62207670600095,45.46546870639387,city hall,153
16,-122.62207670600095,45.46546870639387,place of worship,154
16,-122.62207670600095,45.46546870639387,park,155
16,-122.62207670600095,45.46546870639387,fountain,156
16,-122.62207670600095,45.46546870639387,square,157
16,-122.62207670600095,45.46546870639387,garden,158
16,-122.62207670600095,45.46546870639387,bookstore,159
16,-122.62207670600095,45.46546870639387,cafe,160
17,-122.59595389757682,45.470158189315285,library,161
17,-122.59595389757682,45.470158189315285,community center,162
17,-122.59595389757682,45.470158189315285,city hall,163
17,-122.59595389757682,45.470158189315285,place of worship,164
17,-122.59595389757682,45.470158189315285,park,165
17,-122.59595389757682,45.470158189315285,fountain,166
