place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____2ZmXIYROipzwHA_nGA,Chick-fil-A,29.5843954,-98.6175537,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.7,43,NA
ChIJ_____9NfXIYRjhDG0SWJKnc,Barrera Brothers Lawns & Garden,29.4981168,-98.5226706,Park,garden,general_contractor; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ___rqoheXIYR3NavcLmpstg,Worship Tabernacle Assemblies of God,29.4612166,-98.56100690000001,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ__-PBulmXIYRVGk4AKCmrRI,Picnikins,29.5185724,-98.5077128,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.5,313,NA
ChIJ__9bKoteXIYRXd8UbufkplI,"Councilwoman Ana E. Sandoval, District 7",29.4875527,-98.56900879999999,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,3.8,10,NA
ChIJ_-_Lan5oXIYRprpCJ-wrshA,IHOP,29.5499203,-98.6648287,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.8,1162,NA
ChIJ_-h9rsRoXIYRrM5qUlD-ARk,The Cracked Mug Coffee House,29.5798944,-98.6929251,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.6,372,NA
ChIJ_-Tni0zzXIYR6bEvqarJBHE,The Church of Jesus Christ of Latter-day Saints,29.522106,-98.38187839999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,67,NA
ChIJ_0dr1vCKXIYR006ymdznlXY,Al Becken Pavilion (Pavilion 1),29.5596056,-98.4539792,Park,park,tourist_attraction; park; point_of_interest; establishment,OPERATIONAL,4.8,85,NA
ChIJ_0j09EP2XIYR9EPOHo676A4,James A. Bode Community Center,29.3990174,-98.4558064,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.4,102,NA
ChIJ_0kRypD1XIYRS0-AT15psx4,Cheever Books,29.4597621,-98.46801049999999,Social Business,bookstore,book_store; home_goods_store; point_of_interest; store; establishment,OPERATIONAL,4.5,126,NA
ChIJ_0VdsXFpXIYRll2euA9Gook,Immersion Outfitters,29.5333041,-98.6731484,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,5,10,NA
ChIJ_1Lj5Z_1XIYRLKPXnuB-xYA,Cappyccino's,29.4724167,-98.4631889,Social Business,cafe,bar; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.7,238,NA
ChIJ_2e2mytpXIYRIFIMduPwsXA,"Green Earth worm farm, SA",29.5490044,-98.6664617,Park,garden,point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ_2OCStFbXIYR-5DV1WWOmz4,Fuego Nutrition,29.4086773,-98.62952440000001,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4.8,37,NA
ChIJ_3cI5cqNXIYR93_BQxm7EBo,Thai Princess Bookshop,29.5973029,-98.3509435,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,4.2,5,NA
ChIJ_4N2w-33XIYRGaDg3-blOnc,Mission Hike and Bike Trails,29.3478828,-98.4669399,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.6,20,NA
ChIJ_4zwicr2XIYRh_fSfHqpkS8,Fanick's Garden Center,29.4070805,-98.3991807,Park,garden,general_contractor; point_of_interest; store; establishment,OPERATIONAL,4.7,490,NA
ChIJ_5CgvJ5fXIYRbauinQs_BYo,Gravves Coffee,29.4486532,-98.48756929999999,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.9,34,NA
ChIJ_5Sy7QWMXIYR8rBR9aYIjXo,Bulverde Oaks Nature Preserve,29.604421,-98.3891767,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,12,NA
ChIJ_6IGwsGMXIYRTazT3Td7qg0,Taco Bell,29.5471479,-98.3705748,Social Business,cafe,meal_takeaway; restaurant; food; point_of_interest; establishment,OPERATIONAL,3.6,519,NA
ChIJ_6rofBv1XIYRgZ3-AlKmJok,Starbucks,29.488012,-98.44605999999999,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4,107,NA
ChIJ_6WGTZhhXIYRwDJSp7UVqPc,Half Price Books,29.525545,-98.495513,Social Business,bookstore,book_store; electronics_store; home_goods_store; point_of_interest; store; establishment,OPERATIONAL,4.5,2217,NA
ChIJ_78lq3JZXIYR101uuXj9boQ,Blanquita Mexican Restaurant,29.3867171,-98.5501766,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.3,868,NA
ChIJ_7fpKchZXIYRlX77lSzJQmw,Lowe's Garden Center,29.35338549999999,-98.536913,Park,garden,point_of_interest; store; establishment,OPERATIONAL,4.1,60,NA
