place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ_____4tCkFQRRMI4UVy1hvE,Square Dance & Round Dance,47.5014209,-122.2549737,Park,square,electronics_store; home_goods_store; point_of_interest; store; establishment,OPERATIONAL,0,0,NA
ChIJ____P7RqkFQRr_s2Pa4ORNI,Burke Gillman Gardens,47.6849444,-122.2982224,Park,garden,park; point_of_interest; establishment,OPERATIONAL,3,2,NA
ChIJ__-_2EoVkFQRuo28M_aOfbQ,Downtown Seattle Parks,47.6136808,-122.3357559,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ__7q1DMVkFQRwqn1C5YsG6A,Thomas Street Mini Park,47.6209751,-122.326244,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.1,106,NA
ChIJ_18KVCZrkFQRE11BxsulsLo,Alvin Larkins Park,47.6142633,-122.2887094,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.4,26,NA
ChIJ_2jpJikRkFQRZo_kEvkHxvI,Diva Espresso,47.7338383,-122.3561536,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.5,299,NA
ChIJ_2kNMAkUkFQR3i8xVCzxHec,Cafe Javasti,47.6901167,-122.322864,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.6,249,NA
ChIJ_2uWiGMUkFQRSlJ-VL2nKuo,Shiga's P-Patch Community Garden,47.6691442,-122.312745,Park,garden,park; point_of_interest; establishment,CLOSED_TEMPORARILY,5,2,TRUE
ChIJ_48I2OUSkFQRbU1UjRg4Vrc,BookTree Kirkland,47.6798516,-122.2099493,Social Business,bookstore,book_store; home_goods_store; point_of_interest; store; establishment,OPERATIONAL,4.8,76,NA
ChIJ_57rSGdAkFQR2xoIyXYcJNU,St John the Baptist Episcopal,47.5758494,-122.3864272,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.8,12,NA
ChIJ_5zjvzYSkFQReJl1e7EOfjw,O. O. Denny Park,47.7093783,-122.2507821,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.7,1197,NA
ChIJ_85Qkw5qkFQRv8o66VD3dX0,Clara's Books,47.5565773,-122.2840169,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,5,3,NA
ChIJ_9RRNLtqkFQRxftHu8816QE,Pioneer Square D&E,47.599534,-122.3313399,Park,square,restaurant; meal_takeaway; food; point_of_interest; establishment,OPERATIONAL,4.5,260,NA
ChIJ_fm4gWFqkFQRpEgSV_D8DfA,Hillside P-Patch Community Gardens,47.5791501,-122.295999,Park,garden,park; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_fOjhFQRkFQRxbdwR7kBesY,Hope International Church Seattle,47.7041491,-122.3530151,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,5,NA
ChIJ_RLY7mNBkFQRbieVl6bnoEg,Grace & Truth Stewardship,47.5230893,-122.356698,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_RMd6koUkFQRaQQREWSTe6A,Greenwood Triangle,47.66883180000001,-122.3610628,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.8,9,NA
ChIJ_RVfoypBkFQRpd7EsAMjFLM,Sydney Chambliss Memorial Fountain,47.5650803,-122.4075659,Park,fountain,museum; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_Sc2Q8VqkFQRXjtGpzJynBM,Real Life Ministries,47.60964509999999,-122.3085315,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_T4G1xUVkFQRjSX0Kwn9svc,Little free library,47.6416943,-122.4011096,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_UHDEd8QkFQRZyN8IM4Gjes,Aurora Square,47.7439823,-122.3482974,Park,square,shopping_mall; point_of_interest; establishment,OPERATIONAL,4.1,1127,NA
ChIJ_Ww1g4sTkFQRvUEy5BpigEc,NE Seattle Tool Library,47.7027688,-122.3008659,Community Space,library,library; home_goods_store; point_of_interest; store; establishment,OPERATIONAL,4.9,61,NA
ChIJ_WWerUEVkFQRCAsAInxghy4,Little Free Library #2713,47.62698839999999,-122.3533024,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_y6GyGMRkFQRpwKOOHcu2Ps,Starbucks,47.715964,-122.297601,Social Business,cafe,cafe; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.1,627,NA
ChIJ_zFaKrtqkFQRQ6f_weBaBsI,The Elliott Bay Book Company,47.614679,-122.319631,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,4.8,2996,NA
ChIJ_ziBasdDkFQR4qhf8S1D-78,xing xing cafe,47.5053347,-122.3332149,Social Business,cafe,meal_delivery; restaurant; food; point_of_interest; establishment,OPERATIONAL,3.5,81,NA
ChIJ--FJaWxDkFQRDcfc_SQzwxI,Bizzarro Italian Cafe - White Center,47.5162007,-122.3555061,Social Business,cafe,restaurant; food; point_of_interest; establishment,CLOSED_TEMPORARILY,4.6,50,TRUE
ChIJ-3NC-69skFQRSypDQqGZjZs,Hunts Point Town Hall,47.6372892,-122.227231,Community Space,city hall,city_hall; local_government_office; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ-5qZjA0RkFQRIz-oC4eGFak,Starbucks,47.73338,-122.310759,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4,67,NA
ChIJ-6KVEg8RkFQRevrYCLJqCqw,Philadelphia Eritrean Church,47.7391015,-122.3133651,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,3,NA
