place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ__28CUA134cR5wIyIIp1OFw,Janet Majerus Park,38.672631,-90.318277,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.3,40,NA
ChIJ__mlV3qz2IcR6yn37ku2aGw,Lafayette Square Bath and Tennis Club,38.6184005,-90.21700279999999,Park,square,point_of_interest; establishment,OPERATIONAL,4.8,6,NA
ChIJ_1SU-xNL34cR1JEh7ze1jvY,DSquared Bistro,38.6566309,-90.22482450000001,Park,square,bar; restaurant; food; point_of_interest; establishment,OPERATIONAL,4.5,189,NA
ChIJ_2iyhpdM34cR_qd_QQJDZbY,Inner City Christian Church,38.6761481,-90.2150427,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ_2O-iB6z2IcRmuDzl_J4bwU,Innovate St. Louis,38.6273317,-90.1895349,Community Space,community center,point_of_interest; establishment,CLOSED_TEMPORARILY,0,0,TRUE
ChIJ_2RZupbL2IcRFCCK0frugQQ,Dou Dou Cafe,38.6334935,-90.3074504,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.8,59,NA
ChIJ_2WcA1FL34cRrAllsjGon4U,Sara-Lou Cafe,38.6603808,-90.23101199999999,Social Business,cafe,restaurant; food; point_of_interest; establishment,CLOSED_TEMPORARILY,5,3,TRUE
ChIJ_4hgD7tL34cRxajvov9IJx4,The Kingdom Church,38.7073791,-90.24957309999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ_5IZWD6z2IcRE8eqhg4aq4Q,Mixxology,38.63439,-90.2027428,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_9-R_RZL34cRedo9DtOg_t4,Glory Temple Christian Assembly,38.6766929,-90.2502516,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,6,NA
ChIJ_bv8RxGz2IcRcK4qlaKvwtk,City Hall Lot,38.6259213,-90.19988479999999,Community Space,city hall,parking; point_of_interest; establishment,OPERATIONAL,3.2,11,NA
ChIJ_byX7ZVM34cRJUt7XjyQQOY,Meditation Spiritual Temple,38.6743796,-90.2093127,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4,2,NA
ChIJ_dbVwT1L34cRBYJ_PmkWN-w,Handy Park,38.6720514,-90.24880309999999,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.8,130,NA
ChIJ_Uh0RvrJ2IcR0Xs6LHhF6OM,Trinity United Church-Christ,38.5617691,-90.30729240000001,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ_wFaTYqz2IcRAwuRMZ5O5ho,The Mud House,38.592943,-90.22213599999999,Social Business,cafe,cafe; meal_takeaway; restaurant; store; food; point_of_interest; establishment,OPERATIONAL,4.6,1444,NA
ChIJ_wFaTYqz2IcRAwuRMZ5O5ho,The Mud House,38.592943,-90.22213599999999,Social Business,cafe,cafe; meal_takeaway; restaurant; food; point_of_interest; store; establishment,OPERATIONAL,4.6,1444,NA
ChIJ_wNClZdK34cRlPiWAPVIbv0,Wellston City Hall,38.6749764,-90.28934819999999,Community Space,city hall,local_government_office; point_of_interest; establishment,OPERATIONAL,4.3,3,NA
ChIJ_WrZbDg134cR_eeL7Mkn1bY,Heman Park Community Center,38.6634975,-90.3162394,Community Space,community center,point_of_interest; establishment,OPERATIONAL,4.2,157,NA
ChIJ_WrZbDg134cRDJgAdkU9goU,Taste of University City,38.6635107,-90.316242,Community Space,community center,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_yIKMRFL34cRp4H7u4ex8fo,Whose Report Christian Church,38.6793905,-90.2493617,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4,2,NA
ChIJ-_19fY-z2IcRfuqNESh8qMc,Church of the Good Shepard,38.6003756,-90.2177215,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ-_7Y33Cz2IcRogedysniuD4,Lafayette Square Police Department,38.6174206,-90.21289449999999,Park,square,police; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ--mi6k602IcRh1el7EyGrtg,House of the Anointed Christian,38.596425,-90.2560573,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,5,5,NA
ChIJ--sg1Ziz2IcRYtI9Z8ZKiv8,Benton Park,38.5975766,-90.22270350000001,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.7,120,NA
ChIJ-4viL9a02IcRvcshz34Ut4k,Taste Of Lebanon,38.6457145,-90.2615467,Social Business,cafe,cafe; bakery; restaurant; point_of_interest; store; food; establishment,OPERATIONAL,4.1,464,NA
ChIJ-5NhBoBL34cRjMmq9qxufvg,CLASSY CRAFTS CAFE,38.6998355,-90.2906587,Social Business,cafe,meal_takeaway; restaurant; point_of_interest; food; establishment,OPERATIONAL,0,0,NA
ChIJ-6jcQhG12IcRqgdA2R-sAa8,Qumran Booksource,38.6242376,-90.2759421,Social Business,bookstore,book_store; store; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-7smU1Q134cRDztU-vgC-mU,Thai Country Cafe,38.6556893,-90.30047789999999,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,4.3,319,NA
ChIJ-azDqrm12IcRyUtVktqbMOI,Greater True Vine Miracle,38.5924804,-90.2735962,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4.9,8,NA
ChIJ-b3Kk-tK34cR1r-vix63Byw,Maffitt Cabbage Patch Garden,38.6780422,-90.2774879,Park,garden,park; point_of_interest; establishment,OPERATIONAL,4.1,18,NA
ChIJ-c3XfRmz2IcRJGHrCrLckas,Citygarden Sculpture Park,38.6266804,-90.1937073,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.7,2471,NA
ChIJ-c3XfRmz2IcRJGHrCrLckas,Citygarden Sculpture Park,38.6266804,-90.1937073,Park,garden,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.7,2471,NA
ChIJ-c3XfRmz2IcRJGHrCrLckas,Citygarden Sculpture Park,38.6266804,-90.1937073,Park,fountain,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.7,2471,NA
ChIJ-cFtAYu22IcRyU_XwVRGP4Y,Deliverance & Victory,38.5502061,-90.25959999999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-Qkn7va12IcR_yNruaK7sxw,Road Crew Coffee & Cycles,38.6018419,-90.261178,Social Business,cafe,bicycle_store; cafe; store; point_of_interest; food; establishment,OPERATIONAL,4.9,74,NA
ChIJ-Qkn7va12IcR_yNruaK7sxw,Road Crew Coffee & Cycles,38.6018419,-90.261178,Social Business,cafe,bicycle_store; cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.9,74,NA
ChIJ-WgmQ7FK34cRqzldqnE1L_M,Russell Park,38.6586966,-90.28651149999999,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,3.8,30,NA
ChIJ-X-IiWFL34cRyNX_QjWhYhA,Clarence Clovers Community Garden,38.6788538,-90.2259409,Park,garden,park; point_of_interest; establishment,OPERATIONAL,3.7,6,NA
ChIJ-XF7Y6nK2IcRuj9HxP_7i80,Kranzberg Art & Architecture Library,38.6469446,-90.302861,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,5,4,NA
ChIJ-y31N69L34cRqCnVx3FeN9k,Life Changing Center Church,38.7004897,-90.2539297,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-y4dRhS12IcRCpBSq1pEr_w,Café Flora,38.613957,-90.2570976,Social Business,cafe,restaurant; food; point_of_interest; establishment,OPERATIONAL,3.6,26,NA
ChIJ-yaOR1iz2IcR9CtanUCHXFg,Chambers Park,38.6413023,-90.22300059999999,Park,park,park; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.1,82,NA
ChIJ-zgUr-212IcRWxUMdp5pYpM,Destination Café,38.6014813,-90.2614574,Social Business,cafe,restaurant; cafe; point_of_interest; food; establishment,OPERATIONAL,4.8,33,NA
