place_id,name,lat,lng,type,term,categories,business_status,rating,user_ratings_total,permanently_closed
ChIJ____U28G5IkR0EeklS2pVoU,145 Front at City Square,42.2616646,-71.7973774,Park,square,point_of_interest; establishment,OPERATIONAL,2.8,36,NA
ChIJ__m25fcG5IkRmYv719k9mDE,American Antiquarian Society,42.2772953,-71.8100524,Community Space,library,library; tourist_attraction; point_of_interest; establishment,OPERATIONAL,4.6,11,NA
ChIJ_cMs6sYF5IkR1BrZgDtDPug,Brigada Misionera Global,42.2309452,-71.7937065,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_dh4OhgE5IkREJ88Z7t_Dfg,Bethany Christian Parish Church,42.2448477,-71.83561499999999,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_f-_xdsH5IkRcegl1mnR6DE,Emmaus City Church,42.2936515,-71.7699279,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ_QYBcGEG5IkRp97V8UIv-XI,Assembleia De Deus Central,42.2636233,-71.8059413,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,4,1,NA
ChIJ_XIHVmYG5IkRPq_4zjgw1Gs,Edward M Kennedy Community Health Center,42.3022981,-71.76610149999999,Community Space,community center,pharmacy; hospital; health; point_of_interest; store; establishment,OPERATIONAL,3.1,59,NA
ChIJ-_Ip7SwE5IkRKvnKWoKJ-Uw,Church of God of Prophecy,42.2437045,-71.8117379,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ--uvQs0F5IkRTsBGG8U_T9k,Frank Vellaccio Fountain,42.2389483,-71.8082463,Park,fountain,,NA,NA,NA,NA
ChIJ-00DiQ8F5IkRHT3bsmHLio4,Webster Square Apartments,42.24592,-71.83182,Park,square,point_of_interest; establishment,OPERATIONAL,4,1,NA
ChIJ-284lR4H5IkRImstuTFn7x0,Assumption College Official Bookstore,42.2941774,-71.82891219999999,Social Business,bookstore,book_store; point_of_interest; store; establishment,OPERATIONAL,4.4,21,NA
ChIJ-5ENQ08P5IkRCQ_mdS6inHA,East Millbury Park,42.230032,-71.7456747,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.1,24,NA
ChIJ-7Ey09oG5IkRd6R2aSK-lXk,Farber Field,42.2830851,-71.8426798,Park,park,park; point_of_interest; establishment,OPERATIONAL,3.9,25,NA
ChIJ-9FBbk4H5IkRxUPgoY1wIAo,Blackstone Bistro,42.2885374,-71.799802,Social Business,cafe,cafe; food; point_of_interest; establishment,OPERATIONAL,4,1,NA
ChIJ-9OfY-UH5IkRzVAwObFahRs,Washington Square,42.2619326,-71.7945034,Park,square,point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ-fvapyYE5IkRdqHs0Dy3aGw,Dippin Donuts,42.2475,-71.82666669999999,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,4.5,253,NA
ChIJ0-jvL2QG5IkR-YL_4eEplHE,Franklin St + City Hall,42.26177999999999,-71.80149,Community Space,city hall,transit_station; point_of_interest; establishment,OPERATIONAL,5,1,NA
ChIJ08__kGYG5IkR4Yp0Rc_ZUpA,Front St + City Hall,42.263178,-71.80176,Community Space,city hall,transit_station; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ0ce9eiMB5IkR_WipPYJeh-I,Cascades West Conservation Area,42.2900758,-71.8764032,Park,park,park; point_of_interest; establishment,OPERATIONAL,4.7,21,NA
ChIJ0ewxryIE5IkRbIeGtfvnw88,WEBSTER SQUARE STATION,42.2438503,-71.8328791,Park,square,fire_station; point_of_interest; establishment,OPERATIONAL,5,2,NA
ChIJ0XyFdV0G5IkRYde6b_7p258,The Worcester Law Library,42.2680711,-71.8007889,Community Space,library,library; point_of_interest; establishment,OPERATIONAL,5,3,NA
ChIJ1ax4fmQG5IkR_W6sPIhVyOQ,Luk,42.2603922,-71.8033657,Community Space,community center,point_of_interest; establishment,OPERATIONAL,3.9,21,NA
ChIJ1beuSMUH5IkRAvmF0OfW6qY,Starbucks,42.292324,-71.775125,Social Business,cafe,cafe; food; point_of_interest; store; establishment,OPERATIONAL,3.2,33,NA
ChIJ1br5XYkG5IkR1GRBEKR2XII,Mount Zion Christian Church,42.2641148,-71.8138518,Place of Worship,place of worship,church; place_of_worship; point_of_interest; establishment,OPERATIONAL,0,0,NA
ChIJ1cDVenAG5IkRz2SJkM9iyr0,Kelley Square Liquors Inc,42.2549656,-71.79717310000001,Park,square,liquor_store; food; point_of_interest; store; establishment,OPERATIONAL,4.1,152,NA
