modelid,name,term,var,order,beta
total_social_capital,austin,(Intercept),intercept,1,0.2405028684237844
total_social_capital,austin,scale(log(total + 1)),total,2,0.02922260576857483
total_social_capital,austin,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,austin,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,austin,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,austin,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,austin,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,austin,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,austin,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,austin,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,austin,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,boston,(Intercept),intercept,1,0.0024950681033128422
total_social_capital,boston,scale(log(total + 1)),total,2,0.023459532961635318
total_social_capital,boston,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,boston,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,boston,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,boston,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,boston,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,boston,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,boston,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,boston,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,boston,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,charlotte,(Intercept),intercept,1,-0.2783181434728828
total_social_capital,charlotte,scale(log(total + 1)),total,2,0.02915881051041629
total_social_capital,charlotte,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,charlotte,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,charlotte,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,charlotte,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,charlotte,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,charlotte,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,charlotte,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,charlotte,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,charlotte,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,chicago,(Intercept),intercept,1,-0.05988431057808424
total_social_capital,chicago,scale(log(total + 1)),total,2,0.05790364573264034
total_social_capital,chicago,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,chicago,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,chicago,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,chicago,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,chicago,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,chicago,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,chicago,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,chicago,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,chicago,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,columbus,(Intercept),intercept,1,0.10935525667658608
total_social_capital,columbus,scale(log(total + 1)),total,2,0.02455527506477243
total_social_capital,columbus,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,columbus,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,columbus,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,columbus,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,columbus,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,columbus,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,columbus,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,columbus,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,columbus,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,dallas,(Intercept),intercept,1,-0.201632148056404
total_social_capital,dallas,scale(log(total + 1)),total,2,0.01172523471660947
total_social_capital,dallas,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,dallas,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,dallas,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,dallas,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,dallas,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,dallas,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,dallas,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,dallas,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,dallas,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,dc,(Intercept),intercept,1,0.34873620175479503
total_social_capital,dc,scale(log(total + 1)),total,2,0.0027760025434742444
total_social_capital,dc,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,dc,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,dc,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,dc,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,dc,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,dc,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,dc,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,dc,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,dc,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,denver,(Intercept),intercept,1,0.24718686304386814
total_social_capital,denver,scale(log(total + 1)),total,2,0.01573839047231813
total_social_capital,denver,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,denver,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,denver,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
total_social_capital,denver,"scale(logit(asian, 0.01))",asian,6,-0.02683028703887947
total_social_capital,denver,scale(log(median_household_income)),median_household_income,7,0.02033143600925106
total_social_capital,denver,"scale(logit(income_0_60K, 0.01))",income_0_60K,8,-0.029174412852792334
total_social_capital,denver,"scale(logit(some_college, 0.01))",some_college,9,0.04197591927462453
total_social_capital,denver,"scale(logit(over_65, 0.01))",over_65,10,-8.456183044573769e-4
total_social_capital,denver,scale(log(unemployment + 1)),unemployment,11,0.02564141181509953
total_social_capital,el_paso,(Intercept),intercept,1,0.11676732421178433
total_social_capital,el_paso,scale(log(total + 1)),total,2,-0.0049383170805411825
total_social_capital,el_paso,scale(log(pop_density)),pop_density,3,0.008495856905071642
total_social_capital,el_paso,"scale(logit(black, 0.01))",black,4,0.00288463461799911
total_social_capital,el_paso,"scale(logit(hisplat, 0.01))",hisplat,5,-0.12481711922634352
