groupid,estimate0,estimate1,estimate,lower,upper,prob1,prob2
1,0.47978098794895674,0.48564877981316884,0.005881142822283414,0.004528589079118335,0.007284152475417659,0,0
2,0.4787934319076084,0.47680028751333425,-0.0019428006949699927,-0.0034761138212227607,-4.311653374215036e-4,0.007,0.014
3,0.41051890206437325,0.4281468352202938,0.017629875195979083,0.014334004601994462,0.020889619038498907,0,0
4,0.5489986197757086,0.5502772611259096,0.0013085635157160658,-0.001676062808625936,0.004154549048589218,0.189,0.378
5,0.48194895422340944,0.48392339145025226,0.0020089573677460337,6.371532659815229e-4,0.0032587756370442544,0.001,0.002
6,0.4819533930805094,0.48842828896507645,0.00646791064522087,0.005071526882706061,0.007869547578796413,0,0
7,0.48197332456011915,0.48331589366511474,0.0013484047220330697,-1.0906253746962437e-4,0.0026852068503937843,0.043,0.086
8,0.4819435508790489,0.4819389508897206,-1.5805228692045148e-5,-0.00139076689599133,0.0014568171918110467,0.493,0.986
9,0.48016689369343235,0.4781997249279222,-0.001983288159486285,-0.0035402332643474175,-4.261357030455924e-4,0.006,0.012
10,0.48016228341227407,0.4810258146017652,8.84375673203458e-4,-6.087102026116926e-4,0.0024512911772517133,0.135,0.27
11,0.48016447646123706,0.48176307998296375,0.001561829916648827,9.114731118574221e-5,0.003198543959914274,0.018,0.036
12,0.4801301810087926,0.48014637785799813,-2.0488127925905042e-5,-0.0015128423328169118,0.0015782090295636748,0.49,0.98
13,0.4162918615972897,0.4255892177761432,0.009226432023717951,0.005791384233113782,0.01246525561978944,0,0
14,0.4163288666966014,0.43990856444816406,0.023552648053166342,0.020230755652516856,0.026744266473031467,0,0
15,0.4162326669497154,0.4196515829714626,0.0034194286290786247,1.449797607564266e-4,0.0067262876427017166,0.02,0.04
16,0.41617902247823224,0.41624593043604075,3.834733230814735e-5,-0.003056468138746955,0.0032752056685402104,0.49,0.98
17,0.5489798002352015,0.5478646556592717,-0.0011513211635541531,-0.003958652680205746,0.0018345048328812451,0.224,0.448
18,0.5489900895298349,0.5450351630835174,-0.003927223168849081,-0.006774015744295992,-0.001143104593493835,0.006,0.012
19,0.5489998108711008,0.5491373753129717,1.1010473005068633e-4,-0.0027700584092943984,0.003113492592145736,0.474,0.948
20,0.5490439950992267,0.5490270335477191,2.597388204500506e-5,-0.0026574746530184518,0.002885841876558822,0.493,0.986
