groupid,scenario,estimate,lower,upper
1,1,0.48352861319185164,0.48255755089009783,0.48455538613334126
2,1,0.47937592808022694,0.4782685180911411,0.4804675943747125
3,1,0.418777208502955,0.41638882286870926,0.4210709439698869
4,1,0.5504061146092762,0.5484146374854566,0.5522759189576261
5,1,0.48196629096016463,0.48100940837988376,0.48284984833735173
6,1,0.4819469893819714,0.48097878684554624,0.48291693968133736
7,1,0.4819329707616098,0.4809796829282999,0.4829029464457008
8,1,0.4819742572716135,0.48098485503663574,0.4828987854661697
9,1,0.48015603034814713,0.47906574823723447,0.4811955013219862
10,1,0.4801367848018687,0.47906564691751113,0.4812010499720833
11,1,0.48014329694696684,0.4789063561748169,0.48118170805261684
12,1,0.4801271018861905,0.4790235675308059,0.48124928199326344
13,1,0.416245905279857,0.4138057060193093,0.4185943615562014
14,1,0.4163401014814797,0.4138555528848974,0.4186646327219758
15,1,0.41630779368375304,0.4137650434823061,0.4185653437954502
16,1,0.416316182539889,0.4138979581602841,0.41865126257033
17,1,0.549052390695765,0.5468804975920911,0.5509982290521582
18,1,0.5489126906319866,0.5468376576241804,0.5510452516802073
19,1,0.548976546693592,0.5468525779502845,0.5510437382535832
20,1,0.549000661835141,0.5469864186581092,0.5510044381787317
