Type of Social Capital (SC),Type of Social Infrastructure (SI),City,Baseline SC,Baseline + Effect,Effect,95% CI,Model
Overall,SI Overall,NYC,0.434,0.452,+0.018***,[0.015 to 0.021],1
Overall,SI Overall,Houston,0.461,0.461,+0.001 ,[-0.004 to 0.005],1
Overall,SI Overall,Los Angeles,0.429,0.433,+0.004 ,[-0.001 to 0.009],1
Overall,SI Overall,Chicago,0.490,0.497,+0.007**,[0.002 to 0.012],1
Overall,SI Overall,Phoenix,0.448,0.451,+0.004 ,[-0.003 to 0.010],1
Overall,SI Overall,San Antonio,0.485,0.486,+0.001 ,[-0.006 to 0.009],1
Overall,SI Overall,Dallas,0.441,0.442,+0.001 ,[-0.006 to 0.008],1
Overall,SI Overall,San Diego,0.500,0.502,+0.002 ,[-0.005 to 0.009],1
Overall,SI Overall,Philadelphia,0.508,0.513,+0.005 ,[-0.002 to 0.013],1
Overall,SI Overall,San Jose,0.463,0.466,+0.003 ,[-0.006 to 0.012],1
Overall,SI Overall,Columbus,0.560,0.562,+0.002 ,[-0.006 to 0.010],1
Overall,SI Overall,Fort Worth,0.447,0.449,+0.002 ,[-0.007 to 0.011],1
Overall,SI Overall,Austin,0.561,0.563,+0.002 ,[-0.007 to 0.011],1
Overall,SI Overall,Charlotte,0.459,0.460,+0.002 ,[-0.007 to 0.011],1
Overall,SI Overall,Indianapolis,0.533,0.535,+0.002 ,[-0.007 to 0.011],1
Overall,SI Overall,Jacksonville,0.531,0.532,+0.001 ,[-0.009 to 0.011],1
Overall,SI Overall,Oklahoma City,0.542,0.543,+0.001 ,[-0.007 to 0.010],1
Overall,SI Overall,San Francisco,0.532,0.533,+0.001 ,[-0.008 to 0.011],1
Overall,SI Overall,Seattle,0.581,0.585,+0.003 ,[-0.007 to 0.013],1
Overall,SI Overall,Portland,0.532,0.533,+0.001 ,[-0.010 to 0.011],1
Overall,SI Overall,Boston,0.514,0.517,+0.003 ,[-0.007 to 0.014],1
Overall,SI Overall,El Paso,0.463,0.462,0.000 ,[-0.013 to 0.011],1
Overall,SI Overall,Denver,0.573,0.574,+0.001 ,[-0.009 to 0.012],1
Overall,SI Overall,Washington DC,0.625,0.625,0.000 ,[-0.009 to 0.010],1
Overall,SI Overall,Nashville,0.556,0.558,+0.002 ,[-0.009 to 0.012],1
Bonding,SI Overall,NYC,0.445,0.444,-0.001 ,[-0.004 to 0.002],3
Bonding,SI Overall,Houston,0.476,0.474,-0.002 ,[-0.008 to 0.003],3
Bonding,SI Overall,Los Angeles,0.439,0.435,-0.004 ,[-0.009 to 0.001],3
Bonding,SI Overall,Chicago,0.506,0.504,-0.002 ,[-0.007 to 0.003],3
Bonding,SI Overall,Phoenix,0.490,0.488,-0.002 ,[-0.010 to 0.006],3
Bonding,SI Overall,San Antonio,0.490,0.486,-0.003 ,[-0.012 to 0.005],3
Bonding,SI Overall,Dallas,0.470,0.467,-0.002 ,[-0.010 to 0.005],3
Bonding,SI Overall,San Diego,0.483,0.482,-0.002 ,[-0.010 to 0.007],3
Bonding,SI Overall,Philadelphia,0.518,0.514,-0.004 ,[-0.012 to 0.004],3
Bonding,SI Overall,San Jose,0.443,0.441,-0.002 ,[-0.012 to 0.008],3
Bonding,SI Overall,Columbus,0.557,0.555,-0.002 ,[-0.010 to 0.008],3
Bonding,SI Overall,Fort Worth,0.506,0.504,-0.002 ,[-0.012 to 0.009],3
Bonding,SI Overall,Austin,0.478,0.477,-0.001 ,[-0.011 to 0.009],3
Bonding,SI Overall,Charlotte,0.507,0.506,0.000 ,[-0.011 to 0.010],3
Bonding,SI Overall,Indianapolis,0.535,0.535,-0.001 ,[-0.010 to 0.009],3
Bonding,SI Overall,Jacksonville,0.534,0.533,-0.001 ,[-0.012 to 0.010],3
Bonding,SI Overall,Oklahoma City,0.525,0.523,-0.002 ,[-0.011 to 0.008],3
Bonding,SI Overall,San Francisco,0.424,0.421,-0.003 ,[-0.013 to 0.008],3
Bonding,SI Overall,Seattle,0.489,0.487,-0.002 ,[-0.013 to 0.010],3
Bonding,SI Overall,Portland,0.508,0.506,-0.002 ,[-0.014 to 0.010],3
Bonding,SI Overall,Boston,0.453,0.453,0.000 ,[-0.011 to 0.011],3
Bonding,SI Overall,El Paso,0.482,0.478,-0.004 ,[-0.017 to 0.009],3
Bonding,SI Overall,Denver,0.488,0.486,-0.002 ,[-0.014 to 0.010],3
Bonding,SI Overall,Washington DC,0.505,0.504,-0.002 ,[-0.012 to 0.010],3
Bonding,SI Overall,Nashville,0.519,0.519,0.000 ,[-0.013 to 0.012],3
Bridging,SI Overall,NYC,0.286,0.329,+0.043***,[0.036 to 0.050],5
Bridging,SI Overall,Houston,0.452,0.456,+0.003 ,[-0.009 to 0.015],5
Bridging,SI Overall,Los Angeles,0.318,0.341,+0.023***,[0.013 to 0.034],5
Bridging,SI Overall,Chicago,0.377,0.397,+0.020***,[0.009 to 0.031],5
Bridging,SI Overall,Phoenix,0.397,0.409,+0.011 ,[-0.006 to 0.030],5
Bridging,SI Overall,San Antonio,0.385,0.393,+0.008 ,[-0.011 to 0.027],5
Bridging,SI Overall,Dallas,0.375,0.383,+0.008 ,[-0.008 to 0.025],5
Bridging,SI Overall,San Diego,0.418,0.428,+0.010 ,[-0.007 to 0.027],5
Bridging,SI Overall,Philadelphia,0.447,0.466,+0.019*,[0.001 to 0.037],5
Bridging,SI Overall,San Jose,0.360,0.370,+0.010 ,[-0.012 to 0.030],5
Bridging,SI Overall,Columbus,0.590,0.604,+0.014 ,[-0.006 to 0.034],5
Bridging,SI Overall,Fort Worth,0.382,0.389,+0.007 ,[-0.016 to 0.029],5
Bridging,SI Overall,Austin,0.664,0.670,+0.006 ,[-0.017 to 0.025],5
Bridging,SI Overall,Charlotte,0.414,0.419,+0.005 ,[-0.017 to 0.027],5
Bridging,SI Overall,Indianapolis,0.527,0.533,+0.006 ,[-0.017 to 0.029],5
Bridging,SI Overall,Jacksonville,0.479,0.483,+0.004 ,[-0.020 to 0.030],5
Bridging,SI Overall,Oklahoma City,0.485,0.490,+0.005 ,[-0.018 to 0.029],5
Bridging,SI Overall,San Francisco,0.533,0.545,+0.011 ,[-0.013 to 0.036],5
Bridging,SI Overall,Seattle,0.600,0.613,+0.012 ,[-0.013 to 0.038],5
Bridging,SI Overall,Portland,0.540,0.548,+0.008 ,[-0.017 to 0.033],5
Bridging,SI Overall,Boston,0.580,0.585,+0.005 ,[-0.020 to 0.028],5
Bridging,SI Overall,El Paso,0.327,0.333,+0.006 ,[-0.019 to 0.032],5
Bridging,SI Overall,Denver,0.546,0.557,+0.010 ,[-0.017 to 0.038],5
Bridging,SI Overall,Washington DC,0.643,0.648,+0.004 ,[-0.019 to 0.028],5
Bridging,SI Overall,Nashville,0.552,0.556,+0.003 ,[-0.024 to 0.032],5
Linking,SI Overall,NYC,0.566,0.574,+0.008*,[0.001 to 0.013],7
Linking,SI Overall,Houston,0.453,0.455,+0.002 ,[-0.008 to 0.011],7
Linking,SI Overall,Los Angeles,0.520,0.515,-0.005 ,[-0.014 to 0.004],7
Linking,SI Overall,Chicago,0.590,0.591,+0.001 ,[-0.009 to 0.011],7
Linking,SI Overall,Phoenix,0.460,0.460,0.000 ,[-0.015 to 0.015],7
